# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.040895e-02	5.298542e-01	4.054091e-01	4.143409e-01
3             	4.984637e-02	2.008587e-01	1.899116e-01	1.608492e-01
4             	7.022790e-02	9.546302e-02	1.446474e-01	5.292672e-01
5             	2.006910e-01	4.354657e-02	1.284078e-01	5.298336e-01
6             	1.198085e-01	5.871351e-02	1.324568e-01	3.858955e-01
7             	7.123810e-02	9.922036e-02	1.355952e-01	2.425584e-01
8             	5.895079e-02	1.220208e-01	1.301412e-01	1.394942e-01
9             	6.119407e-02	1.115999e-01	1.233445e-01	2.455450e-01
10            	8.108377e-02	6.806898e-02	1.058810e-01	3.906740e-01
11            	1.461727e-01	3.852263e-02	8.826585e-02	3.753635e-01
12            	7.576652e-02	4.848203e-02	7.656224e-02	2.797395e-01
13            	5.701751e-02	5.563172e-02	6.188846e-02	1.692015e-01
14            	5.337759e-02	4.735193e-02	4.657833e-02	9.416027e-02
15            	5.845243e-02	3.218588e-02	3.761006e-02	1.576872e-01
16            	7.418583e-02	1.871213e-02	3.125288e-02	2.066601e-01
17            	1.019470e-01	1.317536e-02	2.685753e-02	1.908008e-01
18            	8.404395e-02	1.548276e-02	2.360142e-02	1.398696e-01
19            	7.665183e-02	1.754853e-02	1.942841e-02	8.105491e-02
20            	7.868605e-02	1.541838e-02	1.557200e-02	5.842195e-02
21            	8.784191e-02	1.080679e-02	1.384732e-02	8.474319e-02
22            	9.952316e-02	8.673908e-03	1.346591e-02	9.694833e-02
23            	8.489087e-02	1.025600e-02	1.338183e-02	8.624192e-02
24            	7.699640e-02	1.149819e-02	1.239919e-02	6.303810e-02
25            	7.418633e-02	1.125382e-02	1.092026e-02	4.245584e-02
26            	7.498427e-02	9.986405e-03	9.831839e-03	4.229864e-02
27            	7.833760e-02	8.380069e-03	8.993048e-03	5.056297e-02
28            	8.267322e-02	6.974721e-03	8.049618e-03	5.168474e-02
29            	8.615722e-02	6.053565e-03	7.054424e-03	4.575827e-02
30            	8.756888e-02	5.543662e-03	6.175627e-03	3.740677e-02
31            	8.648235e-02	5.278556e-03	5.630878e-03	3.164177e-02
32            	8.358016e-02	5.275799e-03	5.538199e-03	3.128056e-02
33            	7.990321e-02	5.457749e-03	5.649283e-03	3.273391e-02
34            	7.636980e-02	5.612144e-03	5.622896e-03	3.145507e-02
35            	7.348619e-02	5.674651e-03	5.513388e-03	2.912507e-02
36            	7.139319e-02	5.593816e-03	5.329691e-03	2.692398e-02
37            	6.997190e-02	5.393330e-03	5.124075e-03	2.608396e-02
38            	6.900736e-02	5.128582e-03	4.914733e-03	2.608159e-02
39            	6.821727e-02	4.857428e-03	4.697457e-03	2.574954e-02
