# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.509082e-02	5.303950e-01	4.086389e-01	4.148913e-01
3             	5.741530e-02	1.956209e-01	1.910943e-01	1.614599e-01
4             	8.109730e-02	9.341789e-02	1.455884e-01	5.208084e-01
5             	2.336149e-01	4.271190e-02	1.306413e-01	5.239171e-01
6             	1.276017e-01	5.741914e-02	1.381273e-01	3.827883e-01
7             	7.890223e-02	9.747101e-02	1.439198e-01	2.399078e-01
8             	6.586795e-02	1.200096e-01	1.394970e-01	1.386242e-01
9             	6.876476e-02	1.098032e-01	1.323220e-01	2.372052e-01
10            	9.005415e-02	6.720273e-02	1.132494e-01	3.698927e-01
11            	1.510088e-01	3.825164e-02	9.376174e-02	3.586478e-01
12            	8.104048e-02	4.804728e-02	8.130023e-02	2.715428e-01
13            	6.226445e-02	5.500884e-02	6.587068e-02	1.654012e-01
14            	5.858128e-02	4.691437e-02	4.932795e-02	9.293063e-02
15            	6.386458e-02	3.192124e-02	3.958204e-02	1.515357e-01
16            	7.957015e-02	1.853347e-02	3.293606e-02	1.955635e-01
17            	1.048218e-01	1.319434e-02	2.891645e-02	1.796338e-01
18            	8.582833e-02	1.571114e-02	2.626338e-02	1.311682e-01
19            	7.954808e-02	1.780627e-02	2.218537e-02	7.557571e-02
20            	8.167863e-02	1.561462e-02	1.797288e-02	5.520884e-02
21            	9.015170e-02	1.093996e-02	1.583594e-02	8.000496e-02
22            	9.940639e-02	8.810875e-03	1.500912e-02	9.186000e-02
23            	8.691481e-02	1.035574e-02	1.463765e-02	8.197320e-02
24            	7.995105e-02	1.155778e-02	1.348206e-02	6.014014e-02
25            	7.747204e-02	1.129062e-02	1.181139e-02	4.087613e-02
26            	7.830772e-02	1.000755e-02	1.058973e-02	4.101756e-02
27            	8.134344e-02	8.413783e-03	9.654205e-03	4.846023e-02
28            	8.513041e-02	7.030087e-03	8.666375e-03	4.928718e-02
29            	8.802111e-02	6.133642e-03	7.691453e-03	4.358108e-02
30            	8.890454e-02	5.645282e-03	6.807358e-03	3.562526e-02
31            	8.764266e-02	5.397366e-03	6.206738e-03	3.045807e-02
32            	8.484615e-02	5.395904e-03	6.060548e-03	3.035578e-02
33            	8.142624e-02	5.550947e-03	6.122204e-03	3.134611e-02
34            	7.817862e-02	5.709263e-03	6.119740e-03	3.051584e-02
35            	7.552289e-02	5.762500e-03	5.990506e-03	2.830311e-02
36            	7.354864e-02	5.676110e-03	5.781623e-03	2.626724e-02
37            	7.214458e-02	5.473059e-03	5.549585e-03	2.547475e-02
38            	7.112160e-02	5.208966e-03	5.312616e-03	2.539580e-02
39            	7.023761e-02	4.941520e-03	5.072801e-03	2.503627e-02
40            	6.926671e-02	4.709500e-03	4.844398e-03	2.419394e-02
41            	6.806197e-02	4.530672e-03	4.645348e-03	2.310238e-02
42            	6.660538e-02	4.401935e-03	4.488020e-03	2.213243e-02
43            	6.497323e-02	4.311536e-03	4.368179e-03	2.142774e-02
44            	6.325398e-02	4.243909e-03	4.271154e-03	2.087161e-02
45            	6.153366e-02	4.182845e-03	4.181036e-03	2.035388e-02
46            	5.988330e-02	4.115975e-03	4.088833e-03	1.981132e-02
47            	5.832093e-02	4.038690e-03	3.992642e-03	1.928868e-02
48            	5.686225e-02	3.950867e-03	3.893580e-03	1.881639e-02
49            	5.549366e-02	3.856990e-03	3.794430e-03	1.837001e-02
50            	5.417318e-02	3.763100e-03	3.697872e-03	1.793943e-02
51            	5.287468e-02	3.673850e-03	3.606007e-03	1.749186e-02
52            	5.158108e-02	3.592266e-03	3.519883e-03	1.704334e-02
53            	5.029586e-02	3.518930e-03	3.440196e-03	1.660915e-02
54            	4.902409e-02	3.452980e-03	3.366876e-03	1.619311e-02
55            	4.776619e-02	3.392350e-03	3.298740e-03	1.581597e-02
56            	4.652987e-02	3.334960e-03	3.234496e-03	1.544926e-02
57            	4.532773e-02	3.279300e-03	3.172647e-03	1.510074e-02
58            	4.416823e-02	3.224366e-03	3.112733e-03	1.476069e-02
59            	4.305624e-02	3.170132e-03	3.054955e-03	1.443274e-02
60            	4.197955e-02	3.116993e-03	2.999422e-03	1.412511e-02
61            	4.092966e-02	3.065271e-03	2.946017e-03	1.381958e-02
62            	3.991288e-02	3.015491e-03	2.894633e-03	1.353006e-02
63            	3.893210e-02	2.967814e-03	2.845269e-03	1.324448e-02
64            	3.798160e-02	2.922412e-03	2.798405e-03	1.297161e-02
65            	3.705881e-02	2.879175e-03	2.753861e-03	1.271752e-02
66            	3.615797e-02	2.837621e-03	2.711360e-03	1.246528e-02
67            	3.528772e-02	2.797768e-03	2.670506e-03	1.222783e-02
68            	3.444851e-02	2.759487e-03	2.631159e-03	1.198893e-02
69            	3.364288e-02	2.722312e-03	2.593639e-03	1.176601e-02
70            	3.286467e-02	2.686297e-03	2.557690e-03	1.155526e-02
71            	3.210225e-02	2.651355e-03	2.522915e-03	1.134370e-02
72            	3.137134e-02	2.617432e-03	2.489153e-03	1.114898e-02
73            	3.067000e-02	2.584747e-03	2.456527e-03	1.095044e-02
74            	2.999054e-02	2.553096e-03	2.425394e-03	1.076990e-02
75            	2.933663e-02	2.522470e-03	2.395513e-03	1.059716e-02
76            	2.869517e-02	2.492886e-03	2.366768e-03	1.042244e-02
