# Region type : patch ent
# Faces  :    366
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	-6.555960e-02
5             	-5.862141e-02
6             	-5.776121e-02
7             	-4.429273e-02
8             	-3.642259e-02
9             	-2.624352e-02
10            	-1.846264e-02
11            	-1.292527e-02
12            	-9.047689e-03
13            	-6.333382e-03
14            	-4.433367e-03
15            	-3.103357e-03
16            	-2.172350e-03
17            	-1.520645e-03
18            	-1.064452e-03
19            	-7.451161e-04
20            	-5.215813e-04
21            	-3.651069e-04
22            	-2.555748e-04
23            	-1.789024e-04
24            	-1.252317e-04
25            	-8.766216e-05
26            	-6.136351e-05
27            	-4.295446e-05
28            	-3.006812e-05
29            	-2.104768e-05
30            	-1.473338e-05
31            	-1.031337e-05
32            	-7.219356e-06
33            	-5.053549e-06
34            	-3.537484e-06
35            	-2.476239e-06
36            	-1.733367e-06
37            	-1.213357e-06
38            	-8.493500e-07
39            	-5.945450e-07
40            	-4.161815e-07
41            	-2.913271e-07
42            	-2.039289e-07
43            	-1.427503e-07
44            	-9.992518e-08
45            	-6.994762e-08
46            	-4.896334e-08
47            	-3.427434e-08
48            	-2.399204e-08
49            	-1.679442e-08
50            	-1.175610e-08
51            	-8.229268e-09
52            	-5.760488e-09
53            	-4.032341e-09
54            	-2.822639e-09
55            	-1.975847e-09
56            	-1.383093e-09
57            	-9.681652e-10
58            	-6.777156e-10
59            	-4.744009e-10
60            	-3.320807e-10
61            	-2.324565e-10
62            	-1.627195e-10
63            	-1.139037e-10
64            	-7.973256e-11
65            	-5.581280e-11
66            	-3.906896e-11
67            	-2.734827e-11
68            	-1.914379e-11
69            	-1.340065e-11
70            	-9.380456e-12
71            	-6.566320e-12
72            	-4.596424e-12
73            	-3.217497e-12
74            	-2.252248e-12
75            	-1.576573e-12
76            	-1.103601e-12
77            	-7.725209e-13
78            	-5.407646e-13
79            	-3.785353e-13
80            	-2.649747e-13
81            	-1.854823e-13
82            	-1.298376e-13
83            	-9.088631e-14
84            	-6.362042e-14
85            	-4.453429e-14
86            	-3.117401e-14
87            	-2.182180e-14
88            	-1.527526e-14
89            	-1.069268e-14
90            	-7.484879e-15
91            	-5.239415e-15
92            	-3.667591e-15
93            	-2.567313e-15
94            	-1.797119e-15
95            	-1.257984e-15
96            	-8.805885e-16
97            	-6.164120e-16
98            	-4.314884e-16
99            	-3.020419e-16
100           	-2.114293e-16
101           	-1.480005e-16
102           	-1.036004e-16
103           	-7.252025e-17
104           	-5.076418e-17
105           	-3.553492e-17
106           	-2.487445e-17
107           	-1.741211e-17
108           	-1.218848e-17
109           	-8.531935e-18
110           	-5.972354e-18
111           	-4.180648e-18
112           	-2.926454e-18
113           	-2.048518e-18
114           	-1.433962e-18
115           	-1.003774e-18
116           	-7.026415e-19
117           	-4.918491e-19
118           	-3.442943e-19
119           	-2.410060e-19
120           	-1.687042e-19
121           	-1.180930e-19
122           	-8.266507e-20
123           	-5.786555e-20
124           	-4.050589e-20
125           	-2.835412e-20
126           	-1.984788e-20
127           	-1.389352e-20
128           	-9.725463e-21
129           	-6.807824e-21
130           	-4.765477e-21
131           	-3.335834e-21
132           	-2.335084e-21
133           	-1.634559e-21
134           	-1.144191e-21
135           	-8.009337e-22
136           	-5.606536e-22
137           	-3.924575e-22
138           	-2.747203e-22
139           	-1.923042e-22
140           	-1.346129e-22
141           	-9.422905e-23
142           	-6.596034e-23
143           	-4.617223e-23
144           	-3.232056e-23
145           	-2.262439e-23
146           	-1.583708e-23
147           	-1.108595e-23
148           	-7.760167e-24
149           	-5.432117e-24
150           	-3.802482e-24
151           	-2.661737e-24
152           	-1.863216e-24
153           	-1.304251e-24
154           	-9.129759e-25
155           	-6.390832e-25
156           	-4.473582e-25
157           	-3.131507e-25
158           	-2.192055e-25
159           	-1.534439e-25
160           	-1.074107e-25
161           	-7.518749e-26
162           	-5.263125e-26
163           	-3.684187e-26
164           	-2.578931e-26
165           	-1.805252e-26
166           	-1.263676e-26
167           	-8.845734e-27
168           	-6.192014e-27
169           	-4.334409e-27
170           	-3.034087e-27
171           	-2.123861e-27
172           	-1.486702e-27
173           	-1.040692e-27
174           	-7.284842e-28
175           	-5.099389e-28
176           	-3.569573e-28
177           	-2.498701e-28
178           	-1.749091e-28
179           	-1.224363e-28
180           	-8.570544e-29
181           	-5.999381e-29
182           	-4.199566e-29
183           	-2.939696e-29
184           	-2.057788e-29
185           	-1.440451e-29
186           	-1.008316e-29
187           	-7.058211e-30
188           	-4.940748e-30
189           	-3.458524e-30
190           	-2.420966e-30
191           	-1.694677e-30
192           	-1.186274e-30
193           	-8.303915e-31
194           	-5.812741e-31
195           	-4.068918e-31
196           	-2.848243e-31
197           	-1.993770e-31
198           	-1.395639e-31
199           	-9.769473e-32
200           	-6.838631e-32
201           	-4.787042e-32
202           	-3.350929e-32
203           	-2.345650e-32
204           	-1.641955e-32
205           	-1.149369e-32
206           	-8.045581e-33
207           	-5.631907e-33
208           	-3.942335e-33
209           	-2.759634e-33
210           	-1.931744e-33
211           	-1.352221e-33
212           	-9.465546e-34
213           	-6.625882e-34
214           	-4.638117e-34
215           	-3.246682e-34
216           	-2.272678e-34
217           	-1.590874e-34
218           	-1.113612e-34
219           	-7.795284e-35
220           	-5.456699e-35
221           	-3.819689e-35
222           	-2.673782e-35
223           	-1.871648e-35
224           	-1.310153e-35
225           	-9.171074e-36
226           	-6.419751e-36
227           	-4.493826e-36
228           	-3.145678e-36
229           	-2.201975e-36
230           	-1.541382e-36
231           	-1.078968e-36
232           	-7.552773e-37
233           	-5.286941e-37
234           	-3.700859e-37
235           	-2.590601e-37
236           	-1.813421e-37
237           	-1.269395e-37
238           	-8.885762e-38
239           	-6.220034e-38
240           	-4.354024e-38
241           	-3.047816e-38
242           	-2.133472e-38
243           	-1.493430e-38
244           	-1.045401e-38
245           	-7.317807e-39
246           	-5.122465e-39
247           	-3.585726e-39
248           	-2.510008e-39
249           	-1.757006e-39
250           	-1.229904e-39
251           	-8.609327e-40
252           	-6.026529e-40
253           	-4.218570e-40
254           	-2.952999e-40
255           	-2.067099e-40
256           	-1.446970e-40
257           	-1.012879e-40
258           	-7.090151e-41
259           	-4.963106e-41
260           	-3.474174e-41
261           	-2.431922e-41
262           	-1.702345e-41
263           	-1.191642e-41
264           	-8.341492e-42
265           	-5.839044e-42
266           	-4.087331e-42
267           	-2.861132e-42
268           	-2.002792e-42
269           	-1.401955e-42
270           	-9.813682e-43
271           	-6.869577e-43
272           	-4.808704e-43
273           	-3.366093e-43
274           	-2.356265e-43
275           	-1.649386e-43
276           	-1.154570e-43
277           	-8.081989e-44
278           	-5.657392e-44
279           	-3.960175e-44
280           	-2.772122e-44
281           	-1.940486e-44
282           	-1.358340e-44
283           	-9.508379e-45
284           	-6.655865e-45
285           	-4.659106e-45
286           	-3.261374e-45
287           	-2.282962e-45
288           	-1.598073e-45
289           	-1.118651e-45
290           	-7.830559e-46
291           	-5.481391e-46
292           	-3.836974e-46
293           	-2.685882e-46
294           	-1.880117e-46
295           	-1.316082e-46
296           	-9.212575e-47
297           	-6.448802e-47
298           	-4.514162e-47
299           	-3.159913e-47
300           	-2.211939e-47
301           	-1.548357e-47
302           	-1.083850e-47
303           	-7.586951e-48
304           	-5.310866e-48
305           	-3.717606e-48
306           	-2.602324e-48
307           	-1.821627e-48
308           	-1.275139e-48
309           	-8.925972e-49
310           	-6.248181e-49
311           	-4.373726e-49
312           	-3.061609e-49
313           	-2.143126e-49
314           	-1.500188e-49
315           	-1.050132e-49
316           	-7.350922e-50
317           	-5.145645e-50
318           	-3.601952e-50
319           	-2.521366e-50
320           	-1.764956e-50
321           	-1.235469e-50
322           	-8.648286e-51
323           	-6.053800e-51
324           	-4.237660e-51
325           	-2.966362e-51
326           	-2.076454e-51
327           	-1.453517e-51
328           	-1.017462e-51
329           	-7.122236e-52
330           	-4.985565e-52
331           	-3.489895e-52
332           	-2.442927e-52
333           	-1.710049e-52
334           	-1.197034e-52
335           	-8.379239e-53
336           	-5.865467e-53
337           	-4.105827e-53
338           	-2.874079e-53
339           	-2.011855e-53
340           	-1.408299e-53
341           	-9.858091e-54
342           	-6.900664e-54
343           	-4.830465e-54
344           	-3.381325e-54
345           	-2.366928e-54
346           	-1.656849e-54
347           	-1.159795e-54
348           	-8.118562e-55
349           	-5.682993e-55
350           	-3.978095e-55
351           	-2.784667e-55
352           	-1.949267e-55
353           	-1.364487e-55
354           	-9.551407e-56
355           	-6.685985e-56
356           	-4.680189e-56
357           	-3.276132e-56
358           	-2.293293e-56
359           	-1.605305e-56
360           	-1.123713e-56
361           	-7.865994e-57
362           	-5.506196e-57
363           	-3.854337e-57
364           	-2.698036e-57
365           	-1.888625e-57
366           	-1.322038e-57
367           	-9.254263e-58
368           	-6.477984e-58
369           	-4.534589e-58
370           	-3.174212e-58
371           	-2.221949e-58
372           	-1.555364e-58
373           	-1.088755e-58
374           	-7.621284e-59
375           	-5.334899e-59
376           	-3.734429e-59
377           	-2.614100e-59
378           	-1.829870e-59
379           	-1.280909e-59
380           	-8.966364e-60
381           	-6.276455e-60
382           	-4.393518e-60
383           	-3.075463e-60
384           	-2.152824e-60
385           	-1.506977e-60
386           	-1.054884e-60
387           	-7.384187e-61
388           	-5.168931e-61
389           	-3.618251e-61
390           	-2.532776e-61
391           	-1.772943e-61
392           	-1.241060e-61
393           	-8.687422e-62
394           	-6.081195e-62
395           	-4.256837e-62
396           	-2.979786e-62
397           	-2.085850e-62
398           	-1.460095e-62
399           	-1.022066e-62
400           	-7.154465e-63
401           	-5.008126e-63
402           	-3.505688e-63
403           	-2.453982e-63
404           	-1.717787e-63
405           	-1.202451e-63
406           	-8.417157e-64
407           	-5.892010e-64
408           	-4.124407e-64
409           	-2.887085e-64
410           	-2.020959e-64
411           	-1.414672e-64
412           	-9.902701e-65
413           	-6.931891e-65
414           	-4.852323e-65
415           	-3.396626e-65
416           	-2.377638e-65
417           	-1.664347e-65
418           	-1.165043e-65
419           	-8.155300e-66
420           	-5.708710e-66
421           	-3.996097e-66
422           	-2.797268e-66
423           	-1.958088e-66
424           	-1.370661e-66
425           	-9.594629e-67
426           	-6.716240e-67
427           	-4.701368e-67
428           	-3.290958e-67
429           	-2.303670e-67
430           	-1.612569e-67
431           	-1.128798e-67
432           	-7.901589e-68
433           	-5.531113e-68
434           	-3.871779e-68
435           	-2.710245e-68
436           	-1.897172e-68
437           	-1.328020e-68
438           	-9.296141e-69
439           	-6.507299e-69
440           	-4.555109e-69
441           	-3.188576e-69
442           	-2.232003e-69
443           	-1.562402e-69
444           	-1.093682e-69
445           	-7.655772e-70
446           	-5.359040e-70
447           	-3.751328e-70
448           	-2.625930e-70
449           	-1.838151e-70
450           	-1.286706e-70
451           	-9.006939e-71
452           	-6.304857e-71
453           	-4.413400e-71
454           	-3.089380e-71
455           	-2.162566e-71
456           	-1.513796e-71
457           	-1.059657e-71
458           	-7.417602e-72
459           	-5.192321e-72
460           	-3.634625e-72
461           	-2.544237e-72
462           	-1.780966e-72
463           	-1.246676e-72
464           	-8.726734e-73
465           	-6.108714e-73
466           	-4.276100e-73
467           	-2.993270e-73
468           	-2.095289e-73
469           	-1.466702e-73
470           	-1.026692e-73
471           	-7.186841e-74
472           	-5.030788e-74
473           	-3.521552e-74
474           	-2.465086e-74
475           	-1.725560e-74
476           	-1.207892e-74
477           	-8.455246e-75
478           	-5.918672e-75
479           	-4.143071e-75
480           	-2.900149e-75
481           	-2.030105e-75
482           	-1.421073e-75
483           	-9.947513e-76
484           	-6.963259e-76
485           	-4.874281e-76
486           	-3.411997e-76
487           	-2.388398e-76
488           	-1.671878e-76
489           	-1.170315e-76
490           	-8.192204e-77
491           	-5.734543e-77
492           	-4.014180e-77
493           	-2.809926e-77
494           	-1.966948e-77
495           	-1.376864e-77
496           	-9.638047e-78
497           	-6.746633e-78
498           	-4.722643e-78
499           	-3.305850e-78
500           	-2.314095e-78
501           	-1.619866e-78
502           	-1.133907e-78
503           	-7.937346e-79
504           	-5.556142e-79
505           	-3.889299e-79
506           	-2.722510e-79
507           	-1.905757e-79
508           	-1.334030e-79
509           	-9.338208e-80
510           	-6.536746e-80
511           	-4.575722e-80
512           	-3.203005e-80
513           	-2.242104e-80
514           	-1.569473e-80
515           	-1.098631e-80
516           	-7.690416e-81
517           	-5.383291e-81
518           	-3.768304e-81
519           	-2.637813e-81
520           	-1.846469e-81
521           	-1.292528e-81
522           	-9.047697e-82
523           	-6.333388e-82
524           	-4.433372e-82
525           	-3.103360e-82
526           	-2.172352e-82
527           	-1.520646e-82
528           	-1.064453e-82
529           	-7.451168e-83
530           	-5.215817e-83
531           	-3.651072e-83
532           	-2.555751e-83
533           	-1.789025e-83
534           	-1.252318e-83
535           	-8.766224e-84
536           	-6.136357e-84
537           	-4.295450e-84
538           	-3.006815e-84
539           	-2.104770e-84
540           	-1.473339e-84
541           	-1.031338e-84
542           	-7.219363e-85
543           	-5.053554e-85
544           	-3.537488e-85
545           	-2.476241e-85
546           	-1.733369e-85
547           	-1.213358e-85
548           	-8.493508e-86
549           	-5.945456e-86
550           	-4.161819e-86
551           	-2.913273e-86
552           	-2.039291e-86
553           	-1.427504e-86
554           	-9.992527e-87
555           	-6.994769e-87
556           	-4.896338e-87
557           	-3.427437e-87
558           	-2.399206e-87
559           	-1.679444e-87
560           	-1.175611e-87
561           	-8.229276e-88
562           	-5.760493e-88
563           	-4.032345e-88
564           	-2.822642e-88
565           	-1.975849e-88
566           	-1.383094e-88
567           	-9.681661e-89
568           	-6.777163e-89
569           	-4.744014e-89
570           	-3.320810e-89
571           	-2.324567e-89
572           	-1.627197e-89
573           	-1.139038e-89
574           	-7.973264e-90
575           	-5.581285e-90
576           	-3.906899e-90
577           	-2.734830e-90
578           	-1.914381e-90
579           	-1.340066e-90
580           	-9.380465e-91
581           	-6.566326e-91
582           	-4.596428e-91
583           	-3.217500e-91
584           	-2.252250e-91
585           	-1.576575e-91
586           	-1.103602e-91
587           	-7.725217e-92
588           	-5.407652e-92
589           	-3.785356e-92
590           	-2.649749e-92
591           	-1.854824e-92
592           	-1.298377e-92
593           	-9.088640e-93
594           	-6.362048e-93
595           	-4.453434e-93
596           	-3.117404e-93
597           	-2.182182e-93
598           	-1.527528e-93
599           	-1.069269e-93
600           	-7.484886e-94
601           	-5.239420e-94
602           	-3.667594e-94
603           	-2.567316e-94
604           	-1.797121e-94
605           	-1.257985e-94
606           	-8.805893e-95
607           	-6.164125e-95
608           	-4.314888e-95
609           	-3.020421e-95
610           	-2.114295e-95
611           	-1.480006e-95
612           	-1.036005e-95
613           	-7.252032e-96
614           	-5.076422e-96
615           	-3.553496e-96
616           	-2.487447e-96
617           	-1.741213e-96
618           	-1.218849e-96
619           	-8.531943e-97
620           	-5.972360e-97
621           	-4.180652e-97
622           	-2.926456e-97
623           	-2.048519e-97
624           	-1.433964e-97
625           	-1.003775e-97
626           	-7.026422e-98
627           	-4.918495e-98
628           	-3.442947e-98
629           	-2.410063e-98
630           	-1.687044e-98
631           	-1.180931e-98
632           	-8.266515e-99
633           	-5.786561e-99
634           	-4.050592e-99
635           	-2.835415e-99
636           	-1.984790e-99
637           	-1.389353e-99
638           	-9.725472e-100
639           	-6.807831e-100
640           	-4.765481e-100
641           	-3.335837e-100
642           	-2.335086e-100
643           	-1.634560e-100
644           	-1.144192e-100
645           	-8.009345e-101
646           	-5.606541e-101
647           	-3.924579e-101
648           	-2.747205e-101
649           	-1.923044e-101
650           	-1.346131e-101
651           	-9.422914e-102
652           	-6.596040e-102
653           	-4.617228e-102
654           	-3.232059e-102
655           	-2.262442e-102
656           	-1.583709e-102
657           	-1.108596e-102
658           	-7.760175e-103
659           	-5.432122e-103
660           	-3.802486e-103
661           	-2.661740e-103
662           	-1.863218e-103
663           	-1.304253e-103
664           	-9.129768e-104
665           	-6.390838e-104
666           	-4.473586e-104
667           	-3.131510e-104
668           	-2.192057e-104
669           	-1.534440e-104
670           	-1.074108e-104
671           	-7.518757e-105
672           	-5.263130e-105
673           	-3.684191e-105
674           	-2.578933e-105
675           	-1.805253e-105
676           	-1.263677e-105
677           	-8.845742e-106
678           	-6.192019e-106
