# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((-1.136131e+00 3.372253e-02 -2.493457e-03) (4.405696e-03 -3.839473e-05 -6.304788e-05)) ((-3.945549e-06 -1.412298e-04 -9.076271e-04) (9.543134e-09 -5.477511e-06 1.326197e-06))
2             	((-9.632547e-01 2.713170e-02 -3.322164e-03) (8.018291e-02 -7.116676e-04 4.804137e-04)) ((-2.827948e-06 -8.205568e-05 -7.837192e-04) (-1.855774e-07 -1.731931e-06 2.202823e-05))
3             	((-5.400284e-01 1.336927e-02 -1.117801e-03) (9.455990e-02 -7.868498e-04 7.834319e-04)) ((-1.378979e-06 -1.531781e-05 -4.302456e-04) (-2.400966e-07 -3.141518e-06 2.647728e-05))
4             	((-9.095459e-02 -3.361038e-04 1.781579e-03) (7.556237e-02 -5.223849e-04 6.382339e-04)) ((-1.191305e-07 3.373167e-05 -5.881074e-05) (-1.683803e-07 -2.938802e-06 2.169986e-05))
5             	((2.319055e-01 -8.966445e-03 4.549100e-03) (4.299400e-02 -1.785797e-04 1.583972e-04)) ((3.791939e-07 4.695492e-05 1.989759e-04) (-2.977199e-08 -7.809413e-07 1.328318e-05))
6             	((3.850890e-01 -1.229247e-02 5.016130e-03) (1.183086e-02 9.455322e-05 -2.892139e-04)) ((6.541350e-07 4.541945e-05 3.063384e-04) (9.517476e-08 1.106968e-06 5.273172e-06))
7             	((3.839676e-01 -1.102123e-02 4.159586e-03) (-7.056190e-03 1.916648e-04 -4.329245e-04)) ((6.352295e-07 3.174177e-05 2.937820e-04) (1.385508e-07 1.359412e-06 3.313083e-08))
8             	((2.831981e-01 -7.365562e-03 2.801770e-03) (-1.262418e-02 1.679685e-04 -3.191761e-04)) ((4.153975e-07 1.264326e-05 2.088859e-04) (1.108445e-07 3.569128e-07 -2.113287e-06))
9             	((1.377002e-01 -3.003299e-03 1.539208e-03) (-7.084115e-03 5.576244e-05 -1.288978e-04)) ((6.385214e-08 -8.335438e-06 9.461472e-05) (5.720762e-08 -8.108873e-07 -1.617558e-06))
10            	((2.353419e-03 5.314094e-04 6.971415e-04) (3.333137e-03 -6.042162e-05 1.100076e-05)) ((-2.662458e-07 -2.469871e-05 -7.844162e-06) (1.199417e-08 -1.413852e-06 4.786654e-07))
11            	((-8.987422e-02 2.600979e-03 3.316792e-04) (1.430592e-02 -1.575257e-04 7.962468e-05)) ((-4.936695e-07 -3.368425e-05 -7.615961e-05) (-1.522458e-08 -1.457176e-06 3.029949e-06))
12            	((-1.277811e-01 3.179088e-03 3.148914e-04) (2.313516e-02 -2.201018e-04 9.439230e-05)) ((-5.788377e-07 -3.475437e-05 -1.038011e-04) (-2.605673e-08 -1.141029e-06 5.262320e-06))
13            	((-1.189667e-01 2.625172e-03 4.608245e-04) (2.841875e-02 -2.466006e-04 7.669380e-05)) ((-5.322484e-07 -2.957671e-05 -9.787097e-05) (-2.471473e-08 -6.683354e-07 6.705593e-06))
14            	((-8.108948e-02 1.506453e-03 6.107621e-04) (2.993460e-02 -2.428684e-04 3.997107e-05)) ((-3.967823e-07 -2.104501e-05 -7.108279e-05) (-1.523151e-08 -1.687959e-07 7.213075e-06))
15            	((-3.411340e-02 3.310163e-04 6.567511e-04) (2.839238e-02 -2.195183e-04 -5.386589e-06)) ((-2.255732e-07 -1.208766e-05 -3.752372e-05) (-1.802490e-09 2.855906e-07 6.899422e-06))
16            	((6.011148e-03 -5.087528e-04 5.527665e-04) (2.506162e-02 -1.889027e-04 -4.809446e-05)) ((-6.609953e-08 -4.643566e-06 -7.744666e-06) (1.116787e-08 6.344027e-07 6.050890e-06))
17            	((3.034438e-02 -9.376177e-04 3.466499e-04) (2.132361e-02 -1.611410e-04 -7.761716e-05)) ((5.143173e-08 -1.427602e-07 1.091650e-05) (1.993954e-08 8.289656e-07 5.019550e-06))
18            	((3.723586e-02 -9.406171e-04 1.168292e-04) (1.825238e-02 -1.420788e-04 -8.808437e-05)) ((1.087846e-07 1.229012e-06 1.787637e-05) (2.254550e-08 8.557802e-07 4.104564e-06))
19            	((3.029569e-02 -6.698361e-04 -5.553828e-05) (1.638478e-02 -1.328541e-04 -8.094322e-05)) ((1.112574e-07 4.233871e-08 1.505510e-05) (1.935596e-08 7.502097e-07 3.477500e-06))
20            	((1.582700e-02 -2.937785e-04 -1.237163e-04) (1.573481e-02 -1.310775e-04 -6.319610e-05)) ((7.051168e-08 -2.715589e-06 6.477105e-06) (1.247278e-08 5.782067e-07 3.179624e-06))
21            	((2.332298e-04 4.667365e-05 -9.296400e-05) (1.597122e-02 -1.331972e-04 -4.335684e-05)) ((1.119129e-08 -5.824650e-06 -3.625744e-06) (4.659578e-09 4.086995e-07 3.151038e-06))
22            	((-1.178631e-02 2.687794e-04 -1.279368e-06) (1.662962e-02 -1.358069e-04 -2.787218e-05)) ((-4.374311e-08 -8.300058e-06 -1.191000e-05) (-1.947320e-09 2.867318e-07 3.281427e-06))
23            	((-1.800179e-02 3.459595e-04 1.052473e-04) (1.728200e-02 -1.364494e-04 -2.006729e-05)) ((-7.924950e-08 -9.641952e-06 -1.670117e-05) (-6.146195e-09 2.312118e-07 3.454884e-06))
24            	((-1.851279e-02 3.054264e-04 1.851767e-04) (1.763876e-02 -1.338918e-04 -2.030968e-05)) ((-8.998281e-08 -9.762997e-06 -1.781363e-05) (-7.675989e-09 2.385871e-07 3.583536e-06))
25            	((-1.496964e-02 1.926671e-04 2.174870e-04) (1.758257e-02 -1.282020e-04 -2.677469e-05)) ((-7.829895e-08 -8.944719e-06 -1.614524e-05) (-7.010673e-09 2.897919e-07 3.621331e-06))
26            	((-9.622119e-03 6.357960e-05 2.000921e-04) (1.714629e-02 -1.203668e-04 -3.675236e-05)) ((-5.171183e-08 -7.611494e-06 -1.295462e-05) (-4.945407e-09 3.565821e-07 3.562413e-06))
27            	((-4.501223e-03 -3.838033e-05 1.470509e-04) (1.645922e-02 -1.117764e-04 -4.687289e-05)) ((-1.994992e-08 -6.195956e-06 -9.504875e-06) (-2.585711e-09 4.185129e-07 3.429841e-06))
28            	((-9.354330e-04 -9.697168e-05 8.186386e-05) (1.568356e-02 -1.036777e-04 -5.523223e-05)) ((7.500284e-09 -5.078934e-06 -6.813555e-06) (-5.307710e-10 4.553047e-07 3.261439e-06))
29            	((5.973880e-04 -1.073755e-04 2.482195e-05) (1.496022e-02 -9.688503e-05 -5.975993e-05)) ((2.522520e-08 -4.419522e-06 -5.291153e-06) (4.472187e-10 4.716941e-07 3.094802e-06))
30            	((3.563735e-04 -8.050122e-05 -9.835323e-06) (1.437448e-02 -9.168637e-05 -6.222478e-05)) ((3.140191e-08 -4.236813e-06 -4.845925e-06) (9.959844e-10 4.524506e-07 2.955179e-06))
31            	((-1.013452e-03 -3.610034e-05 -1.881909e-05) (1.395045e-02 -8.789163e-05 -6.104907e-05)) ((2.793966e-08 -4.405724e-06 -5.213457e-06) (3.493916e-10 4.333975e-07 2.853312e-06))
32            	((-2.753366e-03 4.796798e-06 -6.275594e-06) (1.366427e-02 -8.500592e-05 -6.005548e-05)) ((1.853969e-08 -4.775517e-06 -6.036470e-06) (-1.024057e-10 3.974104e-07 2.788234e-06))
