# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.599907e-01	3.338432e-01	3.275240e-01
0             	defaultFaces	2.193142e-01	3.399015e-01	3.256867e-01
100           	wall_b	5.662294e-03	3.611311e-01	8.752777e-02
100           	defaultFaces	6.661833e-03	3.337691e-01	8.202802e-02
200           	wall_b	1.380512e-03	2.559109e-01	5.579443e-02
200           	defaultFaces	1.302736e-03	2.860039e-01	5.266298e-02
300           	wall_b	8.079270e-04	2.528935e-01	5.059453e-02
300           	defaultFaces	7.482801e-04	3.635944e-01	4.827956e-02
400           	wall_b	4.602436e-04	2.580473e-01	5.034355e-02
400           	defaultFaces	4.586939e-04	4.783893e-01	4.826865e-02
500           	wall_b	3.439761e-04	2.268498e-01	5.000153e-02
500           	defaultFaces	3.321602e-04	5.583402e-01	4.839200e-02
600           	wall_b	2.484541e-04	2.151497e-01	4.940614e-02
600           	defaultFaces	2.318369e-04	5.161426e-01	4.831144e-02
700           	wall_b	1.733445e-04	2.230240e-01	4.916025e-02
700           	defaultFaces	1.617714e-04	4.215112e-01	4.604998e-02
800           	wall_b	1.167769e-04	2.252661e-01	4.903245e-02
800           	defaultFaces	1.102973e-04	4.194357e-01	4.456994e-02
900           	wall_b	9.402000e-05	2.285880e-01	4.902931e-02
900           	defaultFaces	9.465906e-05	4.164683e-01	4.390174e-02
1000          	wall_b	9.188663e-05	2.303363e-01	4.916493e-02
1000          	defaultFaces	9.189981e-05	4.134532e-01	4.387767e-02
1100          	wall_b	7.397585e-05	2.319375e-01	4.905710e-02
1100          	defaultFaces	7.229347e-05	4.126456e-01	4.396285e-02
1200          	wall_b	6.032238e-05	2.306627e-01	4.899207e-02
1200          	defaultFaces	6.055413e-05	4.051916e-01	4.403715e-02
1300          	wall_b	5.241573e-05	2.358047e-01	4.904319e-02
1300          	defaultFaces	5.265468e-05	4.292517e-01	4.421133e-02
1400          	wall_b	4.755547e-05	2.330070e-01	4.881125e-02
1400          	defaultFaces	4.775538e-05	4.166254e-01	4.393444e-02
1500          	wall_b	4.420934e-05	2.357480e-01	4.858630e-02
1500          	defaultFaces	4.439531e-05	4.084063e-01	4.383768e-02
1600          	wall_b	4.204295e-05	2.341125e-01	4.842908e-02
1600          	defaultFaces	4.224523e-05	4.147992e-01	4.370542e-02
1700          	wall_b	4.095434e-05	2.349055e-01	4.827077e-02
1700          	defaultFaces	4.117567e-05	4.093920e-01	4.372786e-02
1800          	wall_b	4.057407e-05	2.357652e-01	4.825516e-02
1800          	defaultFaces	4.079946e-05	4.087547e-01	4.364392e-02
1900          	wall_b	4.054887e-05	2.330344e-01	4.793485e-02
1900          	defaultFaces	4.077313e-05	4.060123e-01	4.336484e-02
2000          	wall_b	4.065490e-05	2.337392e-01	4.784324e-02
2000          	defaultFaces	4.088049e-05	3.889808e-01	4.324291e-02
2100          	wall_b	4.079673e-05	2.306046e-01	4.778724e-02
2100          	defaultFaces	4.102412e-05	4.047980e-01	4.324377e-02
2200          	wall_b	4.093641e-05	2.256524e-01	4.764069e-02
2200          	defaultFaces	4.116376e-05	4.056304e-01	4.309401e-02
2300          	wall_b	4.104850e-05	2.304057e-01	4.767242e-02
2300          	defaultFaces	4.127485e-05	4.042721e-01	4.320448e-02
2400          	wall_b	4.112289e-05	2.237314e-01	4.747877e-02
2400          	defaultFaces	4.134858e-05	3.934681e-01	4.290362e-02
2500          	wall_b	4.116543e-05	2.265499e-01	4.757080e-02
2500          	defaultFaces	4.139090e-05	3.996941e-01	4.301530e-02
2600          	wall_b	4.118704e-05	2.246889e-01	4.749257e-02
2600          	defaultFaces	4.141238e-05	4.003063e-01	4.301062e-02
2700          	wall_b	4.119600e-05	2.224291e-01	4.744287e-02
2700          	defaultFaces	4.142119e-05	3.978252e-01	4.286272e-02
2800          	wall_b	4.119755e-05	2.234763e-01	4.745970e-02
2800          	defaultFaces	4.142264e-05	3.983303e-01	4.292039e-02
2900          	wall_b	4.119543e-05	2.216068e-01	4.741331e-02
2900          	defaultFaces	4.142049e-05	3.981317e-01	4.287904e-02
3000          	wall_b	4.119220e-05	2.235974e-01	4.743557e-02
3000          	defaultFaces	4.141727e-05	3.983023e-01	4.292389e-02
3100          	wall_b	4.118923e-05	2.201224e-01	4.738284e-02
3100          	defaultFaces	4.141431e-05	3.983523e-01	4.282902e-02
3200          	wall_b	4.118695e-05	2.224143e-01	4.741603e-02
3200          	defaultFaces	4.141205e-05	3.985113e-01	4.288978e-02
3280          	wall_b	4.118566e-05	2.216705e-01	4.740013e-02
3280          	defaultFaces	4.141076e-05	3.984977e-01	4.288893e-02
