# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	1.679445e-01	2.154558e-01	2.127381e-01
0             	defaultFaces	1.556491e-01	2.230265e-01	2.121364e-01
100           	wall_b	2.582874e-03	2.932358e-01	5.575009e-02
100           	defaultFaces	2.837788e-03	2.896174e-01	5.271346e-02
200           	wall_b	1.206885e-03	1.535244e-01	2.996078e-02
200           	defaultFaces	1.138742e-03	1.837633e-01	2.752619e-02
300           	wall_b	6.417146e-04	1.535248e-01	2.309488e-02
300           	defaultFaces	6.225396e-04	1.837741e-01	2.048029e-02
400           	wall_b	3.736913e-04	1.535252e-01	2.013690e-02
400           	defaultFaces	3.660382e-04	1.837752e-01	1.752768e-02
500           	wall_b	2.962610e-04	1.535245e-01	1.865697e-02
500           	defaultFaces	2.916969e-04	1.837739e-01	1.636947e-02
600           	wall_b	2.542516e-04	1.535253e-01	1.787415e-02
600           	defaultFaces	2.510097e-04	1.837753e-01	1.621405e-02
700           	wall_b	2.151356e-04	1.535254e-01	1.727519e-02
700           	defaultFaces	2.127867e-04	1.837752e-01	1.633089e-02
800           	wall_b	1.826553e-04	1.535242e-01	1.671372e-02
800           	defaultFaces	1.818775e-04	1.837733e-01	1.627016e-02
900           	wall_b	1.620877e-04	1.535248e-01	1.621238e-02
900           	defaultFaces	1.629760e-04	1.837748e-01	1.582288e-02
1000          	wall_b	1.526096e-04	1.535252e-01	1.585065e-02
1000          	defaultFaces	1.205581e-04	1.837752e-01	1.489527e-02
1100          	wall_b	1.396216e-04	1.535246e-01	1.558536e-02
1100          	defaultFaces	1.057336e-04	1.837742e-01	1.419946e-02
1200          	wall_b	1.277565e-04	1.535245e-01	1.549834e-02
1200          	defaultFaces	9.395602e-05	1.837741e-01	1.408531e-02
1300          	wall_b	1.160834e-04	1.535239e-01	1.548900e-02
1300          	defaultFaces	8.413477e-05	1.837745e-01	1.402801e-02
1400          	wall_b	1.073922e-04	1.535232e-01	1.552031e-02
1400          	defaultFaces	7.762450e-05	1.837690e-01	1.390146e-02
1500          	wall_b	1.029615e-04	1.535238e-01	1.561077e-02
1500          	defaultFaces	7.435884e-05	1.837739e-01	1.376126e-02
1600          	wall_b	9.922227e-05	1.535243e-01	1.573032e-02
1600          	defaultFaces	7.174353e-05	1.837740e-01	1.362542e-02
1700          	wall_b	9.578194e-05	1.535245e-01	1.582805e-02
1700          	defaultFaces	6.932838e-05	1.837741e-01	1.356305e-02
1800          	wall_b	9.262159e-05	1.535246e-01	1.581028e-02
1800          	defaultFaces	6.707687e-05	1.837753e-01	1.342448e-02
1900          	wall_b	8.983802e-05	1.535249e-01	1.581752e-02
1900          	defaultFaces	6.509538e-05	1.837747e-01	1.338115e-02
2000          	wall_b	8.705583e-05	1.535450e-01	1.583671e-02
2000          	defaultFaces	6.315344e-05	1.838507e-01	1.336847e-02
2100          	wall_b	8.410010e-05	1.535250e-01	1.584967e-02
2100          	defaultFaces	6.109387e-05	1.837746e-01	1.341149e-02
2200          	wall_b	8.119280e-05	1.535248e-01	1.588243e-02
2200          	defaultFaces	5.902839e-05	1.837751e-01	1.349034e-02
2300          	wall_b	7.893376e-05	1.535243e-01	1.591858e-02
2300          	defaultFaces	5.736678e-05	1.837746e-01	1.353160e-02
2400          	wall_b	7.742722e-05	1.535246e-01	1.595451e-02
2400          	defaultFaces	5.625291e-05	1.837742e-01	1.358831e-02
2500          	wall_b	7.631160e-05	1.535240e-01	1.598388e-02
2500          	defaultFaces	5.544806e-05	1.837735e-01	1.363465e-02
2600          	wall_b	7.533532e-05	1.535244e-01	1.600342e-02
2600          	defaultFaces	5.475759e-05	1.837732e-01	1.366849e-02
2700          	wall_b	7.439953e-05	1.535245e-01	1.601599e-02
2700          	defaultFaces	5.410075e-05	1.837741e-01	1.368843e-02
2800          	wall_b	7.349029e-05	1.535259e-01	1.602503e-02
2800          	defaultFaces	5.346191e-05	1.837767e-01	1.370539e-02
2900          	wall_b	7.263901e-05	1.535248e-01	1.602925e-02
2900          	defaultFaces	5.286030e-05	1.837755e-01	1.371965e-02
2975          	wall_b	7.206185e-05	1.535238e-01	1.603026e-02
2975          	defaultFaces	5.244956e-05	1.837721e-01	1.372496e-02
