# Region type : patch out
# Faces  :    302
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	8.682035e+04
2             	7.533718e+04
3             	4.082615e+04
4             	6.556420e+03
5             	-1.788510e+04
6             	-2.855514e+04
7             	-2.800825e+04
8             	-2.018397e+04
9             	-9.414447e+03
10            	3.192328e+02
11            	6.751004e+03
12            	9.252592e+03
13            	8.511266e+03
14            	5.831672e+03
15            	2.608331e+03
16            	-9.567401e+01
17            	-1.717792e+03
18            	-2.176327e+03
19            	-1.740872e+03
20            	-8.276512e+02
21            	1.439812e+02
22            	8.832586e+02
23            	1.254742e+03
24            	1.272071e+03
25            	1.042355e+03
26            	7.023237e+02
27            	3.793580e+02
28            	1.520792e+02
29            	5.147584e+01
30            	6.041078e+01
31            	1.392477e+02
32            	2.404080e+02
33            	3.262640e+02
34            	3.750694e+02
35            	3.827176e+02
36            	3.583740e+02
37            	3.165796e+02
38            	2.726125e+02
39            	2.370393e+02
40            	2.153810e+02
41            	2.078371e+02
42            	2.098733e+02
43            	2.166254e+02
44            	2.231154e+02
45            	2.263166e+02
46            	2.251577e+02
47            	2.200315e+02
48            	2.124266e+02
49            	2.037089e+02
50            	1.958268e+02
51            	1.894171e+02
52            	1.848925e+02
53            	1.820111e+02
54            	1.799577e+02
55            	1.781519e+02
56            	1.762495e+02
57            	1.739116e+02
58            	1.711482e+02
59            	1.680804e+02
60            	1.649213e+02
61            	1.618009e+02
62            	1.589470e+02
63            	1.564477e+02
64            	1.541752e+02
65            	1.521079e+02
66            	1.500885e+02
67            	1.481450e+02
68            	1.462732e+02
69            	1.443842e+02
70            	1.425034e+02
71            	1.406278e+02
72            	1.387847e+02
73            	1.370473e+02
74            	1.353503e+02
75            	1.337301e+02
76            	1.321425e+02
77            	1.306259e+02
78            	1.292102e+02
79            	1.278093e+02
80            	1.264363e+02
81            	1.251032e+02
82            	1.237531e+02
83            	1.224560e+02
84            	1.211789e+02
85            	1.199384e+02
86            	1.187304e+02
87            	1.175608e+02
88            	1.164486e+02
89            	1.153602e+02
90            	1.142946e+02
91            	1.132561e+02
92            	1.122234e+02
93            	1.112187e+02
94            	1.102233e+02
95            	1.092453e+02
96            	1.082973e+02
97            	1.073528e+02
98            	1.064536e+02
99            	1.055779e+02
100           	1.047266e+02
101           	1.038941e+02
102           	1.030880e+02
103           	1.022745e+02
104           	1.014694e+02
105           	1.006644e+02
106           	9.987814e+01
107           	9.910684e+01
108           	9.837147e+01
109           	9.766107e+01
110           	9.697100e+01
111           	9.629001e+01
112           	9.562056e+01
113           	9.494012e+01
114           	9.428161e+01
115           	9.362081e+01
116           	9.296524e+01
117           	9.231816e+01
118           	9.169001e+01
119           	9.109946e+01
120           	9.051868e+01
121           	8.994790e+01
122           	8.937788e+01
123           	8.880592e+01
124           	8.824515e+01
125           	8.769092e+01
126           	8.713881e+01
127           	8.659315e+01
128           	8.605976e+01
129           	8.555840e+01
130           	8.506158e+01
131           	8.456793e+01
132           	8.408760e+01
133           	8.359805e+01
134           	8.312040e+01
135           	8.264059e+01
136           	8.216341e+01
137           	8.169533e+01
138           	8.123064e+01
139           	8.078904e+01
140           	8.035850e+01
141           	7.993736e+01
142           	7.952102e+01
143           	7.911341e+01
144           	7.870185e+01
145           	7.828216e+01
146           	7.786307e+01
147           	7.744873e+01
148           	7.704710e+01
149           	7.665884e+01
150           	7.627966e+01
151           	7.590942e+01
152           	7.554738e+01
153           	7.518781e+01
154           	7.483492e+01
155           	7.447204e+01
156           	7.410525e+01
157           	7.373856e+01
158           	7.338227e+01
159           	7.304028e+01
160           	7.270435e+01
161           	7.237836e+01
162           	7.205972e+01
163           	7.174182e+01
164           	7.142121e+01
165           	7.110637e+01
166           	7.078778e+01
167           	7.046795e+01
168           	7.014897e+01
169           	6.984018e+01
170           	6.954321e+01
171           	6.925423e+01
172           	6.896847e+01
173           	6.868703e+01
174           	6.840755e+01
175           	6.812585e+01
176           	6.783623e+01
177           	6.754734e+01
178           	6.726669e+01
179           	6.699116e+01
180           	6.672904e+01
181           	6.647027e+01
182           	6.621474e+01
183           	6.596462e+01
184           	6.571416e+01
185           	6.546809e+01
186           	6.520985e+01
187           	6.494928e+01
188           	6.469136e+01
