# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((3.869405e+00 -1.441058e-01 -4.486347e-03) (-8.040186e-03 8.848464e-05 -1.498601e-04)) ((2.060247e-05 5.501624e-04 2.425394e-03) (1.216655e-07 5.412652e-06 -2.041214e-06))
2             	((3.271676e+00 -1.216014e-01 1.706508e-02) (-1.612403e-01 1.823671e-03 3.577491e-04)) ((1.189679e-05 2.034394e-04 2.139790e-03) (-1.103676e-07 -1.020058e-05 -3.810261e-05))
3             	((1.687393e+00 -6.090010e-02 4.068092e-02) (-1.898097e-01 2.039986e-03 5.382445e-04)) ((-2.926146e-06 -3.144787e-04 1.102321e-03) (-2.308262e-07 -1.364811e-05 -4.483134e-05))
4             	((1.501314e-01 -1.823882e-03 5.053865e-02) (-1.492891e-01 1.407842e-03 3.621438e-04)) ((-1.380673e-05 -6.288724e-04 1.107834e-04) (-2.009802e-07 -9.709330e-06 -3.500616e-05))
5             	((-9.291556e-01 3.696580e-02 4.244163e-02) (-8.083158e-02 6.159499e-04 -1.275881e-04)) ((-1.659623e-05 -6.663888e-04 -5.848954e-04) (-4.978027e-08 -1.686063e-06 -1.917899e-05))
6             	((-1.371545e+00 5.179059e-02 2.626176e-02) (-2.158099e-02 -2.311736e-05 -4.960089e-04)) ((-1.425891e-05 -5.145499e-04 -8.630690e-04) (7.696909e-08 5.247499e-06 -6.215950e-06))
7             	((-1.302005e+00 4.715056e-02 9.023418e-03) (1.125754e-02 -2.788592e-04 -5.051410e-04)) ((-9.021312e-06 -2.864450e-04 -8.341215e-04) (1.024969e-07 7.588274e-06 1.389178e-06))
8             	((-9.093806e-01 3.149783e-02 -3.848834e-03) (1.568267e-02 -2.095236e-04 -2.882856e-04)) ((-3.515481e-06 -7.268216e-05 -6.079750e-04) (5.370993e-08 6.414238e-06 3.043174e-06))
9             	((-3.972746e-01 1.271797e-02 -9.976149e-03) (-1.529467e-04 5.192301e-05 -9.473460e-05)) ((6.256460e-07 7.685612e-05 -3.023638e-04) (2.233033e-10 4.120086e-06 1.287604e-08))
10            	((5.008089e-02 -2.619550e-03 -1.011545e-02) (-2.252132e-02 3.293342e-04 -2.766456e-05)) ((2.758099e-06 1.445978e-04 -2.270307e-05) (-2.216213e-08 2.124576e-06 -5.052106e-06))
11            	((3.348424e-01 -1.183232e-02 -6.443598e-03) (-4.382208e-02 5.568629e-04 -6.286042e-05)) ((3.108704e-06 1.426140e-04 1.624568e-04) (-1.688498e-08 9.812148e-07 -1.021607e-05))
12            	((4.344494e-01 -1.476760e-02 -1.621184e-03) (-5.958186e-02 7.002373e-04 -1.297789e-04)) ((2.341708e-06 9.910503e-05 2.370514e-04) (-1.248708e-09 4.946814e-07 -1.426546e-05))
13            	((3.855836e-01 -1.269649e-02 2.332471e-03) (-6.794260e-02 7.558827e-04 -1.819071e-04)) ((1.127210e-06 4.329272e-05 2.231847e-04) (1.150011e-08 3.325972e-07 -1.663050e-05))
14            	((2.514573e-01 -8.253025e-03 4.396906e-03) (-6.913098e-02 7.404913e-04 -2.082042e-04)) ((7.291830e-08 -3.490470e-06 1.534822e-04) (1.730422e-08 3.931085e-07 -1.725771e-05))
15            	((9.789952e-02 -3.431300e-03 4.479445e-03) (-6.494131e-02 6.794837e-04 -2.090799e-04)) ((-5.559947e-07 -3.041862e-05 6.678674e-05) (1.564510e-08 4.889722e-07 -1.651576e-05))
16            	((-2.632238e-02 3.388445e-04 3.131684e-03) (-5.795585e-02 5.997573e-04 -1.917123e-04)) ((-7.172024e-07 -3.652741e-05 -7.584054e-06) (8.732038e-09 5.253665e-07 -1.499044e-05))
17            	((-9.668950e-02 2.414574e-03 1.171424e-03) (-5.067195e-02 5.234082e-04 -1.663898e-04)) ((-5.278240e-07 -2.720357e-05 -5.375768e-05) (-2.073397e-10 5.182496e-07 -1.328266e-05))
18            	((-1.115344e-01 2.878660e-03 -6.397193e-04) (-4.486060e-02 4.634683e-04 -1.402907e-04)) ((-1.741970e-07 -1.042192e-05 -6.787896e-05) (-8.764441e-09 4.589599e-07 -1.185517e-05))
19            	((-8.538466e-02 2.078542e-03 -1.818152e-03) (-4.128960e-02 4.246553e-04 -1.202427e-04)) ((1.886170e-07 6.332901e-06 -5.833494e-05) (-1.474816e-08 3.958944e-07 -1.092589e-05))
20            	((-3.871017e-02 7.823330e-04 -2.214492e-03) (-3.984961e-02 4.041070e-04 -1.101815e-04)) ((4.258649e-07 1.842550e-05 -3.440782e-05) (-1.685429e-08 3.795870e-07 -1.050185e-05))
21            	((8.667789e-03 -4.661290e-04 -1.947056e-03) (-3.988986e-02 3.951310e-04 -1.093270e-04)) ((5.056756e-07 2.393907e-05 -7.099168e-06) (-1.531403e-08 4.132810e-07 -1.045323e-05))
22            	((4.321189e-02 -1.320522e-03 -1.293999e-03) (-4.057002e-02 3.907919e-04 -1.150386e-04)) ((4.531505e-07 2.354003e-05 1.526234e-05) (-1.132204e-08 4.957700e-07 -1.058782e-05))
23            	((5.920590e-02 -1.705996e-03 -5.596333e-04) (-4.114829e-02 3.857971e-04 -1.225823e-04)) ((3.316231e-07 1.927246e-05 2.752100e-05) (-6.801492e-09 5.827383e-07 -1.072129e-05))
24            	((5.810585e-02 -1.639081e-03 9.005707e-06) (-4.115522e-02 3.769371e-04 -1.275758e-04)) ((1.957969e-07 1.385763e-05 2.991433e-05) (-3.365723e-09 6.241693e-07 -1.073035e-05))
25            	((4.561241e-02 -1.253282e-03 2.979598e-04) (-4.043818e-02 3.630930e-04 -1.276963e-04)) ((8.795686e-08 9.171376e-06 2.524697e-05) (-1.763586e-09 5.989661e-07 -1.056931e-05))
26            	((2.860140e-02 -8.041947e-04 3.117407e-04) (-3.909739e-02 3.453428e-04 -1.229668e-04)) ((3.608621e-08 6.194441e-06 1.635860e-05) (-1.913751e-09 5.200929e-07 -1.025337e-05))
27            	((1.318227e-02 -4.253182e-04 1.307338e-04) (-3.738511e-02 3.257049e-04 -1.155883e-04)) ((3.555199e-08 5.129915e-06 7.051253e-06) (-3.012454e-09 4.345490e-07 -9.839628e-06))
28            	((3.057608e-03 -1.888781e-04 -1.303002e-04) (-3.559429e-02 3.062615e-04 -1.079933e-04)) ((6.764961e-08 5.537136e-06 5.265215e-08) (-4.281006e-09 3.840925e-07 -9.398596e-06))
29            	((-8.558642e-04 -1.249603e-04 -3.692711e-04) (-3.395918e-02 2.888035e-04 -1.020157e-04)) ((1.122271e-07 6.759120e-06 -3.757891e-06) (-5.045379e-09 3.898569e-07 -8.986585e-06))
30            	((4.518830e-04 -1.842402e-04 -5.162375e-04) (-3.260993e-02 2.743027e-04 -9.862178e-05)) ((1.499177e-07 7.953635e-06 -4.452104e-06) (-4.935148e-09 4.520428e-07 -8.634249e-06))
31            	((4.875312e-03 -2.901048e-04 -5.555656e-04) (-3.157105e-02 2.627843e-04 -9.796666e-05)) ((1.678626e-07 8.836441e-06 -2.710934e-06) (-3.890878e-09 5.587570e-07 -8.348843e-06))
32            	((1.007621e-02 -3.894064e-04 -5.064842e-04) (-3.078489e-02 2.536384e-04 -9.901496e-05)) ((1.655689e-07 9.231277e-06 1.981997e-07) (-2.362252e-09 6.761183e-07 -8.119805e-06))
33            	((1.427846e-02 -4.448015e-04 -4.097655e-04) (-3.015272e-02 2.460319e-04 -1.003198e-04)) ((1.475728e-07 9.265220e-06 3.204697e-06) (-9.562259e-10 7.687834e-07 -7.926774e-06))
34            	((1.652157e-02 -4.538821e-04 -3.045731e-04) (-2.957451e-02 2.391093e-04 -1.002482e-04)) ((1.237433e-07 8.996041e-06 5.337508e-06) (-2.124297e-10 8.024208e-07 -7.749851e-06))
35            	((1.671470e-02 -4.249500e-04 -2.208708e-04) (-2.897648e-02 2.322258e-04 -9.806929e-05)) ((1.015532e-07 8.567035e-06 6.231138e-06) (-2.759512e-10 7.689105e-07 -7.574306e-06))
36            	((1.538039e-02 -3.713203e-04 -1.734715e-04) (-2.832344e-02 2.249769e-04 -9.438160e-05)) ((8.506296e-08 8.113073e-06 6.045911e-06) (-7.442274e-10 6.931364e-07 -7.394646e-06))
37            	((1.328859e-02 -3.145444e-04 -1.607780e-04) (-2.761546e-02 2.171909e-04 -9.037744e-05)) ((7.618414e-08 7.686565e-06 5.085139e-06) (-1.114195e-09 6.124716e-07 -7.214001e-06))
38            	((1.118240e-02 -2.695482e-04 -1.725352e-04) (-2.687613e-02 2.090064e-04 -8.742060e-05)) ((7.384282e-08 7.316102e-06 3.795519e-06) (-9.608487e-10 5.646530e-07 -7.037403e-06))
39            	((9.571265e-03 -2.438224e-04 -1.950549e-04) (-2.613846e-02 2.008275e-04 -8.624251e-05)) ((7.586048e-08 7.023149e-06 2.568948e-06) (-6.291248e-11 5.678801e-07 -6.867320e-06))
40            	((8.677204e-03 -2.362501e-04 -2.158997e-04) (-2.543289e-02 1.932537e-04 -8.702261e-05)) ((7.988871e-08 6.788932e-06 1.665798e-06) (1.516720e-09 6.241739e-07 -6.700179e-06))
41            	((8.455706e-03 -2.357589e-04 -2.293502e-04) (-2.477926e-02 1.867979e-04 -8.910846e-05)) ((8.350899e-08 6.678645e-06 1.256342e-06) (3.385759e-09 7.136352e-07 -6.530124e-06))
42            	((8.681530e-03 -2.410090e-04 -2.327814e-04) (-2.418389e-02 1.815795e-04 -9.129830e-05)) ((8.637621e-08 6.665819e-06 1.215657e-06) (4.933007e-09 8.022303e-07 -6.356466e-06))
43            	((9.099030e-03 -2.425901e-04 -2.278037e-04) (-2.364212e-02 1.773503e-04 -9.250549e-05)) ((8.710341e-08 6.726984e-06 1.462481e-06) (5.684330e-09 8.601024e-07 -6.183514e-06))
