# Region type : patch out
# Faces  :    298
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	-9.215752e-02
5             	-8.049303e-02
6             	-7.623196e-02
7             	-5.583450e-02
8             	-4.960394e-02
9             	-3.691809e-02
10            	-2.612231e-02
11            	-1.829043e-02
12            	-1.280330e-02
13            	-8.962310e-03
14            	-6.273617e-03
15            	-4.391532e-03
16            	-3.074072e-03
17            	-2.151851e-03
18            	-1.506296e-03
19            	-1.054407e-03
20            	-7.380848e-04
21            	-5.166594e-04
22            	-3.616616e-04
23            	-2.531631e-04
24            	-1.772142e-04
25            	-1.240499e-04
26            	-8.683494e-05
27            	-6.078446e-05
28            	-4.254912e-05
29            	-2.978438e-05
30            	-2.084907e-05
31            	-1.459435e-05
32            	-1.021604e-05
33            	-7.151231e-06
34            	-5.005861e-06
35            	-3.504103e-06
36            	-2.452872e-06
37            	-1.717010e-06
38            	-1.201907e-06
39            	-8.413351e-07
40            	-5.889346e-07
41            	-4.122542e-07
42            	-2.885779e-07
43            	-2.020046e-07
44            	-1.414032e-07
45            	-9.898224e-08
46            	-6.928757e-08
47            	-4.850130e-08
48            	-3.395091e-08
49            	-2.376563e-08
50            	-1.663594e-08
51            	-1.164516e-08
52            	-8.151613e-09
53            	-5.706129e-09
54            	-3.994290e-09
55            	-2.796003e-09
56            	-1.957202e-09
57            	-1.370042e-09
58            	-9.590291e-10
59            	-6.713204e-10
60            	-4.699243e-10
61            	-3.289470e-10
62            	-2.302629e-10
63            	-1.611840e-10
64            	-1.128288e-10
65            	-7.898017e-11
66            	-5.528612e-11
67            	-3.870028e-11
68            	-2.709020e-11
69            	-1.896314e-11
70            	-1.327420e-11
71            	-9.291938e-12
72            	-6.504357e-12
73            	-4.553050e-12
74            	-3.187135e-12
75            	-2.230994e-12
76            	-1.561696e-12
77            	-1.093187e-12
78            	-7.652310e-13
79            	-5.356617e-13
80            	-3.749632e-13
81            	-2.624742e-13
82            	-1.837320e-13
83            	-1.286124e-13
84            	-9.002867e-14
85            	-6.302007e-14
86            	-4.411405e-14
87            	-3.087983e-14
88            	-2.161588e-14
89            	-1.513112e-14
90            	-1.059178e-14
91            	-7.414248e-15
92            	-5.189974e-15
93            	-3.632981e-15
94            	-2.543087e-15
95            	-1.780161e-15
96            	-1.246113e-15
97            	-8.722789e-16
98            	-6.105952e-16
99            	-4.274166e-16
100           	-2.991916e-16
101           	-2.094342e-16
102           	-1.466039e-16
103           	-1.026227e-16
104           	-7.183591e-17
105           	-5.028514e-17
106           	-3.519960e-17
107           	-2.463972e-17
108           	-1.724780e-17
109           	-1.207346e-17
110           	-8.451423e-18
111           	-5.915996e-18
112           	-4.141197e-18
113           	-2.898838e-18
114           	-2.029187e-18
115           	-1.420431e-18
116           	-9.943015e-19
117           	-6.960111e-19
118           	-4.872077e-19
119           	-3.410454e-19
120           	-2.387318e-19
121           	-1.671123e-19
122           	-1.169786e-19
123           	-8.188501e-20
124           	-5.731950e-20
125           	-4.012365e-20
126           	-2.808656e-20
127           	-1.966059e-20
128           	-1.376241e-20
129           	-9.633689e-21
130           	-6.743582e-21
131           	-4.720508e-21
132           	-3.304355e-21
133           	-2.313049e-21
134           	-1.619134e-21
135           	-1.133394e-21
136           	-7.933757e-22
137           	-5.553630e-22
138           	-3.887541e-22
139           	-2.721279e-22
140           	-1.904895e-22
141           	-1.333427e-22
142           	-9.333986e-23
143           	-6.533790e-23
144           	-4.573653e-23
145           	-3.201557e-23
146           	-2.241090e-23
147           	-1.568763e-23
148           	-1.098134e-23
149           	-7.686939e-24
150           	-5.380857e-24
151           	-3.766600e-24
152           	-2.636620e-24
153           	-1.845634e-24
154           	-1.291944e-24
155           	-9.043607e-25
156           	-6.330525e-25
157           	-4.431367e-25
158           	-3.101957e-25
159           	-2.171370e-25
160           	-1.519959e-25
161           	-1.063971e-25
162           	-7.447799e-26
163           	-5.213459e-26
164           	-3.649421e-26
165           	-2.554595e-26
166           	-1.788217e-26
167           	-1.251752e-26
168           	-8.762261e-27
169           	-6.133583e-27
170           	-4.293508e-27
171           	-3.005456e-27
172           	-2.103819e-27
173           	-1.472673e-27
174           	-1.030871e-27
175           	-7.216099e-28
176           	-5.051269e-28
177           	-3.535888e-28
178           	-2.475122e-28
179           	-1.732585e-28
180           	-1.212810e-28
181           	-8.489668e-29
182           	-5.942768e-29
183           	-4.159937e-29
184           	-2.911956e-29
185           	-2.038369e-29
186           	-1.426858e-29
187           	-9.988009e-30
188           	-6.991607e-30
189           	-4.894125e-30
190           	-3.425887e-30
191           	-2.398121e-30
192           	-1.678685e-30
193           	-1.175079e-30
194           	-8.225555e-31
195           	-5.757889e-31
196           	-4.030522e-31
197           	-2.821365e-31
198           	-1.974956e-31
199           	-1.382469e-31
200           	-9.677283e-32
201           	-6.774098e-32
202           	-4.741869e-32
203           	-3.319308e-32
204           	-2.323516e-32
205           	-1.626461e-32
206           	-1.138523e-32
207           	-7.969659e-33
208           	-5.578761e-33
209           	-3.905133e-33
210           	-2.733593e-33
211           	-1.913515e-33
212           	-1.339461e-33
213           	-9.376224e-34
214           	-6.563357e-34
215           	-4.594350e-34
216           	-3.216045e-34
217           	-2.251231e-34
218           	-1.575862e-34
219           	-1.103103e-34
220           	-7.721724e-35
221           	-5.405207e-35
222           	-3.783645e-35
223           	-2.648551e-35
224           	-1.853986e-35
225           	-1.297790e-35
226           	-9.084531e-36
227           	-6.359172e-36
228           	-4.451420e-36
229           	-3.115994e-36
230           	-2.181196e-36
231           	-1.526837e-36
232           	-1.068786e-36
233           	-7.481502e-37
234           	-5.237051e-37
235           	-3.665936e-37
236           	-2.566155e-37
237           	-1.796309e-37
238           	-1.257416e-37
239           	-8.801912e-38
240           	-6.161338e-38
241           	-4.312937e-38
242           	-3.019056e-38
243           	-2.113339e-38
244           	-1.479337e-38
245           	-1.035536e-38
246           	-7.248753e-39
247           	-5.074127e-39
248           	-3.551889e-39
249           	-2.486322e-39
250           	-1.740426e-39
251           	-1.218298e-39
252           	-8.528085e-40
253           	-5.969660e-40
254           	-4.178762e-40
255           	-2.925133e-40
256           	-2.047593e-40
257           	-1.433315e-40
258           	-1.003321e-40
259           	-7.023245e-41
260           	-4.916272e-41
261           	-3.441390e-41
262           	-2.408973e-41
263           	-1.686281e-41
264           	-1.180397e-41
265           	-8.262778e-42
266           	-5.783944e-42
267           	-4.048761e-42
268           	-2.834133e-42
269           	-1.983893e-42
270           	-1.388725e-42
271           	-9.721075e-43
272           	-6.804753e-43
273           	-4.763327e-43
274           	-3.334329e-43
275           	-2.334030e-43
276           	-1.633821e-43
277           	-1.143675e-43
278           	-8.005723e-44
279           	-5.604006e-44
280           	-3.922805e-44
281           	-2.745963e-44
282           	-1.922174e-44
283           	-1.345522e-44
284           	-9.418654e-45
285           	-6.593058e-45
286           	-4.615140e-45
287           	-3.230598e-45
288           	-2.261419e-45
289           	-1.582993e-45
290           	-1.108095e-45
291           	-7.756666e-46
292           	-5.429666e-46
293           	-3.800766e-46
294           	-2.660537e-46
295           	-1.862376e-46
296           	-1.303663e-46
297           	-9.125640e-47
298           	-6.387948e-47
299           	-4.471564e-47
300           	-3.130095e-47
301           	-2.191066e-47
302           	-1.533746e-47
303           	-1.073622e-47
304           	-7.515357e-48
305           	-5.260750e-48
306           	-3.682525e-48
307           	-2.577768e-48
308           	-1.804437e-48
309           	-1.263106e-48
310           	-8.841743e-49
311           	-6.189220e-49
312           	-4.332454e-49
313           	-3.032718e-49
314           	-2.122902e-49
315           	-1.486032e-49
316           	-1.040222e-49
317           	-7.281555e-50
318           	-5.097089e-50
319           	-3.567962e-50
320           	-2.497573e-50
321           	-1.748301e-50
322           	-1.223811e-50
323           	-8.566677e-51
324           	-5.996674e-51
325           	-4.197672e-51
326           	-2.938370e-51
327           	-2.056859e-51
328           	-1.439801e-51
329           	-1.007861e-51
330           	-7.055027e-52
331           	-4.938519e-52
332           	-3.456963e-52
333           	-2.419874e-52
334           	-1.693912e-52
335           	-1.185738e-52
336           	-8.300168e-53
337           	-5.810118e-53
338           	-4.067083e-53
339           	-2.846958e-53
340           	-1.992870e-53
341           	-1.395009e-53
342           	-9.765065e-54
343           	-6.835546e-54
344           	-4.784882e-54
345           	-3.349417e-54
346           	-2.344592e-54
347           	-1.641215e-54
348           	-1.148850e-54
349           	-8.041951e-55
350           	-5.629366e-55
351           	-3.940556e-55
352           	-2.758389e-55
353           	-1.930872e-55
354           	-1.351611e-55
355           	-9.461275e-56
356           	-6.622893e-56
357           	-4.636025e-56
358           	-3.245217e-56
359           	-2.271652e-56
360           	-1.590156e-56
361           	-1.113110e-56
362           	-7.791767e-57
363           	-5.454237e-57
364           	-3.817966e-57
365           	-2.672576e-57
366           	-1.870803e-57
367           	-1.309562e-57
368           	-9.166936e-58
369           	-6.416855e-58
370           	-4.491799e-58
371           	-3.144259e-58
372           	-2.200981e-58
373           	-1.540687e-58
374           	-1.078481e-58
375           	-7.549366e-59
376           	-5.284556e-59
377           	-3.699189e-59
378           	-2.589432e-59
379           	-1.812603e-59
380           	-1.268822e-59
381           	-8.881753e-60
382           	-6.217227e-60
383           	-4.352059e-60
384           	-3.046441e-60
385           	-2.132509e-60
386           	-1.492756e-60
387           	-1.044929e-60
388           	-7.314506e-61
389           	-5.120154e-61
390           	-3.584108e-61
391           	-2.508875e-61
392           	-1.756213e-61
393           	-1.229349e-61
394           	-8.605443e-62
395           	-6.023810e-62
396           	-4.216667e-62
397           	-2.951667e-62
398           	-2.066167e-62
399           	-1.446317e-62
400           	-1.012422e-62
401           	-7.086952e-63
402           	-4.960867e-63
403           	-3.472607e-63
404           	-2.430825e-63
405           	-1.701577e-63
406           	-1.191104e-63
407           	-8.337728e-64
408           	-5.836410e-64
409           	-4.085487e-64
410           	-2.859841e-64
411           	-2.001889e-64
412           	-1.401322e-64
413           	-9.809254e-65
414           	-6.866478e-65
415           	-4.806535e-65
416           	-3.364574e-65
417           	-2.355202e-65
418           	-1.648641e-65
419           	-1.154049e-65
420           	-8.078343e-66
421           	-5.654840e-66
422           	-3.958388e-66
423           	-2.770872e-66
424           	-1.939610e-66
425           	-1.357727e-66
426           	-9.504089e-67
427           	-6.652862e-67
428           	-4.657004e-67
429           	-3.259903e-67
430           	-2.281932e-67
431           	-1.597352e-67
432           	-1.118147e-67
433           	-7.827026e-68
434           	-5.478918e-68
435           	-3.835243e-68
436           	-2.684670e-68
437           	-1.879269e-68
438           	-1.315488e-68
439           	-9.208418e-69
440           	-6.445893e-69
441           	-4.512125e-69
442           	-3.158487e-69
443           	-2.210941e-69
444           	-1.547659e-69
445           	-1.083361e-69
446           	-7.583528e-70
447           	-5.308470e-70
448           	-3.715929e-70
449           	-2.601150e-70
450           	-1.820805e-70
451           	-1.274564e-70
452           	-8.921945e-71
453           	-6.245362e-71
454           	-4.371753e-71
455           	-3.060227e-71
456           	-2.142159e-71
457           	-1.499511e-71
458           	-1.049658e-71
459           	-7.347605e-72
460           	-5.143324e-72
461           	-3.600327e-72
462           	-2.520229e-72
463           	-1.764160e-72
464           	-1.234912e-72
465           	-8.644384e-73
466           	-6.051069e-73
467           	-4.235748e-73
468           	-2.965024e-73
469           	-2.075517e-73
470           	-1.452862e-73
471           	-1.017003e-73
472           	-7.119022e-74
473           	-4.983316e-74
474           	-3.488321e-74
475           	-2.441825e-74
476           	-1.709277e-74
477           	-1.196494e-74
478           	-8.375458e-75
479           	-5.862821e-75
480           	-4.103975e-75
481           	-2.872782e-75
482           	-2.010948e-75
483           	-1.407663e-75
484           	-9.853643e-76
485           	-6.897550e-76
486           	-4.828285e-76
487           	-3.379800e-76
488           	-2.365860e-76
489           	-1.656102e-76
490           	-1.159271e-76
491           	-8.114899e-77
492           	-5.680429e-77
493           	-3.976300e-77
494           	-2.783410e-77
495           	-1.948387e-77
496           	-1.363871e-77
497           	-9.547097e-78
498           	-6.682968e-78
499           	-4.678078e-78
500           	-3.274654e-78
501           	-2.292258e-78
502           	-1.604581e-78
503           	-1.123206e-78
504           	-7.862445e-79
505           	-5.503712e-79
506           	-3.852598e-79
507           	-2.696819e-79
508           	-1.887773e-79
509           	-1.321441e-79
510           	-9.250088e-80
511           	-6.475062e-80
512           	-4.532543e-80
513           	-3.172780e-80
514           	-2.220946e-80
515           	-1.554662e-80
516           	-1.088264e-80
517           	-7.617845e-81
518           	-5.332492e-81
519           	-3.732744e-81
520           	-2.612921e-81
521           	-1.829045e-81
522           	-1.280331e-81
523           	-8.962319e-82
524           	-6.273623e-82
525           	-4.391536e-82
526           	-3.074075e-82
527           	-2.151853e-82
528           	-1.506297e-82
529           	-1.054408e-82
530           	-7.380855e-83
531           	-5.166598e-83
532           	-3.616619e-83
533           	-2.531633e-83
534           	-1.772143e-83
535           	-1.240500e-83
536           	-8.683502e-84
537           	-6.078451e-84
538           	-4.254916e-84
539           	-2.978441e-84
540           	-2.084909e-84
541           	-1.459436e-84
542           	-1.021605e-84
543           	-7.151237e-85
544           	-5.005866e-85
545           	-3.504106e-85
546           	-2.452874e-85
547           	-1.717012e-85
548           	-1.201908e-85
549           	-8.413359e-86
550           	-5.889351e-86
551           	-4.122546e-86
552           	-2.885782e-86
553           	-2.020048e-86
554           	-1.414033e-86
555           	-9.898233e-87
556           	-6.928763e-87
557           	-4.850134e-87
558           	-3.395094e-87
559           	-2.376566e-87
560           	-1.663596e-87
561           	-1.164517e-87
562           	-8.151620e-88
563           	-5.706134e-88
564           	-3.994294e-88
565           	-2.796006e-88
566           	-1.957204e-88
567           	-1.370043e-88
568           	-9.590300e-89
569           	-6.713210e-89
570           	-4.699247e-89
571           	-3.289473e-89
572           	-2.302631e-89
573           	-1.611842e-89
574           	-1.128289e-89
575           	-7.898024e-90
576           	-5.528617e-90
577           	-3.870032e-90
578           	-2.709022e-90
579           	-1.896316e-90
580           	-1.327421e-90
581           	-9.291947e-91
582           	-6.504363e-91
583           	-4.553054e-91
584           	-3.187138e-91
585           	-2.230996e-91
586           	-1.561697e-91
587           	-1.093188e-91
588           	-7.652318e-92
589           	-5.356622e-92
590           	-3.749636e-92
591           	-2.624745e-92
592           	-1.837321e-92
593           	-1.286125e-92
594           	-9.002875e-93
595           	-6.302013e-93
596           	-4.411409e-93
597           	-3.087986e-93
598           	-2.161590e-93
599           	-1.513113e-93
600           	-1.059179e-93
601           	-7.414255e-94
602           	-5.189978e-94
603           	-3.632985e-94
604           	-2.543089e-94
605           	-1.780163e-94
606           	-1.246114e-94
607           	-8.722797e-95
608           	-6.105958e-95
609           	-4.274170e-95
610           	-2.991919e-95
611           	-2.094343e-95
612           	-1.466040e-95
613           	-1.026228e-95
614           	-7.183598e-96
615           	-5.028519e-96
616           	-3.519963e-96
617           	-2.463974e-96
618           	-1.724782e-96
619           	-1.207347e-96
620           	-8.451431e-97
621           	-5.916002e-97
622           	-4.141201e-97
623           	-2.898841e-97
624           	-2.029189e-97
625           	-1.420432e-97
626           	-9.943025e-98
627           	-6.960117e-98
628           	-4.872082e-98
629           	-3.410457e-98
630           	-2.387320e-98
631           	-1.671124e-98
632           	-1.169787e-98
633           	-8.188508e-99
634           	-5.731956e-99
635           	-4.012369e-99
636           	-2.808658e-99
637           	-1.966061e-99
638           	-1.376243e-99
639           	-9.633698e-100
640           	-6.743589e-100
641           	-4.720512e-100
642           	-3.304358e-100
643           	-2.313051e-100
644           	-1.619136e-100
645           	-1.133395e-100
646           	-7.933765e-101
647           	-5.553635e-101
648           	-3.887545e-101
649           	-2.721281e-101
650           	-1.904897e-101
651           	-1.333428e-101
652           	-9.333995e-102
653           	-6.533796e-102
654           	-4.573657e-102
655           	-3.201560e-102
656           	-2.241092e-102
657           	-1.568764e-102
658           	-1.098135e-102
659           	-7.686946e-103
660           	-5.380862e-103
661           	-3.766604e-103
662           	-2.636622e-103
663           	-1.845636e-103
664           	-1.291945e-103
665           	-9.043615e-104
666           	-6.330531e-104
667           	-4.431371e-104
668           	-3.101960e-104
669           	-2.171372e-104
670           	-1.519960e-104
671           	-1.063972e-104
672           	-7.447806e-105
673           	-5.213464e-105
674           	-3.649425e-105
675           	-2.554597e-105
676           	-1.788218e-105
677           	-1.251753e-105
678           	-8.762269e-106
