# Region type : patch ent
# Faces  :    212
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	4.992221e+04
2             	4.337844e+04
3             	2.440838e+04
4             	4.847621e+03
5             	-9.594113e+03
6             	-1.612073e+04
7             	-1.606192e+04
8             	-1.175075e+04
9             	-5.653971e+03
10            	-5.093933e+01
11            	3.738523e+03
12            	5.282697e+03
13            	4.921596e+03
14            	3.395454e+03
15            	1.512437e+03
16            	-9.101585e+01
17            	-1.065602e+03
18            	-1.347715e+03
19            	-1.089907e+03
20            	-5.357693e+02
21            	6.012393e+01
22            	5.186516e+02
23            	7.557337e+02
24            	7.732371e+02
25            	6.364921e+02
26            	4.292635e+02
27            	2.307048e+02
28            	9.273914e+01
29            	3.179057e+01
30            	3.966974e+01
31            	9.045733e+01
32            	1.557596e+02
33            	2.114354e+02
34            	2.436754e+02
35            	2.498666e+02
36            	2.354660e+02
37            	2.097747e+02
38            	1.824861e+02
39            	1.607912e+02
40            	1.482115e+02
41            	1.440288e+02
42            	1.460822e+02
43            	1.510409e+02
44            	1.558183e+02
45            	1.583355e+02
46            	1.579310e+02
47            	1.549448e+02
48            	1.502970e+02
49            	1.451281e+02
50            	1.404207e+02
51            	1.367618e+02
52            	1.341484e+02
53            	1.324780e+02
54            	1.314200e+02
55            	1.304319e+02
56            	1.293152e+02
57            	1.278833e+02
58            	1.261535e+02
59            	1.242579e+02
60            	1.223253e+02
61            	1.204675e+02
62            	1.187582e+02
63            	1.172141e+02
64            	1.158144e+02
65            	1.145133e+02
66            	1.132735e+02
67            	1.120862e+02
68            	1.108553e+02
69            	1.096155e+02
70            	1.083902e+02
71            	1.071819e+02
72            	1.060171e+02
73            	1.048941e+02
74            	1.038104e+02
75            	1.027678e+02
76            	1.017607e+02
77            	1.007817e+02
78            	9.982556e+01
79            	9.889107e+01
80            	9.796908e+01
81            	9.706732e+01
82            	9.618565e+01
83            	9.532480e+01
84            	9.448528e+01
85            	9.366669e+01
86            	9.286820e+01
87            	9.208869e+01
88            	9.132756e+01
89            	9.058251e+01
90            	8.985311e+01
91            	8.913942e+01
92            	8.844082e+01
93            	8.775677e+01
94            	8.708687e+01
95            	8.643074e+01
96            	8.578806e+01
97            	8.515848e+01
98            	8.454127e+01
99            	8.393732e+01
100           	8.334985e+01
101           	8.277135e+01
102           	8.220225e+01
103           	8.164256e+01
104           	8.109313e+01
105           	8.055384e+01
106           	8.002508e+01
107           	7.950680e+01
108           	7.899914e+01
109           	7.850068e+01
110           	7.801157e+01
111           	7.753064e+01
112           	7.705768e+01
113           	7.659664e+01
114           	7.614158e+01
115           	7.569295e+01
116           	7.525087e+01
117           	7.481548e+01
118           	7.438757e+01
119           	7.396876e+01
120           	7.355630e+01
121           	7.315109e+01
122           	7.275362e+01
123           	7.236336e+01
124           	7.198497e+01
125           	7.160054e+01
126           	7.122877e+01
127           	7.085969e+01
128           	7.049388e+01
129           	7.013334e+01
130           	6.977795e+01
131           	6.942944e+01
132           	6.908912e+01
133           	6.875589e+01
134           	6.842721e+01
135           	6.810279e+01
136           	6.778450e+01
137           	6.746934e+01
138           	6.715700e+01
139           	6.684967e+01
140           	6.654985e+01
141           	6.625425e+01
142           	6.596092e+01
143           	6.566989e+01
144           	6.538121e+01
145           	6.508849e+01
146           	6.481257e+01
147           	6.453707e+01
148           	6.426722e+01
149           	6.400621e+01
150           	6.374897e+01
151           	6.349397e+01
152           	6.324057e+01
153           	6.298927e+01
154           	6.273953e+01
155           	6.249240e+01
156           	6.224835e+01
157           	6.200811e+01
158           	6.177179e+01
159           	6.153916e+01
160           	6.131046e+01
161           	6.108238e+01
162           	6.086097e+01
163           	6.064185e+01
164           	6.042468e+01
165           	6.020945e+01
166           	5.999642e+01
167           	5.978560e+01
168           	5.957748e+01
169           	5.936972e+01
170           	5.916837e+01
171           	5.896972e+01
172           	5.877127e+01
173           	5.857846e+01
174           	5.838587e+01
175           	5.819565e+01
176           	5.800975e+01
177           	5.782507e+01
178           	5.764139e+01
179           	5.745924e+01
180           	5.727897e+01
181           	5.709864e+01
182           	5.692201e+01
183           	5.674911e+01
184           	5.657913e+01
185           	5.641179e+01
186           	5.624676e+01
187           	5.608314e+01
188           	5.592106e+01
189           	5.575744e+01
190           	5.560241e+01
191           	5.543930e+01
192           	5.528016e+01
193           	5.512758e+01
194           	5.497596e+01
195           	5.482166e+01
196           	5.467090e+01
197           	5.452504e+01
198           	5.437903e+01
199           	5.423655e+01
200           	5.409415e+01
201           	5.394918e+01
202           	5.380903e+01
203           	5.366906e+01
204           	5.353080e+01
205           	5.339413e+01
206           	5.325807e+01
207           	5.312319e+01
208           	5.298868e+01
209           	5.285638e+01
210           	5.272671e+01
211           	5.259941e+01
212           	5.247359e+01
213           	5.234974e+01
214           	5.222691e+01
215           	5.210471e+01
216           	5.198299e+01
217           	5.186183e+01
218           	5.174147e+01
219           	5.162229e+01
220           	5.150449e+01
221           	5.138823e+01
222           	5.127324e+01
223           	5.115965e+01
224           	5.104729e+01
225           	5.093603e+01
226           	5.082576e+01
227           	5.071688e+01
228           	5.060900e+01
229           	5.050215e+01
230           	5.039615e+01
231           	5.029103e+01
232           	5.018690e+01
233           	5.008362e+01
234           	4.998149e+01
235           	4.988049e+01
236           	4.978055e+01
237           	4.968160e+01
238           	4.958366e+01
239           	4.948689e+01
240           	4.939113e+01
241           	4.929642e+01
242           	4.920246e+01
243           	4.910929e+01
244           	4.901670e+01
245           	4.892497e+01
246           	4.883413e+01
247           	4.874421e+01
248           	4.865521e+01
249           	4.856716e+01
250           	4.847994e+01
251           	4.839354e+01
252           	4.830864e+01
253           	4.822442e+01
254           	4.814122e+01
255           	4.805843e+01
256           	4.797590e+01
257           	4.789417e+01
258           	4.781307e+01
259           	4.773291e+01
260           	4.765366e+01
261           	4.757525e+01
262           	4.749760e+01
263           	4.742068e+01
264           	4.734450e+01
265           	4.726965e+01
266           	4.719529e+01
267           	4.712154e+01
268           	4.704814e+01
269           	4.697518e+01
270           	4.690284e+01
271           	4.683125e+01
272           	4.676042e+01
273           	4.669033e+01
274           	4.662095e+01
275           	4.655227e+01
276           	4.648432e+01
277           	4.641680e+01
278           	4.635012e+01
279           	4.628434e+01
280           	4.621910e+01
281           	4.615434e+01
282           	4.609002e+01
283           	4.602615e+01
284           	4.596281e+01
285           	4.590005e+01
286           	4.583793e+01
287           	4.577655e+01
288           	4.571562e+01
289           	4.565527e+01
290           	4.559529e+01
291           	4.553631e+01
292           	4.547842e+01
293           	4.542084e+01
294           	4.536306e+01
295           	4.530591e+01
296           	4.524952e+01
297           	4.519385e+01
298           	4.513891e+01
299           	4.508436e+01
300           	4.503033e+01
301           	4.497668e+01
302           	4.492353e+01
303           	4.487083e+01
304           	4.481870e+01
305           	4.476743e+01
306           	4.471665e+01
307           	4.466627e+01
308           	4.461629e+01
309           	4.456668e+01
310           	4.451736e+01
311           	4.446857e+01
312           	4.442029e+01
313           	4.437249e+01
314           	4.432516e+01
315           	4.427827e+01
316           	4.423181e+01
317           	4.418541e+01
318           	4.414023e+01
319           	4.409581e+01
320           	4.405192e+01
321           	4.400815e+01
322           	4.396462e+01
323           	4.392130e+01
324           	4.387823e+01
325           	4.383549e+01
326           	4.379314e+01
327           	4.375074e+01
328           	4.370898e+01
329           	4.366808e+01
330           	4.362850e+01
331           	4.358941e+01
332           	4.355050e+01
333           	4.351147e+01
334           	4.347223e+01
335           	4.343313e+01
336           	4.339446e+01
337           	4.335533e+01
338           	4.331692e+01
339           	4.327912e+01
340           	4.324234e+01
341           	4.320637e+01
342           	4.317106e+01
343           	4.313611e+01
344           	4.310186e+01
345           	4.306801e+01
346           	4.303360e+01
347           	4.299954e+01
348           	4.296552e+01
349           	4.293164e+01
350           	4.289793e+01
351           	4.286457e+01
352           	4.283262e+01
353           	4.280133e+01
354           	4.277036e+01
355           	4.273978e+01
356           	4.270957e+01
357           	4.268000e+01
358           	4.265070e+01
359           	4.262201e+01
360           	4.259316e+01
361           	4.256424e+01
362           	4.253540e+01
363           	4.250783e+01
364           	4.247913e+01
365           	4.245182e+01
366           	4.242444e+01
367           	4.239702e+01
368           	4.236965e+01
369           	4.234246e+01
370           	4.231576e+01
371           	4.228944e+01
372           	4.226375e+01
373           	4.223798e+01
374           	4.221216e+01
375           	4.218638e+01
376           	4.216043e+01
377           	4.213457e+01
378           	4.210869e+01
379           	4.208319e+01
380           	4.205885e+01
381           	4.203502e+01
382           	4.201171e+01
383           	4.198910e+01
384           	4.196680e+01
385           	4.194442e+01
386           	4.192275e+01
387           	4.190077e+01
388           	4.187887e+01
389           	4.185718e+01
390           	4.183593e+01
391           	4.181522e+01
392           	4.179510e+01
393           	4.177553e+01
394           	4.175645e+01
395           	4.173794e+01
396           	4.172009e+01
397           	4.170245e+01
398           	4.168475e+01
399           	4.166711e+01
400           	4.164955e+01
401           	4.163208e+01
402           	4.161479e+01
403           	4.159768e+01
404           	4.158077e+01
405           	4.156410e+01
406           	4.154767e+01
407           	4.153145e+01
408           	4.151569e+01
409           	4.150032e+01
410           	4.148505e+01
411           	4.146982e+01
412           	4.145453e+01
413           	4.143917e+01
414           	4.142380e+01
415           	4.140849e+01
416           	4.139331e+01
417           	4.137832e+01
418           	4.136356e+01
419           	4.134907e+01
420           	4.133455e+01
421           	4.132050e+01
422           	4.130693e+01
423           	4.129335e+01
424           	4.127972e+01
425           	4.126600e+01
426           	4.125221e+01
427           	4.123779e+01
428           	4.122402e+01
429           	4.121081e+01
430           	4.119801e+01
431           	4.118521e+01
432           	4.117253e+01
433           	4.115988e+01
434           	4.114733e+01
435           	4.113520e+01
436           	4.112311e+01
437           	4.111100e+01
438           	4.109886e+01
439           	4.108698e+01
440           	4.107507e+01
441           	4.106289e+01
442           	4.105108e+01
443           	4.103941e+01
444           	4.102784e+01
445           	4.101631e+01
446           	4.100478e+01
447           	4.099310e+01
448           	4.098202e+01
449           	4.097107e+01
450           	4.096031e+01
