# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((1.182228e+00 -6.018080e-02 3.990562e-03) (-4.430387e-03 5.857985e-05 -4.058886e-04)) ((5.401366e-06 1.093186e-04 1.025817e-03) (2.042009e-07 5.948114e-06 -1.307228e-06))
2             	((1.003481e+00 -5.047253e-02 1.183140e-02) (-8.235696e-02 1.045550e-03 1.590962e-04)) ((2.560352e-06 -1.320467e-05 8.673202e-04) (-9.743380e-08 -5.534351e-06 -2.140624e-05))
3             	((5.614663e-01 -2.682140e-02 1.901794e-02) (-9.756592e-02 1.167776e-03 4.766014e-04)) ((-1.566363e-06 -1.542447e-04 4.317331e-04) (-2.788532e-07 -8.128861e-06 -2.456953e-05))
4             	((9.447452e-02 -3.920209e-03 2.086019e-02) (-7.845328e-02 8.674011e-04 2.906465e-04)) ((-4.289896e-06 -2.359531e-04 -4.881880e-06) (-2.235207e-07 -4.808211e-06 -1.832107e-05))
5             	((-2.377543e-01 1.166775e-02 1.714942e-02) (-4.503122e-02 4.103008e-04 -1.731302e-04)) ((-4.963788e-06 -2.320522e-04 -3.017098e-04) (-5.096371e-08 1.258825e-06 -9.565642e-06))
6             	((-3.940089e-01 1.895745e-02 1.020030e-02) (-1.312221e-02 2.928200e-05 -5.689402e-04)) ((-4.219828e-06 -1.703762e-04 -4.084934e-04) (1.061886e-07 6.822722e-06 -2.045157e-06))
7             	((-3.901390e-01 1.864028e-02 3.351315e-03) (6.161693e-03 -1.256023e-04 -6.605292e-04)) ((-2.760847e-06 -8.833773e-05 -3.752035e-04) (1.661363e-07 9.002903e-06 2.133811e-06))
8             	((-2.842625e-01 1.371786e-02 -1.548283e-03) (1.165197e-02 -1.139432e-04 -5.012372e-04)) ((-1.284619e-06 -1.489709e-05 -2.562245e-04) (1.453884e-07 8.229784e-06 3.114119e-06))
9             	((-1.340454e-01 6.728561e-03 -3.668625e-03) (5.841020e-03 5.272096e-06 -2.849737e-04)) ((-1.746013e-07 3.417910e-05 -1.098953e-04) (9.217375e-08 6.154207e-06 1.602311e-06))
10            	((4.210266e-03 4.188196e-04 -3.364619e-03) (-4.788444e-03 1.309917e-04 -1.381253e-04)) ((3.908384e-07 5.323142e-05 1.490244e-05) (4.888478e-08 4.134038e-06 -1.181039e-06))
11            	((9.719371e-02 -3.860930e-03 -1.690003e-03) (-1.589537e-02 2.408197e-04 -8.216346e-05)) ((5.204101e-07 4.869550e-05 9.222043e-05) (2.606857e-08 2.773315e-06 -4.092587e-06))
12            	((1.340155e-01 -5.775635e-03 2.758515e-04) (-2.473744e-02 3.187696e-04 -8.766439e-05)) ((4.077608e-07 3.094627e-05 1.167704e-04) (1.881330e-08 2.092650e-06 -6.443202e-06))
13            	((1.233101e-01 -5.720272e-03 1.795533e-03) (-2.993256e-02 3.594460e-04 -1.214799e-04)) ((2.091962e-07 9.828427e-06 9.947842e-05) (2.041026e-08 1.879993e-06 -7.860424e-06))
14            	((8.363313e-02 -4.401021e-03 2.495665e-03) (-3.130700e-02 3.659821e-04 -1.638454e-04)) ((4.275972e-08 -6.924739e-06 5.918193e-05) (2.633453e-08 1.967103e-06 -8.263240e-06))
15            	((3.538447e-02 -2.612322e-03 2.368397e-03) (-2.961813e-02 3.467358e-04 -2.019826e-04)) ((-3.388156e-08 -1.536107e-05 1.457005e-05) (3.324697e-08 2.168846e-06 -7.838959e-06))
16            	((-5.185414e-03 -9.871824e-04 1.676003e-03) (-2.617398e-02 3.131925e-04 -2.279302e-04)) ((-3.342811e-08 -1.564346e-05 -2.044061e-05) (3.883966e-08 2.354719e-06 -6.929124e-06))
17            	((-2.929307e-02 1.243041e-04 7.710928e-04) (-2.237004e-02 2.767613e-04 -2.376227e-04)) ((6.445399e-09 -1.024643e-05 -3.910737e-05) (4.173036e-08 2.459505e-06 -5.903700e-06))
18            	((-3.560949e-02 6.279624e-04 -3.439665e-05) (-1.927507e-02 2.454117e-04 -2.307219e-04)) ((5.309855e-08 -2.384563e-06 -4.138329e-05) (4.157496e-08 2.448677e-06 -5.058062e-06))
19            	((-2.812676e-02 6.258606e-04 -5.430124e-04) (-1.740688e-02 2.229070e-04 -2.121677e-04)) ((8.262102e-08 5.048795e-06 -3.177909e-05) (3.932366e-08 2.340694e-06 -4.538419e-06))
20            	((-1.330308e-02 2.990624e-04 -6.881598e-04) (-1.675985e-02 2.094371e-04 -1.898343e-04)) ((7.990624e-08 9.891861e-06 -1.682236e-05) (3.665115e-08 2.187671e-06 -4.347947e-06))
21            	((2.378438e-03 -1.512228e-04 -5.410951e-04) (-1.699098e-02 2.029308e-04 -1.703636e-04)) ((5.691718e-08 1.165391e-05 -2.326749e-06) (3.485426e-08 2.037640e-06 -4.397047e-06))
22            	((1.425594e-02 -5.608611e-04 -2.368795e-04) (-1.763016e-02 2.003254e-04 -1.572590e-04)) ((2.963292e-08 1.087594e-05 7.824815e-06) (3.428037e-08 1.914709e-06 -4.559748e-06))
23            	((2.020492e-02 -8.326617e-04 8.376152e-05) (-1.825002e-02 1.987278e-04 -1.507537e-04)) ((1.226050e-08 8.674414e-06 1.217113e-05) (3.451952e-08 1.815302e-06 -4.719115e-06))
24            	((2.044461e-02 -9.373735e-04 3.200716e-04) (-1.856641e-02 1.960551e-04 -1.491322e-04)) ((9.481569e-09 6.159039e-06 1.129010e-05) (3.489811e-08 1.724533e-06 -4.795847e-06))
25            	((1.671698e-02 -9.001187e-04 4.266723e-04) (-1.846966e-02 1.913241e-04 -1.503264e-04)) ((1.974449e-08 4.145724e-06 7.078904e-06) (3.502900e-08 1.638906e-06 -4.758127e-06))
26            	((1.125871e-02 -7.689879e-04 4.069088e-04) (-1.799783e-02 1.844237e-04 -1.527304e-04)) ((3.755218e-08 3.078653e-06 1.769311e-06) (3.492267e-08 1.569450e-06 -4.616823e-06))
