# Region type : patch ent
# Faces  :    102
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	-1.080931e-02
5             	-5.340523e-02
6             	-4.100078e-02
7             	-3.439805e-02
8             	-3.289163e-02
9             	-2.924025e-02
10            	-2.113506e-02
11            	-1.482741e-02
12            	-1.037919e-02
13            	-7.265432e-03
14            	-5.085803e-03
15            	-3.560062e-03
16            	-2.492043e-03
17            	-1.744430e-03
18            	-1.221101e-03
19            	-8.547709e-04
20            	-5.983396e-04
21            	-4.188377e-04
22            	-2.931864e-04
23            	-2.052305e-04
24            	-1.436613e-04
25            	-1.005629e-04
26            	-7.039406e-05
27            	-4.927584e-05
28            	-3.449309e-05
29            	-2.414516e-05
30            	-1.690161e-05
31            	-1.183113e-05
32            	-8.281790e-06
33            	-5.797253e-06
34            	-4.058077e-06
35            	-2.840654e-06
36            	-1.988458e-06
37            	-1.391920e-06
38            	-9.743443e-07
39            	-6.820410e-07
40            	-4.774287e-07
41            	-3.342001e-07
42            	-2.339401e-07
43            	-1.637581e-07
44            	-1.146306e-07
45            	-8.024145e-08
46            	-5.616901e-08
47            	-3.931831e-08
48            	-2.752282e-08
49            	-1.926597e-08
50            	-1.348618e-08
51            	-9.440326e-09
52            	-6.608228e-09
53            	-4.625760e-09
54            	-3.238032e-09
55            	-2.266622e-09
56            	-1.586636e-09
57            	-1.110645e-09
58            	-7.774514e-10
59            	-5.442160e-10
60            	-3.809512e-10
61            	-2.666658e-10
62            	-1.866661e-10
63            	-1.306663e-10
64            	-9.146638e-11
65            	-6.402647e-11
66            	-4.481853e-11
67            	-3.137297e-11
68            	-2.196108e-11
69            	-1.537275e-11
70            	-1.076093e-11
71            	-7.532650e-12
72            	-5.272855e-12
73            	-3.690998e-12
74            	-2.583699e-12
75            	-1.808589e-12
76            	-1.266012e-12
77            	-8.862087e-13
78            	-6.203461e-13
79            	-4.342423e-13
80            	-3.039696e-13
81            	-2.127787e-13
82            	-1.489451e-13
83            	-1.042616e-13
84            	-7.298310e-14
85            	-5.108817e-14
86            	-3.576172e-14
87            	-2.503320e-14
88            	-1.752324e-14
89            	-1.226627e-14
90            	-8.586389e-15
91            	-6.010472e-15
92            	-4.207330e-15
93            	-2.945131e-15
94            	-2.061592e-15
95            	-1.443114e-15
96            	-1.010180e-15
97            	-7.071260e-16
98            	-4.949882e-16
99            	-3.464918e-16
100           	-2.425442e-16
101           	-1.697810e-16
102           	-1.188467e-16
103           	-8.319267e-17
104           	-5.823487e-17
105           	-4.076441e-17
106           	-2.853509e-17
107           	-1.997456e-17
108           	-1.398219e-17
109           	-9.787534e-18
110           	-6.851274e-18
111           	-4.795892e-18
112           	-3.357124e-18
113           	-2.349987e-18
114           	-1.644991e-18
115           	-1.151494e-18
116           	-8.060456e-19
117           	-5.642319e-19
118           	-3.949623e-19
119           	-2.764736e-19
120           	-1.935315e-19
121           	-1.354721e-19
122           	-9.483045e-20
123           	-6.638132e-20
124           	-4.646692e-20
125           	-3.252685e-20
126           	-2.276879e-20
127           	-1.593815e-20
128           	-1.115671e-20
129           	-7.809696e-21
130           	-5.466787e-21
131           	-3.826751e-21
132           	-2.678726e-21
133           	-1.875108e-21
134           	-1.312576e-21
135           	-9.188029e-22
136           	-6.431620e-22
137           	-4.502134e-22
138           	-3.151494e-22
139           	-2.206046e-22
140           	-1.544232e-22
141           	-1.080962e-22
142           	-7.566737e-23
143           	-5.296716e-23
144           	-3.707701e-23
145           	-2.595391e-23
146           	-1.816773e-23
147           	-1.271741e-23
148           	-8.902190e-24
149           	-6.231533e-24
150           	-4.362073e-24
151           	-3.053451e-24
152           	-2.137416e-24
153           	-1.496191e-24
154           	-1.047334e-24
155           	-7.331336e-25
156           	-5.131935e-25
157           	-3.592355e-25
158           	-2.514648e-25
159           	-1.760254e-25
160           	-1.232178e-25
161           	-8.625244e-26
162           	-6.037671e-26
163           	-4.226370e-26
164           	-2.958459e-26
165           	-2.070921e-26
166           	-1.449645e-26
167           	-1.014751e-26
168           	-7.103259e-27
169           	-4.972281e-27
170           	-3.480597e-27
171           	-2.436418e-27
172           	-1.705493e-27
173           	-1.193845e-27
174           	-8.356913e-28
175           	-5.849839e-28
176           	-4.094888e-28
177           	-2.866421e-28
178           	-2.006495e-28
179           	-1.404546e-28
180           	-9.831825e-29
181           	-6.882278e-29
182           	-4.817594e-29
183           	-3.372316e-29
184           	-2.360621e-29
185           	-1.652435e-29
186           	-1.156704e-29
187           	-8.096931e-30
188           	-5.667852e-30
189           	-3.967496e-30
190           	-2.777247e-30
191           	-1.944073e-30
192           	-1.360851e-30
193           	-9.525958e-31
194           	-6.668171e-31
195           	-4.667719e-31
196           	-3.267404e-31
197           	-2.287183e-31
198           	-1.601028e-31
199           	-1.120719e-31
200           	-7.845036e-32
201           	-5.491525e-32
202           	-3.844068e-32
203           	-2.690847e-32
204           	-1.883593e-32
205           	-1.318515e-32
206           	-9.229607e-33
207           	-6.460725e-33
208           	-4.522507e-33
209           	-3.165755e-33
210           	-2.216029e-33
211           	-1.551220e-33
212           	-1.085854e-33
213           	-7.600978e-34
214           	-5.320684e-34
215           	-3.724479e-34
216           	-2.607135e-34
217           	-1.824995e-34
218           	-1.277496e-34
219           	-8.942474e-35
220           	-6.259732e-35
221           	-4.381812e-35
222           	-3.067269e-35
223           	-2.147088e-35
224           	-1.502962e-35
225           	-1.052073e-35
226           	-7.364512e-36
227           	-5.155159e-36
228           	-3.608611e-36
229           	-2.526028e-36
230           	-1.768219e-36
231           	-1.237754e-36
232           	-8.664275e-37
233           	-6.064992e-37
234           	-4.245495e-37
235           	-2.971846e-37
236           	-2.080292e-37
237           	-1.456205e-37
238           	-1.019343e-37
239           	-7.135403e-38
240           	-4.994782e-38
241           	-3.496347e-38
242           	-2.447443e-38
243           	-1.713210e-38
244           	-1.199247e-38
245           	-8.394730e-39
246           	-5.876311e-39
247           	-4.113418e-39
248           	-2.879392e-39
249           	-2.015575e-39
250           	-1.410902e-39
251           	-9.876316e-40
252           	-6.913421e-40
253           	-4.839395e-40
254           	-3.387576e-40
255           	-2.371304e-40
256           	-1.659912e-40
257           	-1.161939e-40
258           	-8.133571e-41
259           	-5.693500e-41
260           	-3.985450e-41
261           	-2.789815e-41
262           	-1.952870e-41
263           	-1.367009e-41
264           	-9.569065e-42
265           	-6.698346e-42
266           	-4.688842e-42
267           	-3.282189e-42
268           	-2.297533e-42
269           	-1.608273e-42
270           	-1.125791e-42
271           	-7.880537e-43
272           	-5.516376e-43
273           	-3.861463e-43
274           	-2.703024e-43
275           	-1.892117e-43
276           	-1.324482e-43
277           	-9.271372e-44
278           	-6.489961e-44
279           	-4.542972e-44
280           	-3.180081e-44
281           	-2.226057e-44
282           	-1.558240e-44
283           	-1.090768e-44
284           	-7.635374e-45
285           	-5.344762e-45
286           	-3.741333e-45
287           	-2.618933e-45
288           	-1.833253e-45
289           	-1.283277e-45
290           	-8.982941e-46
291           	-6.288059e-46
292           	-4.401641e-46
293           	-3.081149e-46
294           	-2.156804e-46
295           	-1.509763e-46
296           	-1.056834e-46
297           	-7.397838e-47
298           	-5.178487e-47
299           	-3.624941e-47
300           	-2.537458e-47
301           	-1.776221e-47
302           	-1.243355e-47
303           	-8.703483e-48
304           	-6.092438e-48
305           	-4.264706e-48
306           	-2.985295e-48
307           	-2.089706e-48
308           	-1.462794e-48
309           	-1.023956e-48
310           	-7.167692e-49
311           	-5.017385e-49
312           	-3.512169e-49
313           	-2.458518e-49
314           	-1.720963e-49
315           	-1.204674e-49
316           	-8.432718e-50
317           	-5.902903e-50
318           	-4.132032e-50
319           	-2.892422e-50
320           	-2.024696e-50
321           	-1.417287e-50
322           	-9.921009e-51
323           	-6.944706e-51
324           	-4.861294e-51
325           	-3.402906e-51
326           	-2.382034e-51
327           	-1.667424e-51
328           	-1.167197e-51
329           	-8.170377e-52
330           	-5.719264e-52
331           	-4.003485e-52
332           	-2.802439e-52
333           	-1.961708e-52
334           	-1.373195e-52
335           	-9.612367e-53
336           	-6.728657e-53
337           	-4.710060e-53
338           	-3.297042e-53
339           	-2.307929e-53
340           	-1.615551e-53
341           	-1.130885e-53
342           	-7.916198e-54
343           	-5.541338e-54
344           	-3.878937e-54
345           	-2.715256e-54
346           	-1.900679e-54
347           	-1.330475e-54
348           	-9.313327e-55
349           	-6.519329e-55
350           	-4.563530e-55
351           	-3.194471e-55
352           	-2.236130e-55
353           	-1.565291e-55
354           	-1.095704e-55
355           	-7.669926e-56
356           	-5.368948e-56
357           	-3.758264e-56
358           	-2.630784e-56
359           	-1.841549e-56
360           	-1.289084e-56
361           	-9.023591e-57
362           	-6.316513e-57
363           	-4.421559e-57
364           	-3.095092e-57
365           	-2.166564e-57
366           	-1.516595e-57
367           	-1.061616e-57
368           	-7.431315e-58
369           	-5.201920e-58
370           	-3.641344e-58
371           	-2.548941e-58
372           	-1.784259e-58
373           	-1.248981e-58
374           	-8.742868e-59
375           	-6.120007e-59
376           	-4.284005e-59
377           	-2.998804e-59
378           	-2.099163e-59
379           	-1.469414e-59
380           	-1.028590e-59
381           	-7.200128e-60
382           	-5.040089e-60
383           	-3.528062e-60
384           	-2.469644e-60
385           	-1.728751e-60
386           	-1.210125e-60
387           	-8.470878e-61
388           	-5.929615e-61
389           	-4.150730e-61
390           	-2.905511e-61
391           	-2.033858e-61
392           	-1.423700e-61
393           	-9.965903e-62
394           	-6.976132e-62
395           	-4.883293e-62
396           	-3.418305e-62
397           	-2.392813e-62
398           	-1.674969e-62
399           	-1.172479e-62
400           	-8.207350e-63
401           	-5.745145e-63
402           	-4.021601e-63
403           	-2.815121e-63
404           	-1.970585e-63
405           	-1.379409e-63
406           	-9.655865e-64
407           	-6.759106e-64
408           	-4.731374e-64
409           	-3.311962e-64
410           	-2.318373e-64
411           	-1.622861e-64
412           	-1.136003e-64
413           	-7.952020e-65
414           	-5.566414e-65
415           	-3.896490e-65
416           	-2.727543e-65
417           	-1.909280e-65
418           	-1.336496e-65
419           	-9.355472e-66
420           	-6.548830e-66
421           	-4.584181e-66
422           	-3.208927e-66
423           	-2.246249e-66
424           	-1.572374e-66
425           	-1.100662e-66
426           	-7.704634e-67
427           	-5.393244e-67
428           	-3.775270e-67
429           	-2.642689e-67
430           	-1.849883e-67
431           	-1.294918e-67
432           	-9.064424e-68
433           	-6.345097e-68
434           	-4.441568e-68
435           	-3.109098e-68
436           	-2.176368e-68
437           	-1.523458e-68
438           	-1.066420e-68
439           	-7.464943e-69
440           	-5.225460e-69
441           	-3.657822e-69
442           	-2.560476e-69
443           	-1.792333e-69
444           	-1.254633e-69
445           	-8.782431e-70
446           	-6.147702e-70
447           	-4.303391e-70
448           	-3.012374e-70
449           	-2.108662e-70
450           	-1.476063e-70
451           	-1.033244e-70
452           	-7.232710e-71
453           	-5.062897e-71
454           	-3.544028e-71
455           	-2.480819e-71
456           	-1.736574e-71
457           	-1.215602e-71
458           	-8.509211e-72
459           	-5.956447e-72
460           	-4.169513e-72
461           	-2.918659e-72
462           	-2.043061e-72
463           	-1.430143e-72
464           	-1.001100e-72
465           	-7.007701e-73
466           	-4.905391e-73
467           	-3.433773e-73
468           	-2.403641e-73
469           	-1.682549e-73
470           	-1.177784e-73
471           	-8.244490e-74
472           	-5.771143e-74
473           	-4.039800e-74
474           	-2.827860e-74
475           	-1.979502e-74
476           	-1.385651e-74
477           	-9.699560e-75
478           	-6.789692e-75
479           	-4.752784e-75
480           	-3.326949e-75
481           	-2.328864e-75
482           	-1.630205e-75
483           	-1.141144e-75
484           	-7.988005e-76
485           	-5.591603e-76
486           	-3.914122e-76
487           	-2.739886e-76
488           	-1.917920e-76
489           	-1.342544e-76
490           	-9.397808e-77
491           	-6.578465e-77
492           	-4.604926e-77
493           	-3.223448e-77
494           	-2.256414e-77
495           	-1.579490e-77
496           	-1.105643e-77
497           	-7.739499e-78
498           	-5.417649e-78
499           	-3.792354e-78
500           	-2.654648e-78
501           	-1.858254e-78
502           	-1.300778e-78
503           	-9.105443e-79
504           	-6.373810e-79
505           	-4.461667e-79
506           	-3.123167e-79
507           	-2.186217e-79
508           	-1.530352e-79
509           	-1.071246e-79
510           	-7.498724e-80
511           	-5.249107e-80
512           	-3.674375e-80
513           	-2.572062e-80
514           	-1.800444e-80
515           	-1.260310e-80
516           	-8.822173e-81
517           	-6.175521e-81
518           	-4.322865e-81
519           	-3.026005e-81
520           	-2.118204e-81
521           	-1.482743e-81
522           	-1.037920e-81
523           	-7.265439e-82
524           	-5.085807e-82
525           	-3.560065e-82
526           	-2.492046e-82
527           	-1.744432e-82
528           	-1.221102e-82
529           	-8.547717e-83
530           	-5.983402e-83
531           	-4.188381e-83
532           	-2.931867e-83
533           	-2.052307e-83
534           	-1.436615e-83
535           	-1.005630e-83
536           	-7.039412e-84
537           	-4.927588e-84
538           	-3.449312e-84
539           	-2.414518e-84
540           	-1.690163e-84
541           	-1.183114e-84
542           	-8.281798e-85
543           	-5.797259e-85
544           	-4.058081e-85
545           	-2.840657e-85
546           	-1.988460e-85
547           	-1.391922e-85
548           	-9.743452e-86
549           	-6.820417e-86
550           	-4.774292e-86
551           	-3.342004e-86
552           	-2.339403e-86
553           	-1.637582e-86
554           	-1.146307e-86
555           	-8.024152e-87
556           	-5.616906e-87
557           	-3.931835e-87
558           	-2.752284e-87
559           	-1.926599e-87
560           	-1.348619e-87
561           	-9.440335e-88
562           	-6.608234e-88
563           	-4.625764e-88
564           	-3.238035e-88
565           	-2.266624e-88
566           	-1.586637e-88
567           	-1.110646e-88
568           	-7.774522e-89
569           	-5.442165e-89
570           	-3.809516e-89
571           	-2.666661e-89
572           	-1.866663e-89
573           	-1.306664e-89
574           	-9.146647e-90
575           	-6.402653e-90
576           	-4.481857e-90
577           	-3.137300e-90
578           	-2.196110e-90
579           	-1.537277e-90
580           	-1.076094e-90
581           	-7.532657e-91
582           	-5.272860e-91
583           	-3.691002e-91
584           	-2.583701e-91
585           	-1.808591e-91
586           	-1.266014e-91
587           	-8.862096e-92
588           	-6.203467e-92
589           	-4.342427e-92
590           	-3.039699e-92
591           	-2.127789e-92
592           	-1.489452e-92
593           	-1.042617e-92
594           	-7.298317e-93
595           	-5.108822e-93
596           	-3.576175e-93
597           	-2.503323e-93
598           	-1.752326e-93
599           	-1.226628e-93
600           	-8.586397e-94
601           	-6.010478e-94
602           	-4.207334e-94
603           	-2.945134e-94
604           	-2.061594e-94
605           	-1.443116e-94
606           	-1.010181e-94
607           	-7.071267e-95
608           	-4.949887e-95
609           	-3.464921e-95
610           	-2.425445e-95
611           	-1.697811e-95
612           	-1.188468e-95
613           	-8.319275e-96
614           	-5.823492e-96
615           	-4.076445e-96
616           	-2.853511e-96
617           	-1.997458e-96
618           	-1.398221e-96
619           	-9.787544e-97
620           	-6.851281e-97
621           	-4.795896e-97
622           	-3.357127e-97
623           	-2.349989e-97
624           	-1.644992e-97
625           	-1.151495e-97
626           	-8.060463e-98
627           	-5.642324e-98
628           	-3.949627e-98
629           	-2.764739e-98
630           	-1.935317e-98
631           	-1.354722e-98
632           	-9.483054e-99
633           	-6.638138e-99
634           	-4.646697e-99
635           	-3.252688e-99
636           	-2.276881e-99
637           	-1.593817e-99
638           	-1.115672e-99
639           	-7.809703e-100
640           	-5.466792e-100
641           	-3.826754e-100
642           	-2.678728e-100
643           	-1.875110e-100
644           	-1.312577e-100
645           	-9.188037e-101
646           	-6.431626e-101
647           	-4.502138e-101
648           	-3.151497e-101
649           	-2.206048e-101
650           	-1.544233e-101
651           	-1.080963e-101
652           	-7.566744e-102
653           	-5.296721e-102
654           	-3.707704e-102
655           	-2.595393e-102
656           	-1.816775e-102
657           	-1.271743e-102
658           	-8.902198e-103
659           	-6.231539e-103
660           	-4.362077e-103
661           	-3.053454e-103
662           	-2.137418e-103
663           	-1.496192e-103
664           	-1.047335e-103
665           	-7.331343e-104
666           	-5.131940e-104
667           	-3.592358e-104
668           	-2.514651e-104
669           	-1.760256e-104
670           	-1.232179e-104
671           	-8.625252e-105
672           	-6.037676e-105
673           	-4.226373e-105
674           	-2.958461e-105
675           	-2.070923e-105
676           	-1.449646e-105
677           	-1.014752e-105
678           	-7.103266e-106
