# Region type : patch out
# Faces  :    108
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	2.612402e+04
2             	2.276354e+04
3             	1.328654e+04
4             	3.163653e+03
5             	-4.318333e+03
6             	-8.003366e+03
7             	-8.246619e+03
8             	-6.202201e+03
9             	-3.111430e+03
10            	-1.692274e+02
11            	1.878130e+03
12            	2.769235e+03
13            	2.652520e+03
14            	1.896875e+03
15            	9.205155e+02
16            	6.532003e+01
17            	-4.742791e+02
18            	-6.549345e+02
19            	-5.458787e+02
20            	-2.711871e+02
21            	3.855127e+01
22            	2.851349e+02
23            	4.192023e+02
24            	4.389330e+02
25            	3.749230e+02
26            	2.700997e+02
27            	1.658712e+02
28            	9.039973e+01
29            	5.344260e+01
30            	5.227581e+01
31            	7.486852e+01
32            	1.065655e+02
33            	1.348527e+02
34            	1.522156e+02
35            	1.565293e+02
36            	1.501796e+02
37            	1.375397e+02
38            	1.234444e+02
39            	1.115984e+02
40            	1.039770e+02
41            	1.006331e+02
42            	1.005232e+02
43            	1.021370e+02
44            	1.039212e+02
45            	1.048772e+02
46            	1.045150e+02
47            	1.028505e+02
48            	1.003264e+02
49            	9.742317e+01
50            	9.465612e+01
51            	9.232748e+01
52            	9.057250e+01
53            	8.925788e+01
54            	8.827808e+01
55            	8.743233e+01
56            	8.660333e+01
57            	8.562628e+01
58            	8.452861e+01
59            	8.335921e+01
60            	8.213527e+01
61            	8.093392e+01
62            	7.980552e+01
63            	7.874759e+01
64            	7.780247e+01
65            	7.690106e+01
66            	7.607255e+01
67            	7.524710e+01
68            	7.444958e+01
69            	7.366840e+01
70            	7.288824e+01
71            	7.210285e+01
72            	7.134137e+01
73            	7.059418e+01
74            	6.987889e+01
75            	6.921307e+01
76            	6.855559e+01
77            	6.791217e+01
78            	6.730226e+01
79            	6.669228e+01
80            	6.611673e+01
81            	6.553320e+01
82            	6.495774e+01
83            	6.440053e+01
84            	6.386584e+01
85            	6.336224e+01
86            	6.286521e+01
87            	6.236008e+01
88            	6.187753e+01
89            	6.139896e+01
90            	6.094305e+01
91            	6.048556e+01
92            	6.004528e+01
93            	5.961412e+01
94            	5.919395e+01
95            	5.878435e+01
96            	5.838612e+01
97            	5.799560e+01
98            	5.761271e+01
99            	5.723391e+01
100           	5.686267e+01
101           	5.649949e+01
102           	5.614893e+01
103           	5.580407e+01
104           	5.546476e+01
105           	5.512960e+01
106           	5.480450e+01
107           	5.448628e+01
108           	5.417346e+01
109           	5.386433e+01
110           	5.356219e+01
111           	5.326702e+01
112           	5.297900e+01
113           	5.269491e+01
114           	5.241499e+01
115           	5.213975e+01
116           	5.187108e+01
117           	5.166730e+01
118           	5.139170e+01
119           	5.112191e+01
120           	5.085984e+01
121           	5.060584e+01
122           	5.036109e+01
123           	5.012282e+01
124           	4.989086e+01
125           	4.966350e+01
126           	4.943924e+01
127           	4.921862e+01
128           	4.899957e+01
129           	4.878102e+01
130           	4.856535e+01
131           	4.835327e+01
132           	4.814883e+01
133           	4.794782e+01
134           	4.775082e+01
135           	4.755656e+01
136           	4.736600e+01
137           	4.717708e+01
138           	4.699050e+01
139           	4.680580e+01
140           	4.662472e+01
141           	4.644602e+01
142           	4.627036e+01
143           	4.609644e+01
144           	4.592587e+01
145           	4.575781e+01
146           	4.559283e+01
147           	4.542906e+01
148           	4.526718e+01
149           	4.550302e+01
150           	4.525571e+01
151           	4.499054e+01
152           	4.474525e+01
153           	4.453459e+01
154           	4.435788e+01
155           	4.420573e+01
156           	4.407036e+01
157           	4.393891e+01
158           	4.380395e+01
159           	4.366507e+01
160           	4.352428e+01
161           	4.338015e+01
162           	4.323218e+01
163           	4.308644e+01
164           	4.294622e+01
165           	4.281093e+01
166           	4.268047e+01
167           	4.255247e+01
168           	4.242920e+01
169           	4.229701e+01
170           	4.217652e+01
171           	4.205883e+01
172           	4.193779e+01
173           	4.181636e+01
174           	4.169694e+01
175           	4.157901e+01
176           	4.146602e+01
177           	4.135196e+01
178           	4.123737e+01
179           	4.112410e+01
180           	4.101449e+01
181           	4.090566e+01
182           	4.079837e+01
183           	4.069137e+01
184           	4.058546e+01
185           	4.047943e+01
186           	4.037500e+01
187           	4.027137e+01
188           	4.016911e+01
189           	4.006710e+01
190           	3.996548e+01
191           	3.986707e+01
192           	3.976910e+01
193           	3.967189e+01
