# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.557809e-02	5.394504e-01	4.243709e-01	4.026362e-01
3             	5.725022e-02	2.165384e-01	2.022391e-01	1.651481e-01
4             	8.092594e-02	1.071681e-01	1.464843e-01	4.864584e-01
5             	2.218151e-01	4.948110e-02	1.322022e-01	5.073272e-01
6             	1.529249e-01	6.330411e-02	1.439288e-01	3.796741e-01
7             	9.385028e-02	1.111087e-01	1.578481e-01	2.441262e-01
8             	7.895958e-02	1.408481e-01	1.576395e-01	1.442455e-01
9             	8.417874e-02	1.320666e-01	1.507465e-01	2.105961e-01
10            	1.074152e-01	8.349018e-02	1.302813e-01	3.209660e-01
11            	1.659115e-01	4.725723e-02	1.092231e-01	3.221657e-01
12            	9.689561e-02	5.806213e-02	9.591023e-02	2.530054e-01
13            	7.397208e-02	6.738970e-02	7.797673e-02	1.603397e-01
14            	6.829745e-02	5.871309e-02	5.791586e-02	9.255891e-02
15            	7.211979e-02	4.024798e-02	4.517919e-02	1.337428e-01
16            	8.558809e-02	2.324041e-02	3.759780e-02	1.717353e-01
17            	1.057014e-01	1.662581e-02	3.368885e-02	1.592189e-01
18            	8.911629e-02	2.005606e-02	3.164616e-02	1.173797e-01
19            	8.212695e-02	2.296531e-02	2.776682e-02	6.920262e-02
20            	8.220086e-02	2.021043e-02	2.275604e-02	4.891918e-02
21            	8.735321e-02	1.408630e-02	1.972008e-02	6.716528e-02
22            	9.235082e-02	1.149552e-02	1.859515e-02	7.739200e-02
23            	8.289044e-02	1.291714e-02	1.802818e-02	7.018046e-02
24            	7.731096e-02	1.421544e-02	1.647688e-02	5.255889e-02
25            	7.482951e-02	1.394970e-02	1.431209e-02	3.652283e-02
26            	7.458482e-02	1.244546e-02	1.276036e-02	3.469327e-02
27            	7.579436e-02	1.064545e-02	1.182550e-02	3.950615e-02
28            	7.746556e-02	9.239759e-03	1.094991e-02	4.000695e-02
29            	7.858875e-02	8.408351e-03	1.004222e-02	3.549318e-02
30            	7.857523e-02	7.951455e-03	9.182069e-03	2.944656e-02
31            	7.730242e-02	7.657348e-03	8.543340e-03	2.553441e-02
32            	7.515567e-02	7.500090e-03	8.269702e-03	2.513572e-02
33            	7.269938e-02	7.475501e-03	8.178245e-03	2.561118e-02
34            	7.036043e-02	7.501909e-03	8.046876e-03	2.495242e-02
35            	6.834625e-02	7.479365e-03	7.815690e-03	2.334478e-02
36            	6.672134e-02	7.348339e-03	7.533219e-03	2.178736e-02
37            	6.541679e-02	7.121369e-03	7.265274e-03	2.095907e-02
38            	6.435580e-02	6.847408e-03	7.024205e-03	2.063015e-02
39            	6.339270e-02	6.575545e-03	6.798608e-03	2.022398e-02
40            	6.239320e-02	6.337393e-03	6.582010e-03	1.956970e-02
41            	6.127749e-02	6.138977e-03	6.380848e-03	1.877730e-02
42            	6.002019e-02	5.976399e-03	6.203351e-03	1.806060e-02
43            	5.867978e-02	5.840445e-03	6.049085e-03	1.750987e-02
44            	5.728822e-02	5.723247e-03	5.910309e-03	1.704506e-02
