# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.456990e-01	3.156095e-01	3.099836e-01
0             	defaultFaces	2.052861e-01	3.232947e-01	3.084513e-01
100           	wall_b	6.692770e-03	3.897089e-01	8.565359e-02
100           	defaultFaces	5.526529e-03	3.688205e-01	7.822456e-02
200           	wall_b	1.837314e-03	1.999694e-01	5.074498e-02
200           	defaultFaces	1.790017e-03	2.198534e-01	4.483874e-02
300           	wall_b	8.440502e-04	1.713410e-01	4.059934e-02
300           	defaultFaces	8.295323e-04	1.561583e-01	3.543537e-02
400           	wall_b	4.679442e-04	1.696545e-01	3.660123e-02
400           	defaultFaces	4.595542e-04	2.337608e-01	3.324436e-02
500           	wall_b	3.154374e-04	1.671031e-01	3.494988e-02
500           	defaultFaces	3.303428e-04	2.123121e-01	3.299947e-02
600           	wall_b	1.618545e-04	1.652925e-01	3.357313e-02
600           	defaultFaces	2.427119e-04	2.245572e-01	3.147440e-02
700           	wall_b	1.868165e-04	1.665317e-01	3.334286e-02
700           	defaultFaces	1.779697e-04	1.676088e-01	3.046067e-02
800           	wall_b	1.403167e-04	1.651251e-01	3.339488e-02
800           	defaultFaces	1.310571e-04	1.561762e-01	2.960719e-02
900           	wall_b	8.480987e-05	1.653303e-01	3.375078e-02
900           	defaultFaces	7.762163e-05	1.561715e-01	2.944468e-02
1000          	wall_b	6.122565e-05	1.655379e-01	3.406055e-02
1000          	defaultFaces	4.399536e-05	1.561742e-01	2.918994e-02
1100          	wall_b	5.367561e-05	1.662132e-01	3.415494e-02
1100          	defaultFaces	2.998147e-05	1.561727e-01	2.889244e-02
1200          	wall_b	2.066787e-05	1.681201e-01	3.413665e-02
1200          	defaultFaces	4.964568e-05	1.561790e-01	2.872374e-02
1300          	wall_b	1.226505e-04	1.676315e-01	3.412335e-02
1300          	defaultFaces	6.614083e-05	1.561734e-01	2.868535e-02
1400          	wall_b	1.185788e-04	1.678164e-01	3.415087e-02
1400          	defaultFaces	5.773517e-05	1.561720e-01	2.875540e-02
1500          	wall_b	1.161963e-04	1.682893e-01	3.419148e-02
1500          	defaultFaces	3.937293e-05	1.561746e-01	2.884947e-02
1600          	wall_b	1.051400e-04	1.684499e-01	3.423204e-02
1600          	defaultFaces	6.002386e-06	1.561750e-01	2.893011e-02
1700          	wall_b	1.117689e-04	1.684250e-01	3.425084e-02
1700          	defaultFaces	5.133406e-05	1.561758e-01	2.897737e-02
1716          	wall_b	1.114484e-04	1.684258e-01	3.425264e-02
1716          	defaultFaces	6.902778e-05	1.561758e-01	2.898348e-02
