# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
1             	((-1.182092e+00 6.123439e-02 -2.838750e-03) (4.432139e-03 -5.907537e-05 -1.258966e-04)) ((-5.758470e-06 -1.351702e-04 -9.937094e-04) (-7.940938e-08 -2.079818e-06 1.291585e-06))
2             	((-1.002616e+00 5.123126e-02 -4.125323e-03) (8.213471e-02 -1.043846e-03 2.401141e-04)) ((-4.420070e-06 -7.403242e-05 -8.487903e-04) (-2.531564e-08 2.771313e-06 2.176793e-05))
3             	((-5.594987e-01 2.709393e-02 -1.916325e-03) (9.697278e-02 -1.147521e-03 5.597956e-04)) ((-2.318311e-06 -7.779914e-06 -4.373794e-04) (-2.868380e-08 5.517795e-07 2.596768e-05))
4             	((-9.155285e-02 3.849748e-03 1.616194e-03) (7.745569e-02 -8.428536e-04 5.285924e-04)) ((-6.451615e-07 3.768474e-05 -2.238883e-05) (-2.239706e-08 -1.062522e-06 2.096891e-05))
5             	((2.456370e-01 -1.239148e-02 4.563696e-03) (4.388674e-02 -3.865048e-04 1.751128e-04)) ((3.991670e-07 4.652408e-05 2.490846e-04) (2.759617e-08 -1.056916e-06 1.244038e-05))
6             	((4.040371e-01 -1.988195e-02 5.329283e-03) (1.198304e-02 3.177327e-06 -1.901734e-04)) ((1.053791e-06 4.089554e-05 3.470970e-04) (7.286782e-08 -7.583889e-07 4.784403e-06))
7             	((4.008683e-01 -1.938925e-02 4.535296e-03) (-7.281001e-03 1.607402e-04 -3.057406e-04)) ((1.202234e-06 2.562542e-05 3.158809e-04) (7.106855e-08 -1.146160e-06 3.583675e-09))
8             	((2.937754e-01 -1.419374e-02 3.141558e-03) (-1.272519e-02 1.478185e-04 -2.000269e-04)) ((9.558600e-07 6.090671e-06 2.081337e-04) (3.192023e-08 -2.124528e-06 -1.679374e-06))
9             	((1.409255e-01 -7.032040e-03 1.785018e-03) (-6.743850e-03 2.215059e-05 -4.382712e-05)) ((4.539721e-07 -1.358847e-05 7.648390e-05) (-5.678636e-09 -2.788455e-06 -8.848350e-07))
