# Region type : patch ent
# Faces  :    102
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	2.612256e+04
2             	2.275493e+04
3             	1.328537e+04
4             	3.172103e+03
5             	-4.326329e+03
6             	-8.016378e+03
7             	-8.264990e+03
8             	-6.222830e+03
9             	-3.129954e+03
10            	-1.830456e+02
11            	1.871454e+03
12            	2.770561e+03
13            	2.659014e+03
14            	1.904585e+03
15            	9.276921e+02
16            	6.971661e+01
17            	-4.733382e+02
18            	-6.583017e+02
19            	-5.514892e+02
20            	-2.770195e+02
21            	3.398132e+01
22            	2.826009e+02
23            	4.188778e+02
24            	4.400795e+02
25            	3.765473e+02
26            	2.721603e+02
27            	1.674898e+02
28            	9.071146e+01
29            	5.305041e+01
30            	5.150811e+01
31            	7.401613e+01
32            	1.058178e+02
33            	1.343802e+02
34            	1.520539e+02
35            	1.566728e+02
36            	1.505290e+02
37            	1.379725e+02
38            	1.238202e+02
39            	1.118334e+02
40            	1.039931e+02
41            	1.005756e+02
42            	1.005210e+02
43            	1.022235e+02
44            	1.041053e+02
45            	1.051300e+02
46            	1.047980e+02
47            	1.031795e+02
48            	1.006471e+02
49            	9.774388e+01
50            	9.497589e+01
51            	9.267385e+01
52            	9.090264e+01
53            	8.963363e+01
54            	8.869409e+01
55            	8.788373e+01
56            	8.704658e+01
57            	8.609733e+01
58            	8.502071e+01
59            	8.384516e+01
60            	8.264415e+01
61            	8.147569e+01
62            	8.038752e+01
63            	7.938494e+01
64            	7.845956e+01
65            	7.759707e+01
66            	7.676914e+01
67            	7.597075e+01
68            	7.519698e+01
69            	7.442991e+01
70            	7.366882e+01
71            	7.292566e+01
72            	7.218739e+01
73            	7.147544e+01
74            	7.079464e+01
75            	7.015033e+01
76            	6.952631e+01
77            	6.891349e+01
78            	6.832523e+01
79            	6.774641e+01
80            	6.718774e+01
81            	6.663987e+01
82            	6.611318e+01
83            	6.559326e+01
84            	6.509469e+01
85            	6.460736e+01
86            	6.413270e+01
87            	6.367087e+01
88            	6.321965e+01
89            	6.278005e+01
90            	6.235116e+01
91            	6.193517e+01
92            	6.153249e+01
93            	6.114166e+01
94            	6.076069e+01
95            	6.038905e+01
96            	6.002580e+01
97            	5.967062e+01
98            	5.932359e+01
99            	5.898487e+01
100           	5.865438e+01
101           	5.833298e+01
102           	5.801957e+01
103           	5.771408e+01
104           	5.741289e+01
105           	5.712088e+01
106           	5.683726e+01
107           	5.656188e+01
108           	5.629310e+01
109           	5.602977e+01
110           	5.577131e+01
111           	5.551742e+01
112           	5.526790e+01
113           	5.502406e+01
114           	5.478944e+01
115           	5.455796e+01
116           	5.432973e+01
117           	5.410535e+01
118           	5.388535e+01
119           	5.367066e+01
120           	5.346122e+01
121           	5.325332e+01
122           	5.305193e+01
123           	5.285355e+01
124           	5.266063e+01
125           	5.247334e+01
126           	5.229016e+01
127           	5.211006e+01
128           	5.193250e+01
129           	5.175732e+01
130           	5.158533e+01
131           	5.141700e+01
132           	5.125512e+01
133           	5.109380e+01
134           	5.093371e+01
135           	5.077595e+01
136           	5.061766e+01
137           	5.046319e+01
138           	5.031554e+01
139           	5.017141e+01
140           	5.003013e+01
141           	4.989354e+01
142           	4.975739e+01
143           	4.962279e+01
144           	4.948937e+01
145           	4.935742e+01
146           	4.922729e+01
147           	4.909926e+01
148           	4.897333e+01
149           	4.885077e+01
150           	4.873089e+01
151           	4.861341e+01
152           	4.849785e+01
153           	4.838394e+01
154           	4.827135e+01
155           	4.816116e+01
156           	4.805294e+01
157           	4.794663e+01
158           	4.784201e+01
159           	4.773900e+01
160           	4.763749e+01
161           	4.753840e+01
162           	4.744149e+01
163           	4.734646e+01
164           	4.725309e+01
165           	4.716116e+01
166           	4.707040e+01
167           	4.698184e+01
168           	4.689497e+01
169           	4.680963e+01
170           	4.672565e+01
171           	4.664292e+01
172           	4.656116e+01
173           	4.648149e+01
174           	4.640337e+01
175           	4.632659e+01
176           	4.625095e+01
177           	4.617633e+01
178           	4.610247e+01
179           	4.603044e+01
180           	4.595972e+01
181           	4.589007e+01
182           	4.582136e+01
183           	4.575343e+01
184           	4.568608e+01
185           	4.562036e+01
186           	4.555578e+01
187           	4.549213e+01
188           	4.542927e+01
189           	4.536708e+01
190           	4.530537e+01
191           	4.524521e+01
192           	4.518613e+01
193           	4.512795e+01
194           	4.507055e+01
195           	4.501382e+01
196           	4.495759e+01
197           	4.490295e+01
198           	4.484943e+01
199           	4.479683e+01
200           	4.474420e+01
201           	4.469265e+01
202           	4.464204e+01
203           	4.459319e+01
204           	4.454543e+01
205           	4.449843e+01
206           	4.445199e+01
207           	4.440597e+01
208           	4.436002e+01
209           	4.431563e+01
210           	4.427233e+01
211           	4.423005e+01
212           	4.418824e+01
213           	4.414694e+01
214           	4.410572e+01
215           	4.406568e+01
216           	4.402652e+01
217           	4.398811e+01
218           	4.395032e+01
219           	4.391305e+01
220           	4.387630e+01
221           	4.384102e+01
222           	4.380658e+01
223           	4.377267e+01
224           	4.373889e+01
225           	4.370514e+01
226           	4.366997e+01
227           	4.363714e+01
228           	4.360570e+01
229           	4.357499e+01
