# Region type : patch out
# Faces  :    108
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	0.000000e+00
4             	0.000000e+00
5             	-8.317473e-02
6             	-7.663786e-02
7             	-6.035413e-02
8             	-4.683515e-02
9             	-3.570334e-02
10            	-2.548257e-02
11            	-1.784369e-02
12            	-1.249059e-02
13            	-8.743410e-03
14            	-6.120387e-03
15            	-4.284271e-03
16            	-2.998989e-03
17            	-2.099293e-03
18            	-1.469505e-03
19            	-1.028653e-03
20            	-7.200574e-04
21            	-5.040402e-04
22            	-3.528281e-04
23            	-2.469797e-04
24            	-1.728858e-04
25            	-1.210200e-04
26            	-8.471403e-05
27            	-5.929982e-05
28            	-4.150987e-05
29            	-2.905691e-05
30            	-2.033984e-05
31            	-1.423789e-05
32            	-9.966521e-06
33            	-6.976565e-06
34            	-4.883595e-06
35            	-3.418517e-06
36            	-2.392962e-06
37            	-1.675073e-06
38            	-1.172551e-06
39            	-8.207859e-07
40            	-5.745501e-07
41            	-4.021851e-07
42            	-2.815295e-07
43            	-1.970707e-07
44            	-1.379495e-07
45            	-9.656463e-08
46            	-6.759524e-08
47            	-4.731667e-08
48            	-3.312167e-08
49            	-2.318517e-08
50            	-1.622962e-08
51            	-1.136073e-08
52            	-7.952513e-09
53            	-5.566759e-09
54            	-3.896731e-09
55            	-2.727712e-09
56            	-1.909398e-09
57            	-1.336579e-09
58            	-9.356052e-10
59            	-6.549236e-10
60            	-4.584465e-10
61            	-3.209126e-10
62            	-2.246388e-10
63            	-1.572472e-10
64            	-1.100730e-10
65            	-7.705111e-11
66            	-5.393578e-11
67            	-3.775504e-11
68            	-2.642853e-11
69            	-1.849997e-11
70            	-1.294998e-11
71            	-9.064986e-12
72            	-6.345490e-12
73            	-4.441843e-12
74            	-3.109290e-12
75            	-2.176503e-12
76            	-1.523552e-12
77            	-1.066487e-12
78            	-7.465406e-13
79            	-5.225784e-13
80            	-3.658049e-13
81            	-2.560634e-13
82            	-1.792444e-13
83            	-1.254711e-13
84            	-8.782975e-14
85            	-6.148083e-14
86            	-4.303658e-14
87            	-3.012561e-14
88            	-2.108792e-14
89            	-1.476155e-14
90            	-1.033308e-14
91            	-7.233158e-15
92            	-5.063210e-15
93            	-3.544247e-15
94            	-2.480973e-15
95            	-1.736681e-15
96            	-1.215677e-15
97            	-8.509738e-16
98            	-5.956817e-16
99            	-4.169772e-16
100           	-2.918840e-16
101           	-2.043188e-16
102           	-1.430232e-16
103           	-1.001162e-16
104           	-7.008135e-17
105           	-4.905695e-17
106           	-3.433986e-17
107           	-2.403790e-17
108           	-1.682653e-17
109           	-1.177857e-17
110           	-8.245001e-18
111           	-5.771501e-18
112           	-4.040050e-18
113           	-2.828035e-18
114           	-1.979625e-18
115           	-1.385737e-18
116           	-9.700161e-19
117           	-6.790113e-19
118           	-4.753079e-19
119           	-3.327155e-19
120           	-2.329009e-19
121           	-1.630306e-19
122           	-1.141214e-19
123           	-7.988500e-20
124           	-5.591950e-20
125           	-3.914365e-20
126           	-2.740055e-20
127           	-1.918039e-20
128           	-1.342627e-20
129           	-9.398390e-21
130           	-6.578873e-21
131           	-4.605211e-21
132           	-3.223648e-21
133           	-2.256553e-21
134           	-1.579587e-21
135           	-1.105711e-21
136           	-7.739978e-22
137           	-5.417985e-22
138           	-3.792589e-22
139           	-2.654813e-22
140           	-1.858369e-22
141           	-1.300858e-22
142           	-9.106007e-23
143           	-6.374205e-23
144           	-4.461943e-23
145           	-3.123360e-23
146           	-2.186352e-23
147           	-1.530447e-23
148           	-1.071313e-23
149           	-7.499188e-24
150           	-5.249432e-24
151           	-3.674602e-24
152           	-2.572222e-24
153           	-1.800555e-24
154           	-1.260389e-24
155           	-8.822720e-25
156           	-6.175904e-25
157           	-4.323133e-25
158           	-3.026193e-25
159           	-2.118335e-25
160           	-1.482835e-25
161           	-1.037984e-25
162           	-7.265889e-26
163           	-5.086123e-26
164           	-3.560286e-26
165           	-2.492200e-26
166           	-1.744540e-26
167           	-1.221178e-26
168           	-8.548246e-27
169           	-5.983772e-27
170           	-4.188641e-27
171           	-2.932048e-27
172           	-2.052434e-27
173           	-1.436704e-27
174           	-1.005693e-27
175           	-7.039848e-28
176           	-4.927894e-28
177           	-3.449526e-28
178           	-2.414668e-28
179           	-1.690268e-28
180           	-1.183187e-28
181           	-8.282311e-29
182           	-5.797618e-29
183           	-4.058332e-29
184           	-2.840833e-29
185           	-1.988583e-29
186           	-1.392008e-29
187           	-9.744056e-30
188           	-6.820839e-30
189           	-4.774588e-30
190           	-3.342211e-30
191           	-2.339548e-30
192           	-1.637684e-30
193           	-1.146378e-30
194           	-8.024649e-31
195           	-5.617255e-31
196           	-3.932078e-31
197           	-2.752455e-31
198           	-1.926718e-31
199           	-1.348703e-31
200           	-9.440920e-32
201           	-6.608644e-32
202           	-4.626051e-32
203           	-3.238235e-32
204           	-2.266765e-32
205           	-1.586735e-32
206           	-1.110715e-32
207           	-7.775003e-33
208           	-5.442502e-33
209           	-3.809752e-33
210           	-2.666826e-33
211           	-1.866778e-33
212           	-1.306745e-33
213           	-9.147214e-34
214           	-6.403050e-34
215           	-4.482135e-34
216           	-3.137494e-34
217           	-2.196246e-34
218           	-1.537372e-34
219           	-1.076161e-34
220           	-7.533124e-35
221           	-5.273187e-35
222           	-3.691231e-35
223           	-2.583861e-35
224           	-1.808703e-35
225           	-1.266092e-35
226           	-8.862645e-36
227           	-6.203851e-36
228           	-4.342696e-36
229           	-3.039887e-36
230           	-2.127921e-36
231           	-1.489545e-36
232           	-1.042681e-36
233           	-7.298769e-37
234           	-5.109138e-37
235           	-3.576397e-37
236           	-2.503478e-37
237           	-1.752434e-37
238           	-1.226704e-37
239           	-8.586929e-38
240           	-6.010850e-38
241           	-4.207595e-38
242           	-2.945317e-38
243           	-2.061722e-38
244           	-1.443205e-38
245           	-1.010244e-38
246           	-7.071705e-39
247           	-4.950194e-39
248           	-3.465136e-39
249           	-2.425595e-39
250           	-1.697916e-39
251           	-1.188541e-39
252           	-8.319790e-40
253           	-5.823853e-40
254           	-4.076697e-40
255           	-2.853688e-40
256           	-1.997582e-40
257           	-1.398307e-40
258           	-9.788150e-41
259           	-6.851705e-41
260           	-4.796194e-41
261           	-3.357336e-41
262           	-2.350135e-41
263           	-1.645094e-41
264           	-1.151566e-41
265           	-8.060963e-42
266           	-5.642674e-42
267           	-3.949872e-42
268           	-2.764910e-42
269           	-1.935437e-42
270           	-1.354806e-42
271           	-9.483642e-43
272           	-6.638549e-43
273           	-4.646985e-43
274           	-3.252889e-43
275           	-2.277022e-43
276           	-1.593916e-43
277           	-1.115741e-43
278           	-7.810187e-44
279           	-5.467131e-44
280           	-3.826992e-44
281           	-2.678894e-44
282           	-1.875226e-44
283           	-1.312658e-44
284           	-9.188607e-45
285           	-6.432025e-45
286           	-4.502417e-45
287           	-3.151692e-45
288           	-2.206184e-45
289           	-1.544329e-45
290           	-1.081030e-45
291           	-7.567213e-46
292           	-5.297049e-46
293           	-3.707934e-46
294           	-2.595554e-46
295           	-1.816888e-46
296           	-1.271821e-46
297           	-8.902750e-47
298           	-6.231925e-47
299           	-4.362348e-47
300           	-3.053643e-47
301           	-2.137550e-47
302           	-1.496285e-47
303           	-1.047400e-47
304           	-7.331798e-48
305           	-5.132258e-48
306           	-3.592581e-48
307           	-2.514807e-48
308           	-1.760365e-48
309           	-1.232255e-48
310           	-8.625787e-49
311           	-6.038051e-49
312           	-4.226635e-49
313           	-2.958645e-49
314           	-2.071051e-49
315           	-1.449736e-49
316           	-1.014815e-49
317           	-7.103706e-50
318           	-4.972594e-50
319           	-3.480816e-50
320           	-2.436571e-50
321           	-1.705600e-50
322           	-1.193920e-50
323           	-8.357439e-51
324           	-5.850207e-51
325           	-4.095145e-51
326           	-2.866602e-51
327           	-2.006621e-51
328           	-1.404635e-51
329           	-9.832444e-52
330           	-6.882711e-52
331           	-4.817897e-52
332           	-3.372528e-52
333           	-2.360770e-52
334           	-1.652539e-52
335           	-1.156777e-52
336           	-8.097440e-53
337           	-5.668208e-53
338           	-3.967746e-53
339           	-2.777422e-53
340           	-1.944195e-53
341           	-1.360937e-53
342           	-9.526557e-54
343           	-6.668590e-54
344           	-4.668013e-54
345           	-3.267609e-54
346           	-2.287326e-54
347           	-1.601128e-54
348           	-1.120790e-54
349           	-7.845530e-55
350           	-5.491871e-55
351           	-3.844310e-55
352           	-2.691017e-55
353           	-1.883712e-55
354           	-1.318598e-55
355           	-9.230187e-56
356           	-6.461131e-56
357           	-4.522792e-56
358           	-3.165954e-56
359           	-2.216168e-56
360           	-1.551318e-56
361           	-1.085922e-56
362           	-7.601456e-57
363           	-5.321019e-57
364           	-3.724713e-57
365           	-2.607299e-57
366           	-1.825110e-57
367           	-1.277577e-57
368           	-8.943037e-58
369           	-6.260126e-58
370           	-4.382088e-58
371           	-3.067462e-58
372           	-2.147223e-58
373           	-1.503056e-58
374           	-1.052139e-58
375           	-7.364976e-59
376           	-5.155483e-59
377           	-3.608838e-59
378           	-2.526187e-59
379           	-1.768331e-59
380           	-1.237831e-59
381           	-8.664820e-60
382           	-6.065374e-60
383           	-4.245762e-60
384           	-2.972033e-60
385           	-2.080423e-60
386           	-1.456296e-60
387           	-1.019407e-60
388           	-7.135852e-61
389           	-4.995096e-61
390           	-3.496567e-61
391           	-2.447597e-61
392           	-1.713318e-61
393           	-1.199323e-61
394           	-8.395258e-62
395           	-5.876681e-62
396           	-4.113677e-62
397           	-2.879574e-62
398           	-2.015702e-62
399           	-1.410991e-62
400           	-9.876938e-63
401           	-6.913856e-63
402           	-4.839699e-63
403           	-3.387790e-63
404           	-2.371453e-63
405           	-1.660017e-63
406           	-1.162012e-63
407           	-8.134083e-64
408           	-5.693858e-64
409           	-3.985701e-64
410           	-2.789990e-64
411           	-1.952993e-64
412           	-1.367095e-64
413           	-9.569667e-65
414           	-6.698767e-65
415           	-4.689137e-65
416           	-3.282396e-65
417           	-2.297677e-65
418           	-1.608374e-65
419           	-1.125862e-65
420           	-7.881032e-66
421           	-5.516723e-66
422           	-3.861706e-66
423           	-2.703194e-66
424           	-1.892236e-66
425           	-1.324565e-66
426           	-9.271956e-67
427           	-6.490369e-67
428           	-4.543258e-67
429           	-3.180281e-67
430           	-2.226197e-67
431           	-1.558338e-67
432           	-1.090836e-67
433           	-7.635854e-68
434           	-5.345098e-68
435           	-3.741569e-68
436           	-2.619098e-68
437           	-1.833369e-68
438           	-1.283358e-68
439           	-8.983506e-69
440           	-6.288454e-69
441           	-4.401918e-69
442           	-3.081343e-69
443           	-2.156940e-69
444           	-1.509858e-69
445           	-1.056901e-69
446           	-7.398304e-70
447           	-5.178812e-70
448           	-3.625169e-70
449           	-2.537618e-70
450           	-1.776333e-70
451           	-1.243433e-70
452           	-8.704030e-71
453           	-6.092821e-71
454           	-4.264975e-71
455           	-2.985482e-71
456           	-2.089838e-71
457           	-1.462886e-71
458           	-1.024020e-71
459           	-7.168143e-72
460           	-5.017700e-72
461           	-3.512390e-72
462           	-2.458673e-72
463           	-1.721071e-72
464           	-1.204750e-72
465           	-8.433249e-73
466           	-5.903274e-73
467           	-4.132292e-73
468           	-2.892604e-73
469           	-2.024823e-73
470           	-1.417376e-73
471           	-9.921633e-74
472           	-6.945143e-74
473           	-4.861600e-74
474           	-3.403120e-74
475           	-2.382184e-74
476           	-1.667529e-74
477           	-1.167270e-74
478           	-8.170891e-75
479           	-5.719624e-75
480           	-4.003737e-75
481           	-2.802616e-75
482           	-1.961831e-75
483           	-1.373282e-75
484           	-9.612972e-76
485           	-6.729080e-76
486           	-4.710356e-76
487           	-3.297249e-76
488           	-2.308075e-76
489           	-1.615652e-76
490           	-1.130957e-76
491           	-7.916696e-77
492           	-5.541687e-77
493           	-3.879181e-77
494           	-2.715427e-77
495           	-1.900799e-77
496           	-1.330559e-77
497           	-9.313913e-78
498           	-6.519739e-78
499           	-4.563817e-78
500           	-3.194672e-78
501           	-2.236271e-78
502           	-1.565389e-78
503           	-1.095773e-78
504           	-7.670408e-79
505           	-5.369286e-79
506           	-3.758500e-79
507           	-2.630950e-79
508           	-1.841665e-79
509           	-1.289165e-79
510           	-9.024158e-80
511           	-6.316911e-80
512           	-4.421838e-80
513           	-3.095286e-80
514           	-2.166700e-80
515           	-1.516690e-80
516           	-1.061683e-80
517           	-7.431782e-81
518           	-5.202248e-81
519           	-3.641573e-81
520           	-2.549101e-81
521           	-1.784371e-81
522           	-1.249060e-81
523           	-8.743418e-82
524           	-6.120392e-82
525           	-4.284275e-82
526           	-2.998992e-82
527           	-2.099295e-82
528           	-1.469506e-82
529           	-1.028654e-82
530           	-7.200580e-83
531           	-5.040406e-83
532           	-3.528284e-83
533           	-2.469799e-83
534           	-1.728859e-83
535           	-1.210202e-83
536           	-8.471411e-84
537           	-5.929988e-84
538           	-4.150991e-84
539           	-2.905694e-84
540           	-2.033986e-84
541           	-1.423790e-84
542           	-9.966530e-85
543           	-6.976571e-85
544           	-4.883600e-85
545           	-3.418520e-85
546           	-2.392964e-85
547           	-1.675075e-85
548           	-1.172552e-85
549           	-8.207866e-86
550           	-5.745506e-86
551           	-4.021854e-86
552           	-2.815298e-86
553           	-1.970709e-86
554           	-1.379496e-86
555           	-9.656473e-87
556           	-6.759531e-87
557           	-4.731672e-87
558           	-3.312170e-87
559           	-2.318519e-87
560           	-1.622963e-87
561           	-1.136074e-87
562           	-7.952520e-88
563           	-5.566764e-88
564           	-3.896735e-88
565           	-2.727714e-88
566           	-1.909400e-88
567           	-1.336580e-88
568           	-9.356061e-89
569           	-6.549242e-89
570           	-4.584470e-89
571           	-3.209129e-89
572           	-2.246390e-89
573           	-1.572473e-89
574           	-1.100731e-89
575           	-7.705118e-90
576           	-5.393583e-90
577           	-3.775508e-90
578           	-2.642856e-90
579           	-1.849999e-90
580           	-1.294999e-90
581           	-9.064995e-91
582           	-6.345496e-91
583           	-4.441847e-91
584           	-3.109293e-91
585           	-2.176505e-91
586           	-1.523554e-91
587           	-1.066488e-91
588           	-7.465413e-92
589           	-5.225789e-92
590           	-3.658052e-92
591           	-2.560637e-92
592           	-1.792446e-92
593           	-1.254712e-92
594           	-8.782984e-93
595           	-6.148088e-93
596           	-4.303662e-93
597           	-3.012563e-93
598           	-2.108794e-93
599           	-1.476156e-93
600           	-1.033309e-93
601           	-7.233165e-94
602           	-5.063215e-94
603           	-3.544251e-94
604           	-2.480975e-94
605           	-1.736683e-94
606           	-1.215678e-94
607           	-8.509746e-95
608           	-5.956822e-95
609           	-4.169775e-95
610           	-2.918843e-95
611           	-2.043190e-95
612           	-1.430233e-95
613           	-1.001163e-95
614           	-7.008142e-96
615           	-4.905699e-96
616           	-3.433989e-96
617           	-2.403793e-96
618           	-1.682655e-96
619           	-1.177858e-96
620           	-8.245009e-97
621           	-5.771506e-97
622           	-4.040054e-97
623           	-2.828038e-97
624           	-1.979627e-97
625           	-1.385739e-97
626           	-9.700170e-98
627           	-6.790119e-98
628           	-4.753083e-98
629           	-3.327158e-98
630           	-2.329011e-98
631           	-1.630308e-98
632           	-1.141215e-98
633           	-7.988507e-99
634           	-5.591955e-99
635           	-3.914369e-99
636           	-2.740058e-99
637           	-1.918041e-99
638           	-1.342628e-99
639           	-9.398399e-100
640           	-6.578879e-100
641           	-4.605215e-100
642           	-3.223651e-100
643           	-2.256556e-100
644           	-1.579589e-100
645           	-1.105712e-100
646           	-7.739986e-101
647           	-5.417990e-101
648           	-3.792593e-101
649           	-2.654815e-101
650           	-1.858371e-101
651           	-1.300859e-101
652           	-9.106016e-102
653           	-6.374211e-102
654           	-4.461948e-102
655           	-3.123363e-102
656           	-2.186354e-102
657           	-1.530448e-102
658           	-1.071314e-102
659           	-7.499195e-103
660           	-5.249437e-103
661           	-3.674606e-103
662           	-2.572224e-103
663           	-1.800557e-103
664           	-1.260390e-103
665           	-8.822728e-104
666           	-6.175910e-104
667           	-4.323137e-104
668           	-3.026196e-104
669           	-2.118337e-104
670           	-1.482836e-104
671           	-1.037985e-104
672           	-7.265896e-105
673           	-5.086127e-105
674           	-3.560289e-105
675           	-2.492202e-105
676           	-1.744542e-105
677           	-1.221179e-105
678           	-8.548254e-106
