# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.477234e-02	5.395553e-01	4.244371e-01	4.025610e-01
3             	5.400435e-02	2.169487e-01	2.020628e-01	1.650098e-01
4             	7.470751e-02	1.073541e-01	1.470886e-01	4.939459e-01
5             	1.914091e-01	4.969946e-02	1.315259e-01	5.237527e-01
6             	1.497047e-01	6.435127e-02	1.398819e-01	3.944611e-01
7             	8.465766e-02	1.131947e-01	1.513761e-01	2.562758e-01
8             	7.023953e-02	1.439941e-01	1.498781e-01	1.560119e-01
9             	7.412302e-02	1.353657e-01	1.433075e-01	2.364847e-01
10            	9.605560e-02	8.586621e-02	1.244636e-01	3.655588e-01
11            	1.597633e-01	4.847630e-02	1.051981e-01	3.610332e-01
12            	9.099693e-02	5.936330e-02	9.263461e-02	2.783093e-01
13            	6.763913e-02	6.901145e-02	7.512055e-02	1.766523e-01
14            	6.195828e-02	6.004238e-02	5.595518e-02	1.039321e-01
15            	6.571861e-02	4.106462e-02	4.397709e-02	1.550371e-01
16            	7.965664e-02	2.365253e-02	3.665293e-02	2.026079e-01
17            	1.027476e-01	1.699243e-02	3.198170e-02	1.884709e-01
18            	8.724389e-02	2.064780e-02	2.876300e-02	1.394911e-01
19            	7.887719e-02	2.370039e-02	2.435227e-02	8.326340e-02
20            	7.876752e-02	2.087532e-02	1.961176e-02	5.971790e-02
21            	8.461280e-02	1.453754e-02	1.737969e-02	8.181301e-02
22            	9.179481e-02	1.173315e-02	1.719902e-02	9.376587e-02
23            	8.053273e-02	1.317873e-02	1.706798e-02	8.444923e-02
24            	7.408390e-02	1.453772e-02	1.572873e-02	6.283938e-02
25            	7.127998e-02	1.426005e-02	1.375357e-02	4.328795e-02
26            	7.107816e-02	1.269579e-02	1.233045e-02	4.113122e-02
27            	7.258452e-02	1.083103e-02	1.143858e-02	4.718932e-02
28            	7.476255e-02	9.357834e-03	1.052017e-02	4.803872e-02
29            	7.642448e-02	8.487562e-03	9.517496e-03	4.270557e-02
30            	7.675161e-02	8.020779e-03	8.590221e-03	3.522109e-02
31            	7.558651e-02	7.715869e-03	7.985994e-03	3.037801e-02
32            	7.337438e-02	7.566621e-03	7.792977e-03	2.994914e-02
33            	7.074494e-02	7.560315e-03	7.766332e-03	3.054063e-02
34            	6.821263e-02	7.601092e-03	7.690676e-03	2.971942e-02
35            	6.606061e-02	7.581816e-03	7.507888e-03	2.766243e-02
36            	6.436447e-02	7.446357e-03	7.265190e-03	2.567359e-02
