# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.456990e-01	3.156095e-01	3.099836e-01
0             	defaultFaces	2.052861e-01	3.232947e-01	3.084513e-01
100           	wall_b	5.089793e-03	3.764856e-01	8.323225e-02
100           	defaultFaces	5.496746e-03	3.253760e-01	7.647247e-02
200           	wall_b	1.305951e-03	2.358727e-01	5.179371e-02
200           	defaultFaces	1.310108e-03	2.876644e-01	4.832217e-02
300           	wall_b	5.793357e-04	2.213989e-01	4.603794e-02
300           	defaultFaces	5.776126e-04	3.338310e-01	4.373472e-02
400           	wall_b	4.239549e-04	2.249820e-01	4.592176e-02
400           	defaultFaces	4.248155e-04	4.565626e-01	4.413375e-02
500           	wall_b	3.037971e-04	2.048084e-01	4.601683e-02
500           	defaultFaces	2.793235e-04	4.848350e-01	4.477375e-02
600           	wall_b	2.018691e-04	2.172520e-01	4.540080e-02
600           	defaultFaces	2.028732e-04	5.465046e-01	4.500938e-02
700           	wall_b	1.461561e-04	2.030581e-01	4.473790e-02
700           	defaultFaces	1.464051e-04	5.087025e-01	4.387890e-02
800           	wall_b	1.085187e-04	2.114173e-01	4.455387e-02
800           	defaultFaces	1.089344e-04	4.456067e-01	4.209348e-02
900           	wall_b	9.947974e-05	2.097310e-01	4.450932e-02
900           	defaultFaces	9.852048e-05	4.389786e-01	4.111049e-02
1000          	wall_b	9.025088e-05	2.111270e-01	4.439913e-02
1000          	defaultFaces	9.047181e-05	4.411122e-01	4.057188e-02
1100          	wall_b	7.828085e-05	2.106857e-01	4.435350e-02
1100          	defaultFaces	7.805535e-05	4.440674e-01	4.051285e-02
1200          	wall_b	6.199471e-05	2.082742e-01	4.431915e-02
1200          	defaultFaces	6.203576e-05	4.486918e-01	4.053150e-02
1300          	wall_b	5.924384e-05	2.041199e-01	4.423412e-02
1300          	defaultFaces	5.820196e-05	4.507327e-01	4.058653e-02
1400          	wall_b	5.332434e-05	2.031248e-01	4.424687e-02
1400          	defaultFaces	5.300044e-05	4.563774e-01	4.062756e-02
1500          	wall_b	4.979370e-05	2.006517e-01	4.408769e-02
1500          	defaultFaces	4.926134e-05	4.602951e-01	4.051445e-02
1600          	wall_b	4.566181e-05	1.972243e-01	4.393819e-02
1600          	defaultFaces	4.472652e-05	4.552043e-01	4.037386e-02
1700          	wall_b	4.453622e-05	1.987287e-01	4.376353e-02
1700          	defaultFaces	4.404895e-05	4.616328e-01	4.032374e-02
1800          	wall_b	4.322160e-05	1.956176e-01	4.361557e-02
1800          	defaultFaces	4.282322e-05	4.627920e-01	4.025413e-02
1900          	wall_b	4.291921e-05	1.920259e-01	4.351994e-02
1900          	defaultFaces	4.255099e-05	4.447619e-01	4.022757e-02
2000          	wall_b	4.286410e-05	1.930630e-01	4.340730e-02
2000          	defaultFaces	4.246544e-05	4.527457e-01	4.008649e-02
2100          	wall_b	4.289611e-05	1.855855e-01	4.314511e-02
2100          	defaultFaces	4.247842e-05	4.365681e-01	3.980555e-02
2200          	wall_b	4.294528e-05	1.905720e-01	4.312032e-02
2200          	defaultFaces	4.253579e-05	4.371636e-01	3.977328e-02
2300          	wall_b	4.305676e-05	1.875653e-01	4.305198e-02
2300          	defaultFaces	4.266114e-05	4.489153e-01	3.978683e-02
2400          	wall_b	4.319309e-05	1.864880e-01	4.294342e-02
2400          	defaultFaces	4.279751e-05	4.448095e-01	3.965958e-02
2500          	wall_b	4.329189e-05	1.868468e-01	4.293540e-02
2500          	defaultFaces	4.288716e-05	4.455979e-01	3.976742e-02
2600          	wall_b	4.334051e-05	1.825724e-01	4.280591e-02
2600          	defaultFaces	4.293052e-05	4.329594e-01	3.953756e-02
2700          	wall_b	4.335949e-05	1.851755e-01	4.277862e-02
2700          	defaultFaces	4.295080e-05	4.375460e-01	3.950468e-02
2800          	wall_b	4.337361e-05	1.862736e-01	4.283170e-02
2800          	defaultFaces	4.296744e-05	4.433783e-01	3.963477e-02
2900          	wall_b	4.338617e-05	1.847623e-01	4.270822e-02
2900          	defaultFaces	4.297993e-05	4.385555e-01	3.945311e-02
3000          	wall_b	4.339103e-05	1.850849e-01	4.275360e-02
3000          	defaultFaces	4.298320e-05	4.383880e-01	3.951487e-02
3100          	wall_b	4.338803e-05	1.849455e-01	4.270546e-02
3100          	defaultFaces	4.297948e-05	4.384011e-01	3.946626e-02
3200          	wall_b	4.338288e-05	1.851484e-01	4.270228e-02
3200          	defaultFaces	4.297482e-05	4.388113e-01	3.949055e-02
3300          	wall_b	4.337995e-05	1.852171e-01	4.271336e-02
3300          	defaultFaces	4.297250e-05	4.390436e-01	3.950621e-02
3400          	wall_b	4.337903e-05	1.851581e-01	4.266902e-02
3400          	defaultFaces	4.297161e-05	4.390084e-01	3.943379e-02
3463          	wall_b	4.337857e-05	1.851759e-01	4.268220e-02
3463          	defaultFaces	4.297098e-05	4.390363e-01	3.945922e-02
