# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (5.955786e-02 3.663102e-05 -1.634050e-04)) ((0.000000e+00 0.000000e+00 0.000000e+00) (3.642640e-08 7.130113e-06 1.391643e-05))
1             	((1.377375e+01 -1.156478e-01 -1.438636e-03) (-2.577885e-01 3.808209e-04 -3.793469e-02)) ((1.247317e-05 1.625397e-03 4.179621e-03) (9.117185e-06 9.472620e-04 -6.259381e-05))
2             	((1.126256e+01 -1.060644e-01 1.383969e-01) (-2.998732e-01 4.440487e-04 -2.306346e-02)) ((-2.172441e-05 -1.657899e-03 2.833822e-03) (5.930914e-06 5.723208e-04 -7.301958e-05))
3             	((3.722085e+00 -4.205153e-02 1.428457e-01) (-2.743018e-01 5.085486e-04 -1.395160e-02)) ((-3.075988e-05 -2.632786e-03 5.240202e-04) (3.386140e-06 3.423463e-04 -6.527309e-05))
4             	((-1.012710e+00 -5.574742e-03 7.548272e-02) (-2.058841e-01 5.704849e-04 -1.058170e-02)) ((-1.821224e-05 -1.707015e-03 -7.632903e-04) (2.725326e-06 2.590066e-04 -4.676668e-05))
5             	((-2.000241e+00 3.669847e-03 1.237746e-02) (-1.333313e-01 4.872028e-04 -8.786533e-03)) ((-3.349718e-06 -4.298849e-04 -8.420529e-04) (2.274563e-06 2.160761e-04 -2.956649e-05))
6             	((-1.148167e+00 1.927958e-03 -1.504785e-02) (-9.043233e-02 2.919685e-04 -7.598815e-03)) ((3.611632e-06 2.538699e-04 -4.267628e-04) (1.964090e-06 1.865235e-04 -2.053399e-05))
7             	((-1.472772e-01 -1.328206e-03 -1.462297e-02) (-7.785226e-02 1.214996e-04 -6.486404e-03)) ((3.768543e-06 3.342706e-04 -5.386098e-05) (1.671751e-06 1.571590e-04 -1.834183e-05))
8             	((3.164342e-01 -2.878027e-03 -4.823713e-03) (-7.829216e-02 2.937573e-05 -5.422969e-03)) ((1.509504e-06 1.588852e-04 9.740885e-05) (1.391487e-06 1.287127e-04 -1.859216e-05))
9             	((3.051767e-01 -2.658239e-03 2.173330e-03) (-7.838544e-02 -2.849665e-06 -4.497929e-03)) ((-1.937336e-07 2.878625e-06 8.088450e-05) (1.146485e-06 1.043216e-04 -1.830729e-05))
10            	((1.226311e-01 -1.772776e-03 3.622737e-03) (-7.397746e-02 -1.341708e-05 -3.761388e-03)) ((-6.051239e-07 -4.762826e-05 1.145148e-05) (9.507061e-07 8.541053e-05 -1.687123e-05))
11            	((-1.604330e-02 -1.036094e-03 1.947063e-03) (-6.699110e-02 -2.555448e-05 -3.205314e-03)) ((-2.607191e-07 -2.732373e-05 -3.633264e-05) (8.038635e-07 7.151241e-05 -1.500829e-05))
12            	((-5.584792e-02 -6.952192e-04 1.309938e-05) (-6.054085e-02 -4.261161e-05 -2.789177e-03)) ((1.640915e-07 7.081414e-06 -4.605204e-05) (6.958698e-07 6.128576e-05 -1.347531e-05))
13            	((-3.456245e-02 -6.271970e-04 -9.470594e-04) (-5.615895e-02 -5.817659e-05 -2.468007e-03)) ((3.696625e-07 2.655347e-05 -3.349105e-05) (6.140793e-07 5.342423e-05 -1.250278e-05))
14            	((-2.690420e-03 -6.415490e-04 -1.081576e-03) (-5.363696e-02 -6.773796e-05 -2.209464e-03)) ((3.870384e-07 3.022836e-05 -1.814163e-05) (5.490596e-07 4.708132e-05 -1.194299e-05))
15            	((1.429244e-02 -6.431278e-04 -9.463714e-04) (-5.208061e-02 -7.183602e-05 -1.994944e-03)) ((3.489293e-07 2.767685e-05 -9.967842e-06) (4.954314e-07 4.181782e-05 -1.157403e-05))
16            	((1.551141e-02 -6.201997e-04 -8.943149e-04) (-5.078452e-02 -7.361663e-05 -1.814260e-03)) ((3.388215e-07 2.600729e-05 -9.248243e-06) (4.504649e-07 3.740959e-05 -1.126706e-05))
17            	((9.995883e-03 -5.894483e-04 -9.845826e-04) (-4.948590e-02 -7.552962e-05 -1.660765e-03)) ((3.675564e-07 2.694088e-05 -1.196450e-05) (4.125092e-07 3.370118e-05 -1.098793e-05))
18            	((5.199711e-03 -5.593562e-04 -1.129585e-03) (-4.821442e-02 -7.786975e-05 -1.529296e-03)) ((4.075515e-07 2.913414e-05 -1.440961e-05) (3.801636e-07 3.055880e-05 -1.073445e-05))
19            	((3.546596e-03 -5.248868e-04 -1.246579e-03) (-4.706863e-02 -7.985376e-05 -1.415505e-03)) ((4.344312e-07 3.105996e-05 -1.504082e-05) (3.521890e-07 2.786588e-05 -1.050659e-05))
20            	((4.089634e-03 -4.877173e-04 -1.310364e-03) (-4.609359e-02 -8.107307e-05 -1.315943e-03)) ((4.437769e-07 3.216603e-05 -1.428336e-05) (3.277028e-07 2.553193e-05 -1.030641e-05))
21            	((5.154059e-03 -4.569982e-04 -1.336581e-03) (-4.527012e-02 -8.201496e-05 -1.227988e-03)) ((4.438391e-07 3.265396e-05 -1.325075e-05) (3.061461e-07 2.349092e-05 -1.014289e-05))
22            	((5.784596e-03 -4.393736e-04 -1.349736e-03) (-4.455353e-02 -8.329159e-05 -1.149566e-03)) ((4.434757e-07 3.291954e-05 -1.267425e-05) (2.870770e-07 2.169225e-05 -1.002034e-05))
23            	((5.870362e-03 -4.307489e-04 -1.364918e-03) (-4.390726e-02 -8.486964e-05 -1.078924e-03)) ((4.455928e-07 3.322357e-05 -1.258068e-05) (2.699924e-07 2.009326e-05 -9.927454e-06))
24            	((5.689884e-03 -4.197423e-04 -1.386220e-03) (-4.331306e-02 -8.620097e-05 -1.014665e-03)) ((4.487457e-07 3.365083e-05 -1.258312e-05) (2.544151e-07 1.865916e-05 -9.844103e-06))
25            	((5.505682e-03 -3.991414e-04 -1.411494e-03) (-4.276498e-02 -8.701213e-05 -9.557617e-04)) ((4.512201e-07 3.417531e-05 -1.239390e-05) (2.400329e-07 1.736354e-05 -9.760530e-06))
26            	((5.417631e-03 -3.737142e-04 -1.436155e-03) (-4.226073e-02 -8.757770e-05 -9.014985e-04)) ((4.528032e-07 3.471696e-05 -1.208361e-05) (2.267208e-07 1.618759e-05 -9.682371e-06))
27            	((5.403309e-03 -3.514781e-04 -1.457571e-03) (-4.179708e-02 -8.830333e-05 -8.513544e-04)) ((4.543099e-07 3.521843e-05 -1.185071e-05) (2.144219e-07 1.511700e-05 -9.618749e-06))
28            	((5.406349e-03 -3.337945e-04 -1.475773e-03) (-4.136951e-02 -8.924513e-05 -8.048836e-04)) ((4.558042e-07 3.566720e-05 -1.173740e-05) (2.030315e-07 1.413917e-05 -9.569711e-06))
29            	((5.391690e-03 -3.152450e-04 -1.492459e-03) (-4.097333e-02 -9.011113e-05 -7.616780e-04)) ((4.567231e-07 3.609165e-05 -1.161969e-05) (1.923932e-07 1.324226e-05 -9.526428e-06))
30            	((5.353609e-03 -2.919152e-04 -1.509594e-03) (-4.060433e-02 -9.067053e-05 -7.213837e-04)) ((4.569354e-07 3.652941e-05 -1.139859e-05) (1.823767e-07 1.241603e-05 -9.481849e-06))
31            	((5.301848e-03 -2.656264e-04 -1.527335e-03) (-4.025898e-02 -9.101587e-05 -6.837380e-04)) ((4.568740e-07 3.698432e-05 -1.112090e-05) (1.729304e-07 1.165279e-05 -9.437158e-06))
32            	((5.246094e-03 -2.410284e-04 -1.544705e-03) (-3.993442e-02 -9.138014e-05 -6.485517e-04)) ((4.571298e-07 3.743285e-05 -1.089817e-05) (1.640484e-07 1.094696e-05 -9.397354e-06))
33            	((5.190999e-03 -2.205015e-04 -1.560509e-03) (-3.962848e-02 -9.184631e-05 -6.156461e-04)) ((4.576916e-07 3.784995e-05 -1.077061e-05) (1.557064e-07 1.029352e-05 -9.363865e-06))
34            	((5.136677e-03 -2.021965e-04 -1.574701e-03) (-3.933942e-02 -9.228440e-05 -5.848200e-04)) ((4.581743e-07 3.823600e-05 -1.067592e-05) (1.478376e-07 9.687025e-06 -9.332883e-06))
35            	((5.081377e-03 -1.840226e-04 -1.588050e-03) (-3.906571e-02 -9.255035e-05 -5.558757e-04)) ((4.584272e-07 3.860741e-05 -1.054975e-05) (1.403736e-07 9.122249e-06 -9.300349e-06))
36            	((5.024101e-03 -1.665882e-04 -1.601076e-03) (-3.880580e-02 -9.265961e-05 -5.286535e-04)) ((4.586853e-07 3.897349e-05 -1.040272e-05) (1.332845e-07 8.595094e-06 -9.266282e-06))
37            	((4.964297e-03 -1.520207e-04 -1.613709e-03) (-3.855824e-02 -9.273831e-05 -5.030371e-04)) ((4.593265e-07 3.932882e-05 -1.028937e-05) (1.265700e-07 8.102606e-06 -9.233532e-06))
38            	((4.902459e-03 -1.413154e-04 -1.625360e-03) (-3.832180e-02 -9.285486e-05 -4.789298e-04)) ((4.603256e-07 3.965907e-05 -1.023733e-05) (1.202259e-07 7.642321e-06 -9.203584e-06))
39            	((4.839366e-03 -1.333442e-04 -1.635878e-03) (-3.809555e-02 -9.295901e-05 -4.562309e-04)) ((4.613625e-07 3.995993e-05 -1.021807e-05) (1.142254e-07 7.211647e-06 -9.174978e-06))
40            	((4.775694e-03 -1.267152e-04 -1.645483e-03) (-3.787868e-02 -9.296498e-05 -4.348362e-04)) ((4.622862e-07 4.023859e-05 -1.019138e-05) (1.085344e-07 6.807916e-06 -9.145454e-06))
41            	((4.712072e-03 -1.212969e-04 -1.654456e-03) (-3.767046e-02 -9.285971e-05 -4.146582e-04)) ((4.631911e-07 4.050315e-05 -1.015450e-05) (1.031345e-07 6.428909e-06 -9.114613e-06))
42            	((4.648931e-03 -1.183317e-04 -1.662955e-03) (-3.747014e-02 -9.269895e-05 -3.956317e-04)) ((4.643243e-07 4.075552e-05 -1.013920e-05) (9.802528e-08 6.072994e-06 -9.083804e-06))
43            	((4.586048e-03 -1.185412e-04 -1.670978e-03) (-3.727707e-02 -9.252727e-05 -3.777006e-04)) ((4.657557e-07 4.099285e-05 -1.016406e-05) (9.320515e-08 5.738764e-06 -9.054074e-06))
44            	((4.523304e-03 -1.212851e-04 -1.678503e-03) (-3.709072e-02 -9.233331e-05 -3.608067e-04)) ((4.673781e-07 4.121458e-05 -1.021636e-05) (8.866145e-08 5.424720e-06 -9.025009e-06))
45            	((4.460755e-03 -1.253256e-04 -1.685726e-03) (-3.691063e-02 -9.207325e-05 -3.448884e-04)) ((4.690928e-07 4.142546e-05 -1.026944e-05) (8.437551e-08 5.129289e-06 -8.995466e-06))
46            	((4.398642e-03 -1.299919e-04 -1.692826e-03) (-3.673638e-02 -9.173423e-05 -3.298920e-04)) ((4.708635e-07 4.162982e-05 -1.031280e-05) (8.033461e-08 4.851124e-06 -8.965075e-06))
47            	((4.337080e-03 -1.354313e-04 -1.699849e-03) (-3.656756e-02 -9.134379e-05 -3.157756e-04)) ((4.727665e-07 4.182845e-05 -1.035764e-05) (7.653500e-08 4.589194e-06 -8.934497e-06))
48            	((4.276328e-03 -1.419337e-04 -1.706621e-03) (-3.640379e-02 -9.093395e-05 -3.025013e-04)) ((4.747968e-07 4.201827e-05 -1.041678e-05) (7.297424e-08 4.342616e-06 -8.904464e-06))
49            	((4.216121e-03 -1.492807e-04 -1.713210e-03) (-3.624475e-02 -9.050874e-05 -2.900299e-04)) ((4.769055e-07 4.219955e-05 -1.048644e-05) (6.964417e-08 4.110484e-06 -8.874993e-06))
50            	((4.156208e-03 -1.568540e-04 -1.719756e-03) (-3.609016e-02 -9.005028e-05 -2.783194e-04)) ((4.789703e-07 4.237450e-05 -1.055100e-05) (6.653132e-08 3.891858e-06 -8.845559e-06))
51            	((4.096634e-03 -1.644508e-04 -1.726317e-03) (-3.593978e-02 -8.955119e-05 -2.673308e-04)) ((4.808940e-07 4.254490e-05 -1.060151e-05) (6.362406e-08 3.685884e-06 -8.815896e-06))
52            	((4.037417e-03 -1.723600e-04 -1.732888e-03) (-3.579336e-02 -8.902373e-05 -2.570308e-04)) ((4.827304e-07 4.271144e-05 -1.064204e-05) (6.091582e-08 3.491869e-06 -8.786269e-06))
53            	((3.978423e-03 -1.809037e-04 -1.739408e-03) (-3.565065e-02 -8.848546e-05 -2.473898e-04)) ((4.845251e-07 4.287306e-05 -1.067935e-05) (5.840221e-08 3.309230e-06 -8.757116e-06))
54            	((3.919819e-03 -1.899989e-04 -1.745763e-03) (-3.551145e-02 -8.794106e-05 -2.383795e-04)) ((4.862392e-07 4.302857e-05 -1.071353e-05) (5.607716e-08 3.137395e-06 -8.728526e-06))
55            	((3.862052e-03 -1.992051e-04 -1.751883e-03) (-3.537559e-02 -8.738286e-05 -2.299698e-04)) ((4.877733e-07 4.317758e-05 -1.073733e-05) (5.393195e-08 2.975774e-06 -8.700265e-06))
56            	((3.805288e-03 -2.082823e-04 -1.757809e-03) (-3.524290e-02 -8.680594e-05 -2.221325e-04)) ((4.890807e-07 4.332138e-05 -1.074503e-05) (5.195792e-08 2.823808e-06 -8.672133e-06))
57            	((3.749420e-03 -2.173136e-04 -1.763577e-03) (-3.511323e-02 -8.621883e-05 -2.148426e-04)) ((4.901588e-07 4.346094e-05 -1.073764e-05) (5.014922e-08 2.681019e-06 -8.644247e-06))
58            	((3.694308e-03 -2.266098e-04 -1.769165e-03) (-3.498642e-02 -8.563254e-05 -2.080780e-04)) ((4.910587e-07 4.359637e-05 -1.072041e-05) (4.850154e-08 2.546992e-06 -8.616877e-06))
59            	((3.640096e-03 -2.363351e-04 -1.774504e-03) (-3.486236e-02 -8.505266e-05 -2.018169e-04)) ((4.918254e-07 4.372747e-05 -1.069591e-05) (4.700946e-08 2.421323e-06 -8.590139e-06))
60            	((3.587115e-03 -2.464404e-04 -1.779525e-03) (-3.474090e-02 -8.447656e-05 -1.960376e-04)) ((4.924714e-07 4.385383e-05 -1.066308e-05) (4.566634e-08 2.303602e-06 -8.563952e-06))
61            	((3.535594e-03 -2.567482e-04 -1.784211e-03) (-3.462196e-02 -8.389968e-05 -1.907188e-04)) ((4.929877e-07 4.397540e-05 -1.061954e-05) (4.446511e-08 2.193424e-06 -8.538184e-06))
62            	((3.485429e-03 -2.672397e-04 -1.788607e-03) (-3.450542e-02 -8.332350e-05 -1.858403e-04)) ((4.933969e-07 4.409251e-05 -1.056530e-05) (4.340009e-08 2.090429e-06 -8.512849e-06))
63            	((3.436545e-03 -2.778335e-04 -1.792728e-03) (-3.439119e-02 -8.275588e-05 -1.813839e-04)) ((4.937053e-07 4.420547e-05 -1.050277e-05) (4.246648e-08 1.994299e-06 -8.488093e-06))
64            	((3.389081e-03 -2.884667e-04 -1.796539e-03) (-3.427917e-02 -8.220174e-05 -1.773321e-04)) ((4.939155e-07 4.431398e-05 -1.043353e-05) (4.165923e-08 1.904728e-06 -8.463995e-06))
65            	((3.343282e-03 -2.991095e-04 -1.799982e-03) (-3.416930e-02 -8.166157e-05 -1.736677e-04)) ((4.940317e-07 4.441748e-05 -1.035736e-05) (4.097252e-08 1.821416e-06 -8.440525e-06))
66            	((3.299285e-03 -3.096129e-04 -1.803027e-03) (-3.406148e-02 -8.113446e-05 -1.703738e-04)) ((4.940426e-07 4.451548e-05 -1.027290e-05) (4.040007e-08 1.744064e-06 -8.417632e-06))
67            	((3.257080e-03 -3.198673e-04 -1.805705e-03) (-3.395566e-02 -8.062059e-05 -1.674352e-04)) ((4.939619e-07 4.460816e-05 -1.017932e-05) (3.993620e-08 1.672408e-06 -8.395297e-06))
68            	((3.216584e-03 -3.298049e-04 -1.808054e-03) (-3.385176e-02 -8.012240e-05 -1.648374e-04)) ((4.938275e-07 4.469603e-05 -1.007701e-05) (3.957595e-08 1.606204e-06 -8.373571e-06))
