# Region type : patch ent
# Faces  :    144
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	-7.315695e+00
2             	-2.926278e+00
3             	-1.170511e+00
4             	-4.682045e-01
5             	-1.872818e-01
6             	-7.491272e-02
7             	-2.996509e-02
8             	-1.198603e-02
9             	-4.794414e-03
10            	-1.917766e-03
11            	-7.671062e-04
12            	-3.068425e-04
13            	-1.227370e-04
14            	-4.909480e-05
15            	-1.963792e-05
16            	-7.855168e-06
17            	-3.142067e-06
18            	-1.256827e-06
19            	-5.027307e-07
20            	-2.010923e-07
21            	-8.043692e-08
22            	-3.217477e-08
23            	-1.286991e-08
24            	-5.147963e-09
25            	-2.059185e-09
26            	-8.236740e-10
27            	-3.294696e-10
28            	-1.317878e-10
29            	-5.271514e-11
30            	-2.108606e-11
31            	-8.434422e-12
32            	-3.373769e-12
33            	-1.349508e-12
34            	-5.398030e-13
35            	-2.159212e-13
36            	-8.636848e-14
37            	-3.454739e-14
38            	-1.381896e-14
39            	-5.527583e-15
40            	-2.211033e-15
41            	-8.844133e-16
42            	-3.537653e-16
43            	-1.415061e-16
44            	-5.660245e-17
45            	-2.264098e-17
46            	-9.056392e-18
47            	-3.622557e-18
48            	-1.449023e-18
49            	-5.796091e-19
50            	-2.318436e-19
51            	-9.273745e-20
52            	-3.709498e-20
53            	-1.483799e-20
54            	-5.935197e-21
55            	-2.374079e-21
56            	-9.496315e-22
57            	-3.798526e-22
58            	-1.519410e-22
59            	-6.077642e-23
60            	-2.431057e-23
61            	-9.724227e-24
62            	-3.889691e-24
63            	-1.555876e-24
64            	-6.223505e-25
65            	-2.489402e-25
66            	-9.957608e-26
67            	-3.983043e-26
68            	-1.593217e-26
69            	-6.372869e-27
70            	-2.549148e-27
71            	-1.019659e-27
72            	-4.078636e-28
73            	-1.631455e-28
74            	-6.525818e-29
75            	-2.610327e-29
76            	-1.044131e-29
77            	-4.176524e-30
78            	-1.670609e-30
79            	-6.682438e-31
80            	-2.672975e-31
81            	-1.069190e-31
82            	-4.276760e-32
83            	-1.710704e-32
84            	-6.842816e-33
85            	-2.737126e-33
86            	-1.094851e-33
87            	-4.379402e-34
88            	-1.751761e-34
89            	-7.007044e-35
90            	-2.802818e-35
91            	-1.121127e-35
92            	-4.484508e-36
93            	-1.793803e-36
94            	-7.175213e-37
95            	-2.870085e-37
96            	-1.148034e-37
97            	-4.592136e-38
98            	-1.836854e-38
99            	-7.347418e-39
100           	-2.938967e-39
101           	-1.175587e-39
102           	-4.702347e-40
103           	-1.880939e-40
104           	-7.523756e-41
105           	-3.009502e-41
106           	-1.203801e-41
107           	-4.815204e-42
108           	-1.926082e-42
109           	-7.704326e-43
110           	-3.081730e-43
111           	-1.232692e-43
112           	-4.930769e-44
113           	-1.972307e-44
114           	-7.889230e-45
115           	-3.155692e-45
116           	-1.262277e-45
117           	-5.049107e-46
118           	-2.019643e-46
119           	-8.078571e-47
120           	-3.231429e-47
121           	-1.292571e-47
122           	-5.170286e-48
123           	-2.068114e-48
124           	-8.272457e-49
125           	-3.308983e-49
126           	-1.323593e-49
127           	-5.294373e-50
128           	-2.117749e-50
129           	-8.470996e-51
130           	-3.388398e-51
131           	-1.355359e-51
132           	-5.421438e-52
133           	-2.168575e-52
134           	-8.674300e-53
135           	-3.469720e-53
136           	-1.387888e-53
137           	-5.551552e-54
138           	-2.220621e-54
139           	-8.882483e-55
140           	-3.552993e-55
141           	-1.421197e-55
142           	-5.684789e-56
143           	-2.273916e-56
144           	-9.095663e-57
145           	-3.638265e-57
146           	-1.455306e-57
147           	-5.821224e-58
148           	-2.328490e-58
149           	-9.313959e-59
150           	-3.725584e-59
151           	-1.490233e-59
152           	-5.960934e-60
153           	-2.384373e-60
154           	-9.537494e-61
155           	-3.814998e-61
156           	-1.525999e-61
157           	-6.103996e-62
158           	-2.441598e-62
159           	-9.766394e-63
160           	-3.906557e-63
161           	-1.562623e-63
162           	-6.250492e-64
163           	-2.500197e-64
164           	-1.000079e-64
165           	-4.000315e-65
166           	-1.600126e-65
167           	-6.400504e-66
168           	-2.560201e-66
169           	-1.024081e-66
170           	-4.096322e-67
171           	-1.638529e-67
172           	-6.554116e-68
173           	-2.621646e-68
174           	-1.048659e-68
175           	-4.194634e-69
176           	-1.677854e-69
177           	-6.711415e-70
178           	-2.684566e-70
179           	-1.073826e-70
180           	-4.295305e-71
181           	-1.718122e-71
182           	-6.872489e-72
183           	-2.748995e-72
184           	-1.099598e-72
185           	-4.398393e-73
186           	-1.759357e-73
187           	-7.037428e-74
188           	-2.814971e-74
189           	-1.125989e-74
190           	-4.503954e-75
191           	-1.801582e-75
192           	-7.206327e-76
193           	-2.882531e-76
194           	-1.153012e-76
195           	-4.612049e-77
196           	-1.844820e-77
197           	-7.379278e-78
198           	-2.951711e-78
199           	-1.180685e-78
200           	-4.722738e-79
201           	-1.889095e-79
202           	-7.556381e-80
203           	-3.022552e-80
204           	-1.209021e-80
205           	-4.836084e-81
206           	-1.934434e-81
207           	-7.737734e-82
208           	-3.095094e-82
209           	-1.238037e-82
210           	-4.952150e-83
211           	-1.980860e-83
212           	-7.923440e-84
213           	-3.169376e-84
214           	-1.267750e-84
215           	-5.071002e-85
216           	-2.028401e-85
217           	-8.113602e-86
218           	-3.245441e-86
219           	-1.298176e-86
220           	-5.192706e-87
221           	-2.077082e-87
222           	-8.308329e-88
223           	-3.323332e-88
224           	-1.329333e-88
225           	-5.317330e-89
226           	-2.126932e-89
227           	-8.507729e-90
228           	-3.403092e-90
229           	-1.361237e-90
230           	-5.444946e-91
231           	-2.177979e-91
232           	-8.711914e-92
233           	-3.484766e-92
234           	-1.393906e-92
235           	-5.575625e-93
236           	-2.230250e-93
237           	-8.921000e-94
238           	-3.568400e-94
239           	-1.427360e-94
240           	-5.709440e-95
241           	-2.283776e-95
242           	-9.135104e-96
243           	-3.654042e-96
244           	-1.461617e-96
245           	-5.846467e-97
246           	-2.338587e-97
247           	-9.354347e-98
248           	-3.741739e-98
249           	-1.496695e-98
250           	-5.986782e-99
251           	-2.394713e-99
252           	-9.578851e-100
253           	-3.831540e-100
254           	-1.532616e-100
255           	-6.130465e-101
256           	-2.452186e-101
257           	-9.808743e-102
258           	-3.923497e-102
259           	-1.569399e-102
260           	-6.277596e-103
261           	-2.511038e-103
262           	-1.004415e-103
263           	-4.017661e-104
264           	-1.607065e-104
265           	-6.428258e-105
266           	-2.571303e-105
267           	-1.028521e-105
268           	-4.114085e-106
269           	-1.645634e-106
270           	-6.582536e-107
271           	-2.633015e-107
272           	-1.053206e-107
273           	-4.212823e-108
274           	-1.685129e-108
275           	-6.740517e-109
276           	-2.696207e-109
277           	-1.078483e-109
278           	-4.313931e-110
279           	-1.725572e-110
280           	-6.902290e-111
281           	-2.760916e-111
282           	-1.104366e-111
283           	-4.417465e-112
284           	-1.766986e-112
285           	-7.067945e-113
286           	-2.827178e-113
287           	-1.130871e-113
288           	-4.523484e-114
289           	-1.809394e-114
290           	-7.237575e-115
291           	-2.895030e-115
292           	-1.158012e-115
293           	-4.632048e-116
294           	-1.852819e-116
295           	-7.411277e-117
296           	-2.964511e-117
297           	-1.185804e-117
298           	-4.743217e-118
299           	-1.897287e-118
300           	-7.589148e-119
301           	-3.035659e-119
302           	-1.214264e-119
303           	-4.857054e-120
304           	-1.942822e-120
305           	-7.771287e-121
306           	-3.108515e-121
307           	-1.243406e-121
308           	-4.973624e-122
309           	-1.989450e-122
310           	-7.957798e-123
311           	-3.183119e-123
312           	-1.273248e-123
313           	-5.092991e-124
314           	-2.037196e-124
315           	-8.148785e-125
316           	-3.259514e-125
317           	-1.303806e-125
318           	-5.215223e-126
319           	-2.086089e-126
320           	-8.344356e-127
321           	-3.337742e-127
322           	-1.335097e-127
323           	-5.340388e-128
324           	-2.136155e-128
325           	-8.544621e-129
326           	-3.417848e-129
327           	-1.367139e-129
328           	-5.468557e-130
329           	-2.187423e-130
330           	-8.749692e-131
331           	-3.499877e-131
332           	-1.399951e-131
333           	-5.599803e-132
334           	-2.239921e-132
335           	-8.959684e-133
336           	-3.583874e-133
337           	-1.433549e-133
338           	-5.734198e-134
339           	-2.293679e-134
340           	-9.174717e-135
341           	-3.669887e-135
342           	-1.467955e-135
343           	-5.871819e-136
344           	-2.348727e-136
345           	-9.394910e-137
346           	-3.757964e-137
347           	-1.503186e-137
348           	-6.012742e-138
349           	-2.405097e-138
350           	-9.620388e-139
351           	-3.848155e-139
352           	-1.539262e-139
353           	-6.157048e-140
354           	-2.462819e-140
355           	-9.851277e-141
356           	-3.940511e-141
357           	-1.576204e-141
358           	-6.304817e-142
359           	-2.521927e-142
360           	-1.008771e-142
361           	-4.035083e-143
362           	-1.614033e-143
363           	-6.456133e-144
364           	-2.582453e-144
365           	-1.032981e-144
366           	-4.131925e-145
367           	-1.652770e-145
368           	-6.611080e-146
369           	-2.644432e-146
370           	-1.057773e-146
371           	-4.231091e-147
372           	-1.692436e-147
373           	-6.769746e-148
374           	-2.707898e-148
375           	-1.083159e-148
376           	-4.332637e-149
377           	-1.733055e-149
378           	-6.932220e-150
379           	-2.772888e-150
380           	-1.109155e-150
381           	-4.436621e-151
382           	-1.774648e-151
383           	-7.098593e-152
384           	-2.839437e-152
385           	-1.135775e-152
386           	-4.543100e-153
387           	-1.817240e-153
388           	-7.268959e-154
389           	-2.907584e-154
390           	-1.163033e-154
391           	-4.652134e-155
392           	-1.860854e-155
393           	-7.443414e-156
394           	-2.977366e-156
395           	-1.190946e-156
396           	-4.763785e-157
397           	-1.905514e-157
398           	-7.622056e-158
399           	-3.048823e-158
400           	-1.219529e-158
401           	-4.878116e-159
402           	-1.951246e-159
403           	-7.804986e-160
404           	-3.121994e-160
405           	-1.248798e-160
406           	-4.995191e-161
407           	-1.998076e-161
408           	-7.992305e-162
409           	-3.196922e-162
410           	-1.278769e-162
411           	-5.115075e-163
412           	-2.046030e-163
413           	-8.184121e-164
414           	-3.273648e-164
415           	-1.309459e-164
416           	-5.237837e-165
417           	-2.095135e-165
418           	-8.380540e-166
419           	-3.352216e-166
420           	-1.340886e-166
421           	-5.363545e-167
422           	-2.145418e-167
423           	-8.581672e-168
424           	-3.432669e-168
425           	-1.373068e-168
426           	-5.492270e-169
427           	-2.196908e-169
428           	-8.787633e-170
429           	-3.515053e-170
430           	-1.406021e-170
431           	-5.624085e-171
432           	-2.249634e-171
433           	-8.998536e-172
434           	-3.599414e-172
435           	-1.439766e-172
436           	-5.759063e-173
437           	-2.303625e-173
438           	-9.214501e-174
439           	-3.685800e-174
440           	-1.474320e-174
441           	-5.897280e-175
442           	-2.358912e-175
443           	-9.435649e-176
444           	-3.774259e-176
445           	-1.509704e-176
446           	-6.038815e-177
447           	-2.415526e-177
448           	-9.662104e-178
449           	-3.864842e-178
450           	-1.545937e-178
451           	-6.183747e-179
452           	-2.473499e-179
453           	-9.893995e-180
454           	-3.957598e-180
455           	-1.583039e-180
456           	-6.332157e-181
457           	-2.532863e-181
458           	-1.013145e-181
459           	-4.052580e-182
460           	-1.621032e-182
461           	-6.484128e-183
462           	-2.593651e-183
463           	-1.037461e-183
464           	-4.149842e-184
465           	-1.659937e-184
466           	-6.639747e-185
467           	-2.655899e-185
468           	-1.062360e-185
469           	-4.249438e-186
470           	-1.699775e-186
471           	-6.799101e-187
472           	-2.719641e-187
473           	-1.087856e-187
474           	-4.351425e-188
475           	-1.740570e-188
476           	-6.962280e-189
477           	-2.784912e-189
478           	-1.113965e-189
479           	-4.455859e-190
480           	-1.782344e-190
481           	-7.129375e-191
482           	-2.851750e-191
483           	-1.140700e-191
484           	-4.562800e-192
485           	-1.825120e-192
486           	-7.300480e-193
487           	-2.920192e-193
488           	-1.168077e-193
489           	-4.672307e-194
490           	-1.868923e-194
491           	-7.475691e-195
492           	-2.990276e-195
493           	-1.196111e-195
494           	-4.784442e-196
495           	-1.913777e-196
496           	-7.655108e-197
497           	-3.062043e-197
498           	-1.224817e-197
499           	-4.899269e-198
500           	-1.959708e-198
501           	-7.838830e-199
502           	-3.135532e-199
503           	-1.254213e-199
504           	-5.016851e-200
505           	-2.006741e-200
506           	-8.026962e-201
507           	-3.210785e-201
508           	-1.284314e-201
509           	-5.137256e-202
510           	-2.054902e-202
511           	-8.219609e-203
512           	-3.287844e-203
513           	-1.315137e-203
514           	-5.260550e-204
515           	-2.104220e-204
516           	-8.416880e-205
517           	-3.366752e-205
518           	-1.346701e-205
519           	-5.386803e-206
520           	-2.154721e-206
