# Region type : patch out
# Faces  :    144
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	2.646007e+05
2             	2.357297e+05
3             	8.933463e+04
4             	-1.210763e+04
5             	-3.816196e+04
6             	-2.363069e+04
7             	-3.449416e+03
8             	6.777550e+03
9             	7.167661e+03
10            	3.586772e+03
11            	5.946545e+02
12            	-4.300495e+02
13            	-1.259229e+02
14            	4.796152e+02
15            	8.187171e+02
16            	8.353726e+02
17            	7.023924e+02
18            	5.772318e+02
19            	5.174471e+02
20            	5.077225e+02
21            	5.136234e+02
22            	5.136328e+02
23            	5.037823e+02
24            	4.890632e+02
25            	4.748837e+02
26            	4.635800e+02
27            	4.548756e+02
28            	4.475659e+02
29            	4.407136e+02
30            	4.339959e+02
31            	4.275044e+02
32            	4.214213e+02
33            	4.158181e+02
34            	4.106389e+02
35            	4.057858e+02
36            	4.011917e+02
37            	3.968377e+02
38            	3.927183e+02
39            	3.888161e+02
40            	3.851039e+02
41            	3.815599e+02
42            	3.781732e+02
43            	3.749376e+02
44            	3.718431e+02
45            	3.688751e+02
46            	3.660229e+02
47            	3.632817e+02
48            	3.606475e+02
49            	3.581151e+02
50            	3.556767e+02
51            	3.533244e+02
52            	3.510533e+02
53            	3.488609e+02
54            	3.467435e+02
55            	3.446950e+02
56            	3.427103e+02
57            	3.407865e+02
58            	3.389224e+02
59            	3.371160e+02
60            	3.353639e+02
61            	3.336627e+02
62            	3.320104e+02
63            	3.304052e+02
64            	3.288449e+02
65            	3.273271e+02
66            	3.258497e+02
67            	3.244113e+02
68            	3.230104e+02
69            	3.216458e+02
70            	3.203158e+02
71            	3.190191e+02
72            	3.177547e+02
73            	3.165218e+02
74            	3.153193e+02
75            	3.141458e+02
76            	3.130000e+02
77            	3.118805e+02
78            	3.107863e+02
79            	3.097171e+02
80            	3.086726e+02
81            	3.076522e+02
82            	3.066553e+02
83            	3.056812e+02
84            	3.047295e+02
85            	3.037997e+02
86            	3.028915e+02
87            	3.020045e+02
88            	3.011384e+02
89            	3.002931e+02
90            	2.994683e+02
91            	2.986637e+02
92            	2.978790e+02
93            	2.971139e+02
94            	2.963684e+02
95            	2.956420e+02
