# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	9.695218e-03	1.538159e-02	9.999999e-01
2             	2.074985e-02	6.449480e-01	4.487541e-01	3.247712e-01
3             	2.224747e-02	4.291985e-01	2.449757e-01	3.156330e-01
4             	3.845725e-02	1.895794e-01	9.730037e-02	2.543778e-01
5             	1.432596e-01	6.036282e-02	3.963266e-02	1.588531e-01
6             	6.305312e-02	1.316618e-01	8.012935e-02	1.062799e-01
7             	6.362329e-02	8.438616e-02	5.373615e-02	9.394095e-02
8             	1.444792e-01	1.820668e-02	1.608996e-02	9.672621e-02
9             	8.106047e-02	2.518301e-02	1.855881e-02	8.622614e-02
10            	6.504492e-02	2.565546e-02	1.710700e-02	6.585777e-02
11            	7.604856e-02	1.341819e-02	1.059549e-02	5.040653e-02
12            	1.115837e-01	7.421867e-03	8.121184e-03	4.310388e-02
13            	9.986510e-02	7.466836e-03	8.382048e-03	3.985068e-02
14            	9.980622e-02	6.277936e-03	7.716181e-03	3.799383e-02
15            	8.113678e-02	5.265993e-03	7.036880e-03	3.645775e-02
16            	6.693915e-02	5.046239e-03	6.708648e-03	3.454300e-02
17            	6.098304e-02	4.778456e-03	6.440025e-03	3.252681e-02
18            	5.872851e-02	4.391447e-03	6.200026e-03	3.081436e-02
19            	5.735997e-02	4.075276e-03	6.020973e-03	2.950686e-02
20            	5.513301e-02	3.844717e-03	5.866547e-03	2.853721e-02
21            	5.205256e-02	3.663216e-03	5.721326e-03	2.781342e-02
22            	4.907166e-02	3.514763e-03	5.587444e-03	2.722889e-02
23            	4.663620e-02	3.391114e-03	5.468544e-03	2.668372e-02
24            	4.472491e-02	3.275924e-03	5.362196e-03	2.618444e-02
25            	4.298878e-02	3.168306e-03	5.263263e-03	2.575963e-02
26            	4.121276e-02	3.069790e-03	5.170617e-03	2.541922e-02
27            	3.954254e-02	2.981394e-03	5.085679e-03	2.514217e-02
28            	3.803979e-02	2.902876e-03	5.009057e-03	2.491085e-02
