# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.047841e-02	7.573150e+00	8.033765e-01
0             	defaultFaces	2.047841e-02	8.440427e+00	1.095196e+00
100           	wall_b	1.261830e-02	1.158403e+00	3.296562e-01
100           	defaultFaces	1.261830e-02	2.910643e+00	6.619063e-01
200           	wall_b	7.339158e-03	1.230422e+00	3.268019e-01
200           	defaultFaces	7.339158e-03	2.567059e+00	6.195601e-01
300           	wall_b	5.561774e-03	1.330261e+00	3.284456e-01
300           	defaultFaces	5.561774e-03	2.106501e+00	5.970219e-01
400           	wall_b	4.596607e-03	1.292043e+00	3.293189e-01
400           	defaultFaces	4.596607e-03	2.100218e+00	5.856127e-01
500           	wall_b	3.229318e-03	1.189520e+00	3.292711e-01
500           	defaultFaces	3.229318e-03	2.141541e+00	5.758100e-01
600           	wall_b	2.812895e-03	1.108098e+00	3.293393e-01
600           	defaultFaces	2.812895e-03	2.156634e+00	5.695705e-01
700           	wall_b	2.697868e-03	1.065643e+00	3.301130e-01
700           	defaultFaces	2.697868e-03	2.149912e+00	5.644472e-01
800           	wall_b	2.643617e-03	1.042132e+00	3.305800e-01
800           	defaultFaces	2.643617e-03	2.137960e+00	5.609503e-01
900           	wall_b	2.570266e-03	1.031642e+00	3.296794e-01
900           	defaultFaces	2.570266e-03	2.127733e+00	5.578824e-01
1000          	wall_b	2.527350e-03	1.023680e+00	3.287700e-01
1000          	defaultFaces	2.527350e-03	2.071989e+00	5.555410e-01
1100          	wall_b	2.495803e-03	1.015674e+00	3.280552e-01
1100          	defaultFaces	2.495803e-03	2.071990e+00	5.542061e-01
1200          	wall_b	2.472487e-03	1.009653e+00	3.276416e-01
1200          	defaultFaces	2.472487e-03	2.071991e+00	5.535546e-01
1300          	wall_b	2.456185e-03	1.009115e+00	3.274853e-01
1300          	defaultFaces	2.456185e-03	2.071991e+00	5.536094e-01
1400          	wall_b	2.441499e-03	1.009115e+00	3.275418e-01
1400          	defaultFaces	2.441499e-03	2.071992e+00	5.539976e-01
1500          	wall_b	2.429702e-03	1.009115e+00	3.275806e-01
1500          	defaultFaces	2.429702e-03	2.071992e+00	5.542975e-01
1600          	wall_b	2.420551e-03	1.009115e+00	3.275811e-01
1600          	defaultFaces	2.420551e-03	2.073714e+00	5.544348e-01
1700          	wall_b	2.413477e-03	1.009115e+00	3.275731e-01
1700          	defaultFaces	2.413477e-03	2.075480e+00	5.545002e-01
1800          	wall_b	2.407877e-03	1.009115e+00	3.275624e-01
1800          	defaultFaces	2.407877e-03	2.076661e+00	5.545221e-01
1900          	wall_b	2.403383e-03	1.009115e+00	3.275528e-01
1900          	defaultFaces	2.403383e-03	2.079021e+00	5.545129e-01
2000          	wall_b	2.399742e-03	1.009115e+00	3.275524e-01
2000          	defaultFaces	2.399742e-03	2.077536e+00	5.545096e-01
2100          	wall_b	2.396789e-03	1.009115e+00	3.275563e-01
2100          	defaultFaces	2.396789e-03	2.077613e+00	5.545013e-01
2114          	wall_b	2.396423e-03	1.009115e+00	3.275571e-01
2114          	defaultFaces	2.396423e-03	2.077848e+00	5.545009e-01
