# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (5.955794e-02 3.662562e-05 1.686522e-04)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-4.669645e-08 4.639671e-06 1.391283e-05))
1             	((-1.456297e+00 1.232987e-02 9.615205e-04) (1.221358e-01 -1.830099e-05 -2.533527e-03)) ((-1.607052e-06 -1.591763e-04 -4.411235e-04) (6.218472e-07 -1.944451e-05 2.956586e-05))
2             	((-6.000316e-01 4.595413e-03 3.075628e-03) (1.192201e-01 -1.170449e-04 -1.066392e-03)) ((-1.338876e-06 -3.940220e-05 -2.636426e-04) (2.676043e-07 -4.037160e-06 2.970150e-05))
3             	((6.868926e-02 -3.524585e-04 2.718228e-03) (7.411832e-02 -1.132319e-04 -9.595855e-04)) ((-7.788140e-07 1.938187e-06 -4.785562e-05) (2.490345e-07 -6.560021e-06 1.952916e-05))
4             	((2.165258e-01 -2.035052e-03 8.657102e-04) (3.275731e-02 -1.282575e-04 -7.510335e-04)) ((-1.002163e-07 -1.301593e-07 2.886746e-05) (2.062204e-07 -7.344583e-06 9.980247e-06))
5             	((1.172980e-01 -1.250113e-03 -1.059471e-03) (1.750583e-02 -1.880011e-05 -6.439388e-04)) ((3.858796e-07 -8.407066e-06 1.365112e-05) (1.689979e-07 -6.660705e-06 7.954992e-06))
6             	((1.332092e-02 -5.738799e-04 -1.652857e-03) (1.985101e-02 -9.179502e-06 -5.053738e-04)) ((5.127701e-07 -1.366498e-05 -1.755122e-05) (1.338796e-07 -4.434593e-06 8.866769e-06))
7             	((-2.127188e-02 -5.041363e-05 -1.621857e-03) (2.423818e-02 4.166952e-05 -4.785163e-04)) ((4.472212e-07 -1.784140e-05 -3.419607e-05) (1.202145e-07 -3.294037e-06 9.558150e-06))
8             	((-1.247875e-02 -2.757169e-04 -1.361407e-03) (2.585775e-02 4.804185e-05 -4.262959e-04)) ((4.024672e-07 -1.951649e-05 -3.109087e-05) (1.084097e-07 -2.192780e-06 1.000601e-05))
9             	((2.738414e-03 -7.700178e-04 -1.331810e-03) (2.544580e-02 2.374961e-05 -3.885923e-04)) ((4.467219e-07 -2.087152e-05 -2.287636e-05) (1.033092e-07 -1.531206e-06 1.024735e-05))
10            	((9.551151e-03 -8.381177e-04 -1.329900e-03) (2.454759e-02 -1.933857e-06 -3.602251e-04)) ((4.549733e-07 -2.031921e-05 -2.083073e-05) (9.920350e-08 -1.136137e-06 1.040280e-05))
11            	((9.502595e-03 -3.955123e-04 -1.361692e-03) (2.386985e-02 4.654158e-05 -3.374119e-04)) ((4.055868e-07 -1.914638e-05 -2.556044e-05) (8.632884e-08 -8.683298e-07 9.857772e-06))
12            	((7.727748e-03 -1.461843e-04 -1.495825e-03) (2.363955e-02 8.573200e-05 -3.183021e-04)) ((4.011371e-07 -1.915289e-05 -2.848805e-05) (7.549914e-08 -6.119017e-07 9.540455e-06))
13            	((6.899027e-03 -8.747216e-04 -1.662919e-03) (2.387196e-02 3.599208e-05 -2.909048e-04)) ((5.382221e-07 -1.989722e-05 -2.077933e-05) (7.608260e-08 -1.839773e-07 1.024615e-05))
14            	((7.160878e-03 -9.523549e-04 -1.699776e-03) (2.411489e-02 2.536770e-05 -2.812617e-04)) ((5.611660e-07 -1.955004e-05 -1.940212e-05) (7.422462e-08 8.956085e-08 1.052496e-05))
15            	((7.823765e-03 -4.724136e-04 -1.629730e-03) (2.416799e-02 4.455143e-05 -2.826548e-04)) ((4.815537e-07 -1.824746e-05 -2.366165e-05) (7.111332e-08 2.333295e-07 1.041667e-05))
16            	((8.417366e-03 1.132830e-04 -1.625148e-03) (2.406951e-02 9.920381e-05 -2.826739e-04)) ((3.981986e-07 -1.776226e-05 -2.899200e-05) (6.291004e-08 3.583578e-07 9.908663e-06))
17            	((8.849512e-03 -6.927839e-04 -1.726652e-03) (2.427601e-02 4.123107e-05 -2.693215e-04)) ((5.292306e-07 -1.848586e-05 -1.979718e-05) (6.826006e-08 6.402837e-07 1.063869e-05))
18            	((9.199157e-03 -8.920395e-04 -1.776265e-03) (2.454348e-02 2.509060e-05 -2.646099e-04)) ((5.692389e-07 -1.867569e-05 -1.681291e-05) (6.912176e-08 8.029403e-07 1.092992e-05))
19            	((9.537576e-03 -4.283912e-04 -1.714039e-03) (2.474271e-02 2.552061e-05 -2.621783e-04)) ((4.913187e-07 -1.767554e-05 -2.073171e-05) (6.715572e-08 8.940763e-07 1.100320e-05))
20            	((9.882370e-03 3.616890e-04 -1.693413e-03) (2.470878e-02 1.022592e-04 -2.618806e-04)) ((3.769910e-07 -1.713235e-05 -2.803014e-05) (5.643411e-08 8.990023e-07 1.023909e-05))
21            	((1.022081e-02 -3.905642e-04 -1.783220e-03) (2.495605e-02 4.415954e-05 -2.443742e-04)) ((4.963000e-07 -1.780604e-05 -1.923102e-05) (6.039027e-08 1.105355e-06 1.095894e-05))
22            	((1.053839e-02 -8.437008e-04 -1.860737e-03) (2.529372e-02 1.897709e-05 -2.374983e-04)) ((5.715357e-07 -1.838724e-05 -1.339186e-05) (6.209870e-08 1.205512e-06 1.134990e-05))
23            	((1.082927e-02 -5.831206e-04 -1.793823e-03) (2.558404e-02 -2.006280e-05 -2.326030e-04)) ((5.203248e-07 -1.748673e-05 -1.499406e-05) (6.493364e-08 1.273753e-06 1.185503e-05))
24            	((1.109412e-02 5.032371e-04 -1.740040e-03) (2.558974e-02 1.005051e-04 -2.362797e-04)) ((3.570967e-07 -1.676596e-05 -2.524522e-05) (4.799195e-08 1.206755e-06 1.063455e-05))
25            	((1.133640e-02 1.842303e-04 -1.798561e-03) (2.578805e-02 6.524364e-05 -2.221378e-04)) ((4.106152e-07 -1.728254e-05 -2.093244e-05) (4.935316e-08 1.350887e-06 1.111341e-05))
26            	((1.155935e-02 -7.296477e-04 -1.892355e-03) (2.613080e-02 1.430466e-05 -2.128592e-04)) ((5.488446e-07 -1.821369e-05 -1.029032e-05) (5.500922e-08 1.464939e-06 1.178074e-05))
27            	((1.176530e-02 -8.359051e-04 -1.837782e-03) (2.643270e-02 -5.444167e-05 -2.086563e-04)) ((5.528923e-07 -1.763235e-05 -8.065129e-06) (6.260326e-08 1.520937e-06 1.261246e-05))
28            	((1.195628e-02 4.494922e-04 -1.755985e-03) (2.645580e-02 9.215322e-05 -2.144908e-04)) ((3.560505e-07 -1.682549e-05 -2.043967e-05) (4.227761e-08 1.433531e-06 1.111691e-05))
29            	((1.213403e-02 9.659409e-04 -1.780358e-03) (2.655356e-02 1.226360e-04 -2.064962e-04)) ((2.852433e-07 -1.721228e-05 -2.493859e-05) (3.528117e-08 1.504772e-06 1.089722e-05))
30            	((1.230040e-02 -5.143999e-04 -1.868724e-03) (2.683367e-02 1.958323e-05 -1.956588e-04)) ((4.988124e-07 -1.833996e-05 -8.532400e-06) (4.880453e-08 1.639441e-06 1.210015e-05))
31            	((1.245701e-02 -9.502007e-04 -1.829739e-03) (2.708874e-02 -3.028075e-05 -1.924759e-04)) ((5.504387e-07 -1.818554e-05 -2.945717e-06) (5.455000e-08 1.700624e-06 1.273132e-05))
32            	((1.260528e-02 2.322525e-04 -1.728115e-03) (2.710358e-02 7.797535e-05 -1.989159e-04)) ((3.654702e-07 -1.743274e-05 -1.436520e-05) (4.107386e-08 1.638208e-06 1.161828e-05))
33            	((1.274628e-02 1.442814e-03 -1.708872e-03) (2.706815e-02 1.667278e-04 -1.979411e-04)) ((1.907802e-07 -1.760355e-05 -2.621187e-05) (2.760479e-08 1.658510e-06 1.074909e-05))
34            	((1.288097e-02 -2.510256e-04 -1.783196e-03) (2.724922e-02 3.208189e-05 -1.888215e-04)) ((4.333328e-07 -1.879151e-05 -7.747552e-06) (4.636702e-08 1.809730e-06 1.225381e-05))
35            	((1.300997e-02 -9.188838e-04 -1.766500e-03) (2.742930e-02 4.243196e-06 -1.892828e-04)) ((5.201183e-07 -1.902630e-05 1.610190e-07) (5.043507e-08 1.876684e-06 1.263227e-05))
36            	((1.313357e-02 2.031358e-05 -1.658636e-03) (2.743601e-02 5.545676e-05 -1.978671e-04)) ((3.676094e-07 -1.830667e-05 -8.821050e-06) (4.579770e-08 1.847676e-06 1.210184e-05))
37            	((1.325207e-02 1.611281e-03 -1.612696e-03) (2.727946e-02 1.766583e-04 -2.032014e-04)) ((1.392141e-07 -1.823871e-05 -2.472079e-05) (3.005172e-08 1.839932e-06 1.084866e-05))
38            	((1.336576e-02 6.209647e-05 -1.682543e-03) (2.736517e-02 4.208797e-05 -1.971279e-04)) ((3.669517e-07 -1.937480e-05 -7.922673e-06) (4.897869e-08 1.995750e-06 1.232735e-05))
39            	((1.347507e-02 -8.941403e-04 -1.695723e-03) (2.748809e-02 7.113786e-06 -2.007605e-04)) ((4.965097e-07 -1.987002e-05 2.867311e-06) (5.558697e-08 2.062355e-06 1.276293e-05))
40            	((1.358053e-02 -2.938378e-04 -1.589308e-03) (2.750331e-02 2.782079e-06 -2.085904e-04)) ((3.921756e-07 -1.906738e-05 -2.686570e-06) (5.780041e-08 2.072574e-06 1.281794e-05))
