# Region type : patch ent
# Faces  :    144
# Area   :    1.250000e-07
# Time        	areaAverage(p)
0             	0.000000e+00
1             	2.821181e+04
2             	1.319998e+04
3             	3.074250e+02
4             	-3.108921e+03
5             	-1.625135e+03
6             	2.247248e+02
7             	9.117017e+02
8             	7.861422e+02
9             	4.976561e+02
10            	3.522662e+02
11            	3.379127e+02
12            	3.589982e+02
13            	3.637835e+02
14            	3.625173e+02
15            	3.592934e+02
16            	3.517223e+02
17            	3.380382e+02
18            	3.347434e+02
19            	3.396812e+02
20            	3.416378e+02
21            	3.335885e+02
22            	3.301541e+02
23            	3.362321e+02
24            	3.413459e+02
25            	3.367337e+02
26            	3.320698e+02
27            	3.382341e+02
28            	3.455937e+02
29            	3.440554e+02
30            	3.381941e+02
31            	3.431881e+02
32            	3.515823e+02
33            	3.528591e+02
34            	3.463103e+02
35            	3.490976e+02
36            	3.573925e+02
37            	3.604061e+02
38            	3.533981e+02
39            	3.534090e+02
40            	3.612036e+02
41            	3.655543e+02
42            	3.594295e+02
43            	3.558578e+02
44            	3.620980e+02
45            	3.676871e+02
46            	3.633259e+02
47            	3.572193e+02
48            	3.613442e+02
49            	3.676905e+02
50            	3.656065e+02
51            	3.584852e+02
52            	3.605043e+02
53            	3.671222e+02
54            	3.672643e+02
55            	3.598678e+02
56            	3.599973e+02
57            	3.667832e+02
58            	3.690232e+02
59            	3.620895e+02
60            	3.599290e+02
61            	3.663815e+02
62            	3.704929e+02
63            	3.647976e+02
64            	3.604454e+02
65            	3.656478e+02
66            	3.712715e+02
67            	3.678908e+02
68            	3.622320e+02
69            	3.653012e+02
70            	3.716000e+02
71            	3.703997e+02
72            	3.643152e+02
73            	3.654098e+02
74            	3.721562e+02
75            	3.729913e+02
76            	3.672776e+02
77            	3.662600e+02
78            	3.728174e+02
79            	3.757722e+02
80            	3.708153e+02
81            	3.679723e+02
82            	3.735189e+02
83            	3.780531e+02
84            	3.742324e+02
85            	3.705107e+02
86            	3.744860e+02
87            	3.798030e+02
88            	3.773897e+02
89            	3.728242e+02
90            	3.748417e+02
91            	3.807947e+02
92            	3.801021e+02
93            	3.753359e+02
94            	3.748630e+02
95            	3.807243e+02
96            	3.817376e+02
97            	3.773911e+02
98            	3.748845e+02
99            	3.799592e+02
100           	3.825746e+02
101           	3.792293e+02
102           	3.760323e+02
103           	3.796576e+02
104           	3.834128e+02
105           	3.809272e+02
106           	3.776397e+02
107           	3.799225e+02
108           	3.845776e+02
109           	3.829351e+02
110           	3.799456e+02
111           	3.806018e+02
112           	3.857464e+02
113           	3.856085e+02
114           	3.827891e+02
115           	3.814507e+02
116           	3.863590e+02
117           	3.878831e+02
118           	3.858741e+02
119           	3.835689e+02
120           	3.872663e+02
121           	3.897550e+02
122           	3.884758e+02
123           	3.860454e+02
124           	3.884654e+02
125           	3.918709e+02
126           	3.911093e+02
127           	3.891320e+02
128           	3.899144e+02
129           	3.939007e+02
130           	3.935782e+02
131           	3.923391e+02
132           	3.915722e+02
133           	3.954479e+02
134           	3.958590e+02
135           	3.954086e+02
136           	3.939949e+02
137           	3.970573e+02
138           	3.982685e+02
139           	3.982211e+02
140           	3.965307e+02
141           	3.986267e+02
142           	4.006433e+02
143           	4.009905e+02
144           	3.995915e+02
145           	4.003456e+02
146           	4.029315e+02
147           	4.036398e+02
148           	4.031072e+02
149           	4.023236e+02
150           	4.050766e+02
151           	4.060889e+02
152           	4.067350e+02
153           	4.053543e+02
154           	4.073040e+02
155           	4.079907e+02
156           	4.095924e+02
157           	4.085153e+02
158           	4.096722e+02
159           	4.105009e+02
160           	4.122694e+02
161           	4.115972e+02
