# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0             	N/A	N/A
1             	1.000000e+00	3.541433e-02	5.730148e-02	9.999999e-01
2             	1.607353e-02	4.307170e-01	2.894661e-01	6.138287e-01
3             	2.416409e-02	2.070876e-01	1.353650e-01	3.245932e-01
4             	1.972376e-01	6.903336e-02	7.799007e-02	2.502671e-01
5             	6.324802e-02	8.010836e-02	6.908625e-02	1.908110e-01
6             	7.731704e-02	4.002724e-02	4.181241e-02	1.688883e-01
7             	1.119326e-01	1.500145e-02	2.471013e-02	1.447724e-01
8             	6.648567e-02	1.759823e-02	2.390225e-02	1.319630e-01
9             	5.961344e-02	1.442611e-02	1.961618e-02	1.076507e-01
10            	6.171469e-02	1.037684e-02	1.786162e-02	9.420175e-02
11            	6.938415e-02	9.766324e-03	1.520201e-02	8.240931e-02
12            	6.307667e-02	9.046043e-03	1.618244e-02	7.748249e-02
13            	6.050262e-02	9.708525e-03	1.490984e-02	7.096129e-02
14            	5.315565e-02	9.305761e-03	1.508172e-02	6.956940e-02
15            	5.909223e-02	9.606147e-03	1.407533e-02	6.366483e-02
16            	4.889065e-02	9.301803e-03	1.466751e-02	6.150643e-02
17            	5.398502e-02	9.565430e-03	1.404053e-02	5.816340e-02
18            	4.395302e-02	9.287560e-03	1.375714e-02	5.677746e-02
19            	5.096996e-02	9.295442e-03	1.337841e-02	5.260182e-02
20            	4.210955e-02	9.377246e-03	1.285636e-02	4.992347e-02
21            	4.921522e-02	9.360002e-03	1.356750e-02	4.855391e-02
22            	3.885149e-02	9.300355e-03	1.240299e-02	4.671951e-02
23            	4.345111e-02	8.970099e-03	1.304126e-02	4.488527e-02
24            	3.927690e-02	9.270840e-03	1.147424e-02	4.252237e-02
25            	4.367755e-02	8.913577e-03	1.329967e-02	4.290420e-02
26            	3.574411e-02	9.121098e-03	1.179174e-02	4.060924e-02
27            	3.801762e-02	8.458832e-03	1.266365e-02	4.039438e-02
28            	3.850580e-02	8.871891e-03	1.114643e-02	3.791206e-02
29            	3.753135e-02	8.357560e-03	1.287421e-02	3.913594e-02
30            	3.465174e-02	8.660561e-03	1.132433e-02	3.693322e-02
31            	3.135852e-02	7.958161e-03	1.212116e-02	3.767809e-02
32            	3.666255e-02	8.247456e-03	1.066109e-02	3.524466e-02
33            	3.316078e-02	7.794795e-03	1.200461e-02	3.626439e-02
34            	3.497432e-02	7.987671e-03	1.126163e-02	3.483384e-02
35            	2.958773e-02	7.315574e-03	1.146193e-02	3.557650e-02
36            	3.521745e-02	7.488279e-03	1.065092e-02	3.372221e-02
37            	3.024363e-02	7.174558e-03	1.096147e-02	3.416326e-02
38            	3.437467e-02	7.241170e-03	1.125268e-02	3.361300e-02
39            	2.785109e-02	6.843757e-03	1.058965e-02	3.393402e-02
40            	3.244725e-02	6.721995e-03	1.069979e-02	3.287394e-02
41            	2.854471e-02	6.705077e-03	9.959110e-03	3.260364e-02
42            	3.251788e-02	6.475007e-03	1.094985e-02	3.302580e-02
43            	2.594326e-02	6.481689e-03	1.020739e-02	3.250320e-02
44            	3.047338e-02	6.023859e-03	1.043709e-02	3.238937e-02
45            	2.837209e-02	6.258871e-03	9.602637e-03	3.127594e-02
46            	2.875504e-02	5.931824e-03	1.069174e-02	3.240715e-02
47            	2.541285e-02	6.145800e-03	9.495318e-03	3.148988e-02
48            	2.631915e-02	5.695721e-03	1.006917e-02	3.189562e-02
49            	2.760298e-02	5.874799e-03	8.928527e-03	3.048758e-02
50            	2.686360e-02	5.708900e-03	1.009641e-02	3.144049e-02
51            	2.701215e-02	5.818558e-03	9.008545e-03	3.082441e-02
52            	2.402278e-02	5.413911e-03	9.742211e-03	3.119005e-02
53            	2.723386e-02	5.573460e-03	8.779138e-03	2.982736e-02
54            	2.727753e-02	5.489427e-03	9.436701e-03	3.041818e-02
55            	2.811978e-02	5.497240e-03	9.345121e-03	3.001860e-02
56            	2.389705e-02	5.134561e-03	9.240823e-03	3.038727e-02
57            	2.630254e-02	5.254943e-03	8.741995e-03	2.937933e-02
58            	2.730228e-02	5.212169e-03	8.817351e-03	2.964528e-02
59            	2.718603e-02	5.152429e-03	9.651685e-03	2.952190e-02
60            	2.445746e-02	4.991077e-03	9.199813e-03	2.949178e-02
61            	2.700605e-02	4.902246e-03	9.119469e-03	2.923532e-02
62            	2.628655e-02	4.968464e-03	8.991846e-03	2.895219e-02
63            	2.403763e-02	4.863442e-03	9.565236e-03	2.931085e-02
64            	2.286413e-02	4.947085e-03	8.910520e-03	2.895511e-02
65            	2.414341e-02	4.771209e-03	8.976123e-03	2.898299e-02
66            	2.395052e-02	4.784091e-03	8.737477e-03	2.826104e-02
67            	2.297120e-02	4.789656e-03	9.045966e-03	2.861246e-02
68            	2.346368e-02	4.799694e-03	8.714512e-03	2.848063e-02
69            	2.289820e-02	4.591173e-03	8.905960e-03	2.828788e-02
70            	2.304156e-02	4.589824e-03	8.524345e-03	2.725293e-02
71            	2.413287e-02	4.675356e-03	8.793868e-03	2.739777e-02
72            	2.420776e-02	4.568956e-03	8.796402e-03	2.728125e-02
73            	2.300564e-02	4.378592e-03	8.794568e-03	2.682848e-02
74            	2.224065e-02	4.336528e-03	8.542875e-03	2.600444e-02
75            	2.605392e-02	4.477402e-03	8.521715e-03	2.584892e-02
76            	2.420675e-02	4.254206e-03	9.002488e-03	2.565121e-02
77            	2.264114e-02	4.165427e-03	9.031733e-03	2.501359e-02
78            	2.341712e-02	4.056393e-03	8.615095e-03	2.441706e-02
79            	2.745697e-02	4.168899e-03	8.908351e-03	2.395971e-02
80            	2.188436e-02	3.977346e-03	9.212086e-03	2.368632e-02
81            	2.281422e-02	3.936586e-03	8.891412e-03	2.306485e-02
82            	2.204978e-02	3.957262e-03	8.362276e-03	2.273132e-02
83            	2.525593e-02	3.832138e-03	8.746501e-03	2.216396e-02
84            	2.019974e-02	3.965403e-03	8.782059e-03	2.167649e-02
85            	2.355780e-02	3.798647e-03	8.560640e-03	2.155775e-02
86            	2.167677e-02	3.848589e-03	8.306179e-03	2.101818e-02
87            	2.213116e-02	3.663315e-03	8.438582e-03	2.049191e-02
88            	2.097880e-02	3.897599e-03	8.005501e-03	1.992324e-02
89            	2.252344e-02	3.681935e-03	8.386943e-03	1.996706e-02
90            	2.192524e-02	3.691263e-03	7.804881e-03	1.923553e-02
91            	1.918337e-02	3.507013e-03	8.137350e-03	1.876423e-02
92            	2.287188e-02	3.789162e-03	7.306188e-03	1.826458e-02
93            	2.123595e-02	3.481759e-03	8.157077e-03	1.833431e-02
94            	2.209942e-02	3.549982e-03	7.712257e-03	1.746937e-02
95            	1.960780e-02	3.310742e-03	7.655598e-03	1.715508e-02
96            	2.492014e-02	3.604252e-03	7.543615e-03	1.666876e-02
97            	1.876315e-02	3.284049e-03	7.725664e-03	1.670299e-02
98            	2.155146e-02	3.420392e-03	7.637744e-03	1.590024e-02
99            	1.848206e-02	3.313241e-03	7.200540e-03	1.577978e-02
100           	2.503838e-02	3.384605e-03	7.540269e-03	1.539367e-02
101           	1.769368e-02	3.349584e-03	7.285374e-03	1.508467e-02
102           	2.205828e-02	3.236782e-03	7.449020e-03	1.491855e-02
103           	1.872474e-02	3.345884e-03	6.772964e-03	1.453236e-02
104           	2.385240e-02	3.176864e-03	7.429004e-03	1.436304e-02
105           	1.883007e-02	3.414667e-03	6.870885e-03	1.374929e-02
106           	2.326085e-02	3.059017e-03	7.440669e-03	1.402856e-02
107           	2.060124e-02	3.317132e-03	6.517031e-03	1.354378e-02
108           	2.051230e-02	2.983517e-03	7.387442e-03	1.360255e-02
109           	2.049384e-02	3.431646e-03	6.273181e-03	1.297689e-02
110           	2.166913e-02	2.988462e-03	7.366278e-03	1.348050e-02
111           	2.173358e-02	3.277017e-03	6.484047e-03	1.279922e-02
112           	1.891452e-02	2.884119e-03	7.111882e-03	1.305468e-02
113           	2.278785e-02	3.314751e-03	6.233990e-03	1.247693e-02
114           	1.799442e-02	2.883126e-03	7.050956e-03	1.295294e-02
115           	2.167950e-02	3.193159e-03	6.450853e-03	1.217210e-02
116           	1.654720e-02	2.929806e-03	6.595828e-03	1.242702e-02
117           	2.329099e-02	3.157786e-03	6.363922e-03	1.204451e-02
118           	1.568137e-02	2.996062e-03	6.441049e-03	1.219220e-02
119           	2.242971e-02	3.045546e-03	6.396521e-03	1.179481e-02
120           	1.600745e-02	2.984461e-03	6.041988e-03	1.175011e-02
121           	2.294187e-02	2.997207e-03	6.498671e-03	1.156402e-02
122           	1.635079e-02	3.065137e-03	5.778855e-03	1.125338e-02
123           	2.214074e-02	2.850304e-03	6.667713e-03	1.131679e-02
124           	1.736072e-02	2.996376e-03	5.722263e-03	1.094319e-02
125           	2.145595e-02	2.785093e-03	6.745864e-03	1.101018e-02
126           	1.815000e-02	3.067032e-03	5.448228e-03	1.036125e-02
127           	2.109586e-02	2.592080e-03	6.867233e-03	1.079710e-02
128           	1.901184e-02	2.974182e-03	5.495671e-03	1.009454e-02
129           	2.013002e-02	2.516631e-03	6.766845e-03	1.048035e-02
130           	1.991496e-02	2.995781e-03	5.706284e-03	9.611530e-03
131           	1.865484e-02	2.397126e-03	6.739181e-03	1.023808e-02
132           	2.002199e-02	2.929583e-03	5.843342e-03	9.362860e-03
133           	1.629481e-02	2.478347e-03	6.502659e-03	9.982387e-03
134           	2.017953e-02	2.869877e-03	5.749864e-03	9.185141e-03
135           	1.466143e-02	2.550715e-03	6.225621e-03	9.625019e-03
136           	2.104178e-02	2.810325e-03	5.655480e-03	9.013011e-03
137           	1.359825e-02	2.575571e-03	5.982826e-03	9.311088e-03
138           	2.015583e-02	2.736179e-03	5.623201e-03	8.851320e-03
139           	1.384182e-02	2.683933e-03	5.521234e-03	8.885784e-03
140           	2.142262e-02	2.641148e-03	5.809949e-03	8.718829e-03
141           	1.402975e-02	2.628529e-03	5.354395e-03	8.613064e-03
142           	1.938718e-02	2.586454e-03	5.898765e-03	8.594069e-03
143           	1.507313e-02	2.742473e-03	4.746461e-03	8.288034e-03
144           	2.069169e-02	2.440789e-03	6.116851e-03	8.492634e-03
145           	1.577240e-02	2.658258e-03	4.948229e-03	8.074734e-03
146           	1.950213e-02	2.393688e-03	6.124612e-03	8.504214e-03
147           	1.735457e-02	2.709722e-03	4.773446e-03	7.839383e-03
148           	1.768844e-02	2.205230e-03	6.223962e-03	8.428524e-03
149           	1.706013e-02	2.697637e-03	5.054305e-03	7.633258e-03
150           	1.787202e-02	2.286964e-03	6.098561e-03	8.446393e-03
151           	1.836584e-02	2.628084e-03	5.143287e-03	7.552039e-03
152           	1.524490e-02	2.182900e-03	5.945731e-03	8.170791e-03
153           	1.924945e-02	2.633977e-03	4.888823e-03	7.579250e-03
154           	1.503373e-02	2.259747e-03	5.818614e-03	8.213324e-03
155           	1.803420e-02	2.552106e-03	5.231194e-03	7.449611e-03
156           	1.428470e-02	2.321375e-03	5.366168e-03	7.797676e-03
157           	2.060095e-02	2.514063e-03	5.231138e-03	7.529966e-03
158           	1.347450e-02	2.316128e-03	5.344563e-03	7.856234e-03
159           	1.733693e-02	2.420104e-03	5.235189e-03	7.433739e-03
160           	1.403923e-02	2.448531e-03	4.589519e-03	7.422046e-03
161           	2.044497e-02	2.330919e-03	5.397745e-03	7.397286e-03
162           	1.357751e-02	2.381426e-03	4.803712e-03	7.236824e-03
163           	1.754206e-02	2.258887e-03	5.332089e-03	7.395566e-03
164           	1.518684e-02	2.462232e-03	4.350111e-03	7.010976e-03
165           	1.825976e-02	2.110710e-03	5.471589e-03	7.280413e-03
166           	1.438689e-02	2.437516e-03	4.636115e-03	6.663569e-03
167           	1.688192e-02	2.176874e-03	5.410616e-03	7.361549e-03
168           	1.613325e-02	2.410476e-03	4.330239e-03	6.666608e-03
169           	1.518737e-02	2.080632e-03	5.389283e-03	7.043839e-03
170           	1.651872e-02	2.425841e-03	4.380922e-03	6.487571e-03
171           	1.572077e-02	2.187517e-03	5.345847e-03	7.199901e-03
172           	1.641133e-02	2.340148e-03	4.475211e-03	6.387032e-03
173           	1.373603e-02	2.105228e-03	5.046906e-03	6.714391e-03
174           	1.841606e-02	2.367928e-03	4.442669e-03	6.365666e-03
175           	1.540847e-02	2.137893e-03	5.116120e-03	6.905444e-03
176           	1.599699e-02	2.258650e-03	4.797608e-03	6.178295e-03
177           	1.508655e-02	2.115788e-03	4.476293e-03	6.349189e-03
178           	1.966490e-02	2.231512e-03	4.838255e-03	6.266567e-03
179           	1.466142e-02	2.099518e-03	4.760256e-03	6.477905e-03
180           	1.560480e-02	2.139420e-03	4.971929e-03	6.193804e-03
181           	1.532264e-02	2.182918e-03	4.251204e-03	6.121732e-03
182           	1.821253e-02	2.042790e-03	4.973857e-03	6.202424e-03
183           	1.355316e-02	2.182084e-03	4.717146e-03	5.971841e-03
184           	1.528006e-02	2.046920e-03	4.823055e-03	6.288109e-03
185           	1.499431e-02	2.188863e-03	4.243531e-03	5.878741e-03
186           	1.553838e-02	1.989608e-03	4.834391e-03	6.018235e-03
187           	1.431484e-02	2.208178e-03	4.282657e-03	5.637051e-03
188           	1.429366e-02	2.091294e-03	4.761717e-03	6.206809e-03
189           	1.454433e-02	2.158362e-03	4.082848e-03	5.677802e-03
190           	1.440664e-02	2.040262e-03	4.561962e-03	5.711710e-03
191           	1.607694e-02	2.179321e-03	4.112528e-03	5.564577e-03
192           	1.500983e-02	2.098432e-03	4.689621e-03	6.069696e-03
193           	1.443189e-02	2.104123e-03	4.090914e-03	5.532537e-03
194           	1.472250e-02	2.056927e-03	4.221277e-03	5.540463e-03
195           	1.753021e-02	2.121056e-03	4.362740e-03	5.505618e-03
196           	1.620783e-02	2.068556e-03	4.524446e-03	5.849584e-03
197           	1.447534e-02	2.009779e-03	4.493459e-03	5.488901e-03
198           	1.569407e-02	1.989042e-03	4.117773e-03	5.467614e-03
199           	1.713394e-02	1.986179e-03	4.385313e-03	5.536600e-03
200           	1.579693e-02	2.025814e-03	4.700719e-03	5.568290e-03
201           	1.418182e-02	1.957920e-03	4.658368e-03	5.591991e-03
202           	1.654436e-02	1.948470e-03	4.252253e-03	5.402449e-03
203           	1.554570e-02	1.953246e-03	4.563581e-03	5.513281e-03
204           	1.489211e-02	2.017319e-03	4.462716e-03	5.508186e-03
205           	1.277300e-02	2.027120e-03	4.473887e-03	5.696707e-03
206           	1.471431e-02	1.978627e-03	4.114043e-03	5.427873e-03
207           	1.460790e-02	2.019189e-03	4.204215e-03	5.297446e-03
208           	1.487695e-02	2.020871e-03	4.272829e-03	5.418235e-03
209           	1.358685e-02	2.048415e-03	4.202946e-03	5.654585e-03
210           	1.343119e-02	1.968599e-03	4.030675e-03	5.375821e-03
211           	1.532557e-02	2.038197e-03	3.805158e-03	5.121094e-03
212           	1.564278e-02	1.980114e-03	4.216944e-03	5.253331e-03
213           	1.526344e-02	2.045680e-03	4.093884e-03	5.480458e-03
214           	1.278203e-02	1.900794e-03	4.050996e-03	5.344310e-03
215           	1.619623e-02	1.993302e-03	3.737928e-03	5.035699e-03
216           	1.539960e-02	1.870460e-03	4.158266e-03	5.249148e-03
217           	1.638182e-02	2.039609e-03	4.401481e-03	5.287836e-03
218           	1.315931e-02	1.831440e-03	4.106969e-03	5.355444e-03
219           	1.640111e-02	1.882782e-03	4.087343e-03	5.067317e-03
220           	1.398397e-02	1.862964e-03	4.112484e-03	5.176472e-03
221           	1.703583e-02	1.966051e-03	4.370611e-03	5.264518e-03
222           	1.212795e-02	1.916166e-03	4.211860e-03	5.289196e-03
223           	1.608805e-02	1.759982e-03	4.113763e-03	5.097812e-03
224           	1.404552e-02	1.956376e-03	3.838479e-03	4.995530e-03
225           	1.694177e-02	1.842041e-03	4.374659e-03	5.337552e-03
226           	1.231871e-02	1.973726e-03	4.152201e-03	5.245658e-03
227           	1.477612e-02	1.750671e-03	4.109523e-03	5.182403e-03
228           	1.539481e-02	2.003560e-03	3.637344e-03	4.812269e-03
229           	1.587705e-02	1.796014e-03	4.430716e-03	5.285777e-03
