# y+ ()       
# Time        	patch         	min           	max           	average       
0             	wall_b	2.047841e-02	7.573150e+00	8.033766e-01
0             	defaultFaces	2.047841e-02	8.440427e+00	1.095199e+00
100           	wall_b	4.550436e-03	1.624550e+00	3.744699e-01
100           	defaultFaces	4.550436e-03	4.177970e+00	6.591039e-01
200           	wall_b	2.044552e-03	1.911901e+00	4.145493e-01
200           	defaultFaces	2.044552e-03	4.211599e+00	7.262107e-01
300           	wall_b	1.593692e-03	2.257217e+00	4.266568e-01
300           	defaultFaces	1.593692e-03	4.495318e+00	7.501962e-01
400           	wall_b	1.193238e-03	2.434665e+00	4.279973e-01
400           	defaultFaces	1.193238e-03	4.624706e+00	7.608229e-01
500           	wall_b	1.090264e-03	2.492863e+00	4.260440e-01
500           	defaultFaces	1.090264e-03	4.534932e+00	7.590275e-01
600           	wall_b	8.638743e-04	2.511073e+00	4.234830e-01
600           	defaultFaces	8.638743e-04	4.469474e+00	7.522647e-01
700           	wall_b	9.149070e-04	2.496310e+00	4.214995e-01
700           	defaultFaces	9.149070e-04	4.455683e+00	7.472373e-01
800           	wall_b	9.969593e-04	2.481121e+00	4.204118e-01
800           	defaultFaces	9.969593e-04	4.442297e+00	7.439866e-01
900           	wall_b	1.052316e-03	2.471445e+00	4.199097e-01
900           	defaultFaces	1.052316e-03	4.436082e+00	7.428772e-01
1000          	wall_b	1.082064e-03	2.465963e+00	4.196657e-01
1000          	defaultFaces	1.082064e-03	4.433783e+00	7.418545e-01
1100          	wall_b	1.097091e-03	2.463193e+00	4.195675e-01
1100          	defaultFaces	1.097091e-03	4.432906e+00	7.417987e-01
1200          	wall_b	1.104463e-03	2.461880e+00	4.195095e-01
1200          	defaultFaces	1.104463e-03	4.432549e+00	7.415378e-01
1300          	wall_b	1.104995e-03	2.461277e+00	4.194884e-01
1300          	defaultFaces	1.104995e-03	4.432412e+00	7.414906e-01
1400          	wall_b	1.105812e-03	2.461237e+00	4.194489e-01
1400          	defaultFaces	1.105812e-03	4.435353e+00	7.422732e-01
1500          	wall_b	1.106459e-03	2.460842e+00	4.193801e-01
1500          	defaultFaces	1.106459e-03	4.434090e+00	7.420676e-01
1600          	wall_b	1.105154e-03	2.460662e+00	4.193552e-01
1600          	defaultFaces	1.105154e-03	4.432687e+00	7.421407e-01
1700          	wall_b	1.099760e-03	2.461320e+00	4.193345e-01
1700          	defaultFaces	1.099760e-03	4.435221e+00	7.420423e-01
1800          	wall_b	1.102050e-03	2.461421e+00	4.193479e-01
1800          	defaultFaces	1.102050e-03	4.432675e+00	7.421957e-01
1900          	wall_b	1.099505e-03	2.461577e+00	4.193670e-01
1900          	defaultFaces	1.099505e-03	4.432789e+00	7.421342e-01
2000          	wall_b	1.100801e-03	2.461786e+00	4.193765e-01
2000          	defaultFaces	1.100801e-03	4.433067e+00	7.422377e-01
2100          	wall_b	1.098644e-03	2.461754e+00	4.193818e-01
2100          	defaultFaces	1.098644e-03	4.433179e+00	7.422775e-01
2200          	wall_b	1.098961e-03	2.461841e+00	4.193904e-01
2200          	defaultFaces	1.098961e-03	4.433274e+00	7.422055e-01
2300          	wall_b	1.098606e-03	2.461881e+00	4.193888e-01
2300          	defaultFaces	1.098606e-03	4.433277e+00	7.423851e-01
2400          	wall_b	1.098490e-03	2.461917e+00	4.193959e-01
2400          	defaultFaces	1.098490e-03	4.433316e+00	7.422353e-01
2500          	wall_b	1.098306e-03	2.461944e+00	4.193958e-01
2500          	defaultFaces	1.098306e-03	4.433338e+00	7.423134e-01
2600          	wall_b	1.098199e-03	2.461968e+00	4.193965e-01
2600          	defaultFaces	1.098199e-03	4.433358e+00	7.422500e-01
2700          	wall_b	1.098104e-03	2.461984e+00	4.193987e-01
2700          	defaultFaces	1.098104e-03	4.433362e+00	7.423035e-01
2800          	wall_b	1.098047e-03	2.461995e+00	4.193987e-01
2800          	defaultFaces	1.098047e-03	4.433366e+00	7.421544e-01
2900          	wall_b	1.098005e-03	2.462002e+00	4.193985e-01
2900          	defaultFaces	1.098005e-03	4.433368e+00	7.423265e-01
3000          	wall_b	1.097975e-03	2.462007e+00	4.193981e-01
3000          	defaultFaces	1.097975e-03	4.433369e+00	7.422539e-01
3100          	wall_b	1.097959e-03	2.462010e+00	4.194003e-01
3100          	defaultFaces	1.097959e-03	4.433369e+00	7.422017e-01
3200          	wall_b	1.097948e-03	2.462012e+00	4.193957e-01
3200          	defaultFaces	1.097948e-03	4.433369e+00	7.424117e-01
3300          	wall_b	1.097942e-03	2.462013e+00	4.194006e-01
3300          	defaultFaces	1.097942e-03	4.433368e+00	7.422466e-01
3400          	wall_b	1.097938e-03	2.462013e+00	4.193972e-01
3400          	defaultFaces	1.097938e-03	4.433368e+00	7.423054e-01
3500          	wall_b	1.097935e-03	2.462014e+00	4.193980e-01
3500          	defaultFaces	1.097935e-03	4.433368e+00	7.423189e-01
3600          	wall_b	1.089802e-03	2.461258e+00	4.194141e-01
3600          	defaultFaces	1.089802e-03	4.445341e+00	7.420802e-01
3700          	wall_b	1.073384e-03	2.456023e+00	4.196374e-01
3700          	defaultFaces	1.073384e-03	4.438585e+00	7.433492e-01
3800          	wall_b	1.091128e-03	2.467319e+00	4.196044e-01
3800          	defaultFaces	1.091128e-03	4.437308e+00	7.431337e-01
3900          	wall_b	1.097668e-03	2.468381e+00	4.195608e-01
3900          	defaultFaces	1.097668e-03	4.455358e+00	7.430952e-01
4000          	wall_b	1.099850e-03	2.471107e+00	4.195970e-01
4000          	defaultFaces	1.099850e-03	4.445474e+00	7.432247e-01
4100          	wall_b	1.112833e-03	2.471783e+00	4.196088e-01
4100          	defaultFaces	1.112833e-03	4.445170e+00	7.434289e-01
4200          	wall_b	1.100400e-03	2.471865e+00	4.196097e-01
4200          	defaultFaces	1.100400e-03	4.442030e+00	7.435543e-01
4300          	wall_b	1.036121e-03	2.470867e+00	4.195785e-01
4300          	defaultFaces	1.036121e-03	4.444481e+00	7.436290e-01
4400          	wall_b	1.066337e-03	2.472741e+00	4.196128e-01
4400          	defaultFaces	1.066337e-03	4.449683e+00	7.437576e-01
4500          	wall_b	1.071408e-03	2.475556e+00	4.196992e-01
4500          	defaultFaces	1.071408e-03	4.441897e+00	7.439537e-01
4600          	wall_b	1.064126e-03	2.474099e+00	4.197149e-01
4600          	defaultFaces	1.064126e-03	4.440580e+00	7.440222e-01
4700          	wall_b	1.061887e-03	2.474699e+00	4.197560e-01
4700          	defaultFaces	1.061887e-03	4.442196e+00	7.441229e-01
4728          	wall_b	1.061380e-03	2.474890e+00	4.197707e-01
4728          	defaultFaces	1.061380e-03	4.441942e+00	7.441623e-01
